ID;Active (0/1);Name *;Parent category;Root category (0/1)Â ;Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
25;1;Casques;Equipement Scooteriste;0;;;;;;
26;1;Vestes;Equipement Scooteriste;0;;;;;;
27;1;Pantalons;Equipement Scooteriste;0;;;;;;
28;1;Bottes;Equipement Scooteriste;0;;;;;;
29;1;Chaussures;Equipement Scooteriste;0;;;;;;
30;1;Gants;Equipement Scooteriste;0;;;;;;
31;1;Protection;Equipement Scooteriste;0;;;;;;
32;1;Combinaisons;Equipement Scooteriste;0;;;;;;
33;1;Underwear;Equipement Scooteriste;0;;;;;;
34;1;Produits Chauffants;Equipement Scooteriste;0;;;;;;
35;1;Chargeur Batterie;Accessoires Moto et Scooter;0;;;;;;
36;1;Camera;Accessoires Moto et Scooter;0;;;;;;
37;1;Bache Thermique / Couverture;Accessoires Moto et Scooter;0;;;;;;
38;1;Maanchons;Accessoires Moto et Scooter;0;;;;;;
39;1;Bagagerie / Valises;Accessoires Moto et Scooter;0;;;;;;
40;1;Poign_es chauffantes;Accessoires Moto et Scooter;0;;;;;;
41;1;Compteur / Chronomètre;Accessoires Moto et Scooter;0;;;;;;
42;1;Cadenas - U;Accessoires Moto et Scooter;0;;;;;;
43;1;B_quilles d'entretien;Accessoires Moto et Scooter;0;;;;;;
44;1;Racing;Accessoires Moto et Scooter;0;;;;;;
45;1;Huile;Accessoires Moto et Scooter;0;;;;;;
46;1;High Tech;Accessoires Moto et Scooter;0;;;;;;
47;1;Outillage;Pièces d'entretien;0;;;;;;
48;1;Chargeur Batterie;Pièces d'entretien;0;;;;;;
49;1;Batterie;Pièces d'entretien;0;;;;;;
50;1;Huile et Sprays;Pièces d'entretien;0;;;;;;
51;1;Kitchaine;Pièces d'entretien;0;;;;;;
52;1;Plaquettes;Pièces d'entretien;0;;;;;;
53;1;Pneus;Pièces d'entretien;0;;;;;;
54;1;Filtre ö huile;Pièces d'entretien;0;;;;;;
55;1;Basket;Sportswear & City;0;;;;;;
56;1;Chemise;Sportswear & City;0;;;;;;
57;1;Chaussettes;Sportswear & City;0;;;;;;
58;1;Pull;Sportswear & City;0;;;;;;
59;1;T-Shirt;Sportswear & City;0;;;;;;
60;1;Maillot de bain;Sportswear & City;0;;;;;;
61;1;Vestes;Sportswear & City;0;;;;;;
62;1;Jeans;Sportswear & City;0;;;;;;
63;1;Chaussures;Sportswear & City;0;;;;;;
64;1;Gants;Sportswear & City;0;;;;;;
65;1;Tongues;Sportswear & City;0;;;;;;
66;1;Linge;Sportswear & City;0;;;;;;
67;1;Lunettes;Sportswear & City;0;;;;;;
68;1;Casquettes;Sportswear & City;0;;;;;;
69;1;Porte clefs;Sportswear & City;0;;;;;;
70;1;Porte Feuille;Sportswear & City;0;;;;;;
71;1;Casques;Tout Terrain;0;;;;;;
72;1;Protection;Tout Terrain;0;;;;;;
73;1;Bottes;Tout Terrain;0;;;;;;
74;1;Pantalon;Tout Terrain;0;;;;;;
75;1;Veste;Tout Terrain;0;;;;;;
76;1;Masques;Tout Terrain;0;;;;;;
77;1;Gants;Tout Terrain;0;;;;;;
78;1;Maillots;Tout Terrain;0;;;;;;
