ID;Active (0/1);Name *;Parent category;Root category (0/1)ξ;Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
;1;Basket;23;0;;;;;;
;1;Chemise;23;0;;;;;;
;1;Chaussettes;23;0;;;;;;
;1;Pull;23;0;;;;;;
;1;T-Shirt;23;0;;;;;;
;1;Maillot de bain;23;0;;;;;;
;1;Vestes;23;0;;;;;;
;1;Jeans;23;0;;;;;;
;1;Chaussures;23;0;;;;;;
;1;Gants;23;0;;;;;;
;1;Tongues;23;0;;;;;;
;1;Linge;23;0;;;;;;
;1;Lunettes;23;0;;;;;;
;1;Casquettes;23;0;;;;;;
;1;Porte clefs;23;0;;;;;;
;1;Porte Feuille;23;0;;;;;;
;1;Casques;24;0;;;;;;
;1;Protection;24;0;;;;;;
;1;Bottes;24;0;;;;;;
;1;Pantalon;24;0;;;;;;
;1;Veste;24;0;;;;;;
;1;Masques;24;0;;;;;;
;1;Gants;24;0;;;;;;
;1;Maillots;24;0;;;;;;
