ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\
;1;Casque Shark EVOLINE SERIE 3 MOOVIT MAT;87,99,145;;;559;;;;;;;HE9274EKOK;Philipe Coulon;Shark;;;;;;;1715;2;;;;;;"La quantité de travail sans précédent accomplie par Shark a permis de perfectionner l'Evoline series3 par un nouveau système ""Auto-up"", ouverture simultanée mentonnière/écran, une meilleure insonorisation et une aérodynamique  performante en mode intégral comme en mode jet";"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Système « Auto-up » : déverrouillage semi-automatique simultané de l’écran et de la mentonnière<br>
• Poids réduit (1715g)<br>
• Aérodynamique améliorée, en particulier en position ouverte.<br>
• Nouveau design plus silencieux et ventilation intérieure améliorée<br>
• Double homologation, en position ouverte et fermée <br>
• Nouvel intérieur confortable avec des tissus lavables de haute qualité";;;;;;;;;;;;../import/Casque_Shark_Evoline_moovitmat_HE9274EKOK_noirorangemat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark SPEED-R BLANK ;87,99,145;;;429;;;;;;;HE4600EBLK;Philipe Coulon;Shark;;;;;;;1450;1;;;;;;Le SPEED-R est un casque sport-tourisme spécialement conçu pour répondre aux exigences des motards passionnés de motos non carénées. Léger, ce casque en fibre dispose d’un écran solaire et promet de marier le meilleur des casques Vision-R et Race-R.;"• Fibres multiaxiales<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Testé en soufflerie pour garantir une aérodynamique et une ventilation parfaite sur une moto de route de type roadster<br>
• Coque en « fibres longues » dernière génération<br>
• Écran de classe optique 1 à densité variable pour une qualité optique quasi-parfaite, traitement anti-buée auto régénérant<br>
• Masque anti-buée et bavette anti-remous<br>
• Écran à épaisseur variable de 4,2mm à 3mm<br>
• Intérieurs thermoformés, démontables, lavables
";;;;;;;;;;;;../import/Casque_Speed-R_Blank_HE4600EBLK_noir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark SPEED-R BLANK ;87,99,145;;;429;;;;;;;HE4600EWHU;Philipe Coulon;Shark;;;;;;;1450;1;;;;;;Le SPEED-R est un casque sport-tourisme spécialement conçu pour répondre aux exigences des motards passionnés de motos non carénées. Léger, ce casque en fibre dispose d’un écran solaire et promet de marier le meilleur des casques Vision-R et Race-R.;"• Fibres multiaxiales<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Testé en soufflerie pour garantir une aérodynamique et une ventilation parfaite sur une moto de route de type roadster<br>
• Coque en « fibres longues » dernière génération<br>
• Écran de classe optique 1 à densité variable pour une qualité optique quasi-parfaite, traitement anti-buée auto régénérant<br>
• Masque anti-buée et bavette anti-remous<br>
• Écran à épaisseur variable de 4,2mm à 3mm<br>
• Intérieurs thermoformés, démontables, lavables
";;;;;;;;;;;;../import/Casque_Speed-R_Blank_HE4600EBLK_noir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C DUAL BLACK MAT;87,99,145;;;309;;;;;;;HE0973EBLK;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_DUAL_BLACK_MAT_HE0973EBLK_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C DUAL BLACK MAT;87,99,145;;;309;;;;;;;HE0973EBLK;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_DUAL_BLACK_MAT_HE0973EBLK_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C DUAL BLACK MAT;87,99,145;;;309;;;;;;;HE0973EBLK;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_DUAL_BLACK_MAT_HE0973EBLK_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C DUAL BLACK MAT;87,99,145;;;309;;;;;;;HE0973EBLK;Philipe Coulon;Shark;;;;;;;1570;1;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_DUAL_BLACK_MAT_HE0973EBLK_noirmat_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C SIGNATURE;87,99,145;;;339;;;;;;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;3;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_SIGNATURE_HE0980EWRK_blancrougenoir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C SIGNATURE;87,99,145;;;339;;;;;;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;3;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_SIGNATURE_HE0980EWRK_blancrougenoir_cotegauche.jpg;;;;;;;;;;
;1;Casque Shark S900C SIGNATURE;87,99,145;;;339;;;;;;;HE0980EWRK;Philipe Coulon;Shark;;;;;;;1570;5;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait<br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Nouvelle ventilation pour une ergonomie optimisée avec les gants<br>
• Bavette anti-remous<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_Shark_S900C_SIGNATURE_HE0980EWRK_blancrougenoir_cotegauche.jpg;;;;;;;;;;
