ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur
;;Casque Shark EVOLINE SERIE 3 FUSION;87,99,145;;;529.00;;;20%;2014-02-34;2014-03-17;;HE9250EWHU;Philipe Coulon;Shark;;;;;;;1715;24;;;;;;"La quantité de travail sans précédent accomplie par Shark a permis de perfectionner l'Evoline series3 par un nouveau système ""Auto-up"", ouverture simultanée mentonnière/écran, une meilleure insonorisation et une aérodynamique  performante en mode intégral comme en mode jet";"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Système « Auto-up » : déverrouillage semi-automatique simultané de l’écran et de la mentonnière<br>
• Aérodynamique améliorée, en particulier en position ouverte.<br>
• Nouveau design plus silencieux et ventilation intérieure améliorée<br>
• Double homologation, en position ouverte et fermée <br>
• Nouvel intérieur confortable avec des tissus lavables de haute qualité<br>";;;;;;;;;;;;../import/Casque_modulable_unisexe_Shark_evolineserie3fusion_he9250ewhu_blanc_droite.jpg;;;;;;;;;;;;; modulable;blanc;Ecran solaire;Unisexe;Plastique;;;XS (4 fois), S (5 fois), M (8 fois), L (6 fois);blanc
;;Casque Shark EVOLINE SERIE 3 MAT;87,99,145;;;529.00;;;20%;2014-02-34;2014-03-17;;HE9255EKMA;Philipe Coulon;Shark;;;;;;;1715;17;;;;;;"La quantité de travail sans précédent accomplie par Shark a permis de perfectionner l'Evoline series3 par un nouveau système ""Auto-up"", ouverture simultanée mentonnière/écran, une meilleure insonorisation et une aérodynamique  performante en mode intégral comme en mode jet";"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Système « Auto-up » : déverrouillage semi-automatique simultané de l’écran et de la mentonnière<br>
• Aérodynamique améliorée, en particulier en position ouverte.<br>
• Nouveau design plus silencieux et ventilation intérieure améliorée<br>
• Double homologation, en position ouverte et fermée <br>
• Nouvel intérieur confortable avec des tissus lavables de haute qualité<br>";;;;;;;;;;;;../import/Casque_modulable_unisexe_Shark_evolineserie3mat_he9255ekma_noirmat_devant.jpg;;;;;;;;;;;;; modulable;noir-mat métallisé;Ecran solaire;Unisexe;Plastique;;;XS (1 fois), S (3 fois), M (6 fois), L (4 fois), XL (3 fois);Noir
;;Casque Shark EVOLINE SERIE 3 MOOVIT MAT;87,99,145;;;559.00;;;20%;2014-02-34;2014-03-17;;HE9274EKOK;Philipe Coulon;Shark;;;;;;;1715;2;;;;;;"La quantité de travail sans précédent accomplie par Shark a permis de perfectionner l'Evoline series3 par un nouveau système ""Auto-up"", ouverture simultanée mentonnière/écran, une meilleure insonorisation et une aérodynamique  performante en mode intégral comme en mode jet";"• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Système « Auto-up » : déverrouillage semi-automatique simultané de l’écran et de la mentonnière<br>
• Aérodynamique améliorée, en particulier en position ouverte.<br>
• Nouveau design plus silencieux et ventilation intérieure améliorée<br>
• Double homologation, en position ouverte et fermée <br>
• Nouvel intérieur confortable avec des tissus lavables de haute qualité<br>";;;;;;;;;;;;../import/Casque_modulable_unisexe_Shark_evolineserie3moovitmat_he9274ekok_noirorangemat_droite.jpg;;;;;;;;;;;;; modulable;noir-orange-mat;Ecran solaire;Unisexe;Plastique;;;M (2 fois);Noir, Orange
;;Casque Shark RACE-R PRO BLANK;87,99,145;;;659.00;;;20%;2014-02-34;2014-03-17;;HE8600EWHU;Philipe Coulon;Shark;;;;;;;1250;6;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_racerproblank_he8600ewhu_blanc_droite.jpg;;;;;;;;;;;;; intégral;blanc;;Unisexe;Fibres de carbone;;;S (1 fois), M (2 fois), L (2 fois), XL (1 fois);blanc
;;Casque Shark RACE-R PRO CARBON BLANK;87,99,145;;;769.00;;;20%;2014-02-34;2014-03-17;;HE8670ERED;Philipe Coulon;Shark;;;;;;;1320;2;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_racerprocarbonblank_he8670ered_rouge_droite.jpg;;;;;;;;;;;;; intégral;rouge;;Unisexe;Fibres de carbone;;;M (1 fois), L (1 fois);rouge
;;Casque Shark RACE-R PRO CARBON BLANK;87,99,145;;;769.00;;;20%;2014-02-34;2014-03-17;;HE8670EWHU;Philipe Coulon;Shark;;;;;;;1250;1;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_racerprocarbonblank_he8670ewhu_blanc_droite.jpg;;;;;;;;;;;;; intégral;blanc;;Unisexe;Fibres de carbone;;;M (1 fois);blanc
;;Casque Shark RACE-R PRO CARBON BLANK MAT;87,99,145;;;769.00;;;20%;2014-02-34;2014-03-17;;HE8672EKMA;Philipe Coulon;Shark;;;;;;;1250;2;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_racerprocarbonblankmat_he8672ekma_noirmat_droite.jpg;;;;;;;;;;;;; intégral;noir-mat;;Unisexe;Fibres de carbone;;;S (1 fois), L (1 fois) ;noir
;;Casque Shark RACE-R PRO CARBON RACING DIVISION;87,99,145;;;769.00;;;20%;2014-02-34;2014-03-17;;HE8675EWBR;Philipe Coulon;Shark;;;;;;;1320;2;;;;;;"Pensé pour la piste, Shark a repoussé encore plus loin le compromis essentiel entre exigence de confort et exigence de performance requis par la course. Sans rien perdre des qualités du Race-R PRO, le Race-R PRO Carbon présente un look encore plus racing : il laisse en effet apparaître une partie de carbone pur sur sa calotte. Son nouvel intérieur en fibre naturelle de bambou est idéal pour une pratique intense.
";"• Fibres Carbon Aramid plus léger : réelle diminution de la fatigue des muscles cervicaux <br>
• Intérieur en fibre naturelle de bambou<br>
• Pare nuque hermétique (air et bruit)<br>
• Easy fit : passage de lunette facilité<br>
• 4 points de ventilation à effet venturi optimisé<br>
• 4 points autosécure<br>
• Écran à épaisseur variable : épaisseur mini 3mm/ épaisseur maxi 4.25mm avec traitement anti-rayures et anti-buée régénérant<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_racerprocarbonracingdivision_he8675ewbr_devant.jpg;;;;;;;;;;;;; intégral;blanc-bleu-rouge;;Unisexe;Fibres de carbone;;;M (1 fois), L (1 fois);blanc, bleu, rouge
;;Casque Shark S900C CREED;87,99,145;;;339.00;;;20%;2014-02-34;2014-03-17;;HE0960EKWR;Philipe Coulon;Shark;;;;;;;1570;3;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait <br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_s900Ccreed_he0960ekwr_noirblancrouge_droite.jpg;;;;;;;;;;;;; intégral;noir-blanc-rouge;Ecran solaire;Unisexe;Plastique;;;S (1 fois), L (1 fois), XL (1 fois);noir, blanc, rouge
;;Casque Shark S900C DUAL BLACK MAT;87,99,145;;;309.00;;;20%;2014-02-34;2014-03-17;;HE0973EBLK;Philipe Coulon;Shark;;;;;;;1570;11;;;;;;Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru ;"• Mousse de joues gonflables pour un ajustement parfait <br>
• Système EASYFIT pour une utilisation confortable avec des lunettes<br>
• Coque thermoplastique injectée<br>
• Écran solaire intégré<br>
• Écran 2,2mm avec double traitement « Total vision »<br>
• Intérieur entièrement démontable et lavable<br>
";;;;;;;;;;;;../import/Casque_integral_unisexe_Shark_s900cdualblackmat_he0973eblk_noirmat_devant.jpg;;;;;;;;;;;;; intégral;noir-mat;Ecran solaire;Unisexe;Plastique;;;XS (2 fois), S (2 fois), M (3 fois), L (2 fois), XL (2 fois);noir
