Source;ID;Active (0/1);Name *;Name (DE);Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Short Desc DE;Description;Desc DE;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
Fichier Midland;;;Fixation guidon pour XTC400 code C1117;Lenkerhalterung für XTC400 code C1117;98,120;34.95;;;;;;;;;;;Midland;;;;;;;;;;;;;;Cette fixation convient parfaitement pour le montage de la XTC400 sur la moto. La fixation est fixée en quelques seconde et la caméra peut-être dirigée dans la position désirée.;Diese Halterung eignet sich perfekt für die Montage der XTC-400 am Fahrrad, Motorrad, Roller oder Quad. Die Halterung ist in sekundenschnelle angebracht und die Kamera kann je nach Belieben in die gewünschte Position ausgerichtet werden.;;;;;;;;;;;;;;../import/BTremote_Midland_unisexe_pasref_noir_gauche.jpg;;;;;;;;;;;;;;noir;;;;;;;noir;Fixation guidon
Fichier Midland;;;"Etui tactile MK-GPS43 jusqu'à 4,3"" code C1097";"MK-GPS43 bis 4,3"" Touchscreen Code C1097";98,120;44.95;;;;;;;;;;;Midland;;;;;;;;;;;;;;Cet étui tactile est résistant à l'eau et possède 2 différentes brides de montage à orientation réglable jusqu'à 360° : une pour guidons tubulaire et une pour guidons non tubulaires. Il est également dôté d'une sange de sécurité, d'une ouverture pour une le passage d'un câble chargeur. ;Wasserdichte Touchsreen Halerung für GPS der 2 verschiedene Befestigungssysteme hat und bis 360° drehbar ist : für runde und nicht-runde Motorradlenker;;;;;;;;;;;;;;../import/MKSmart_Midland_unisexe_pasref_noir_profil.jpg;;;;;;;;;;;;;;noir;;;;oui;;;noir;Étui tactile
Fichier Midland;;;Etui tactile MK-smart HC code C1125;MK-Smart HC Touchscreen Code C1125;98,120;49.95;;;;;;;;;;;Midland;;;;;;;;;;;;;;Cet étui tactile rigide et résistant à l'eau convient aux iPhone 4,5 et au Samsung S3. Il possède 2 différents brides de montage à orientation réglable jusqu'à 360° : une pour guidons tubulaires et une pour guidon pas tubulaires - Adaptateurs pour un parfait logement;Starre Wasserdichte Touchscreen Halternung für iPhone 4,5 und SamsungS3, der 2 verschiedene Befestigungssysteme hat und bis 360° drehbar ist : für runde und nicht-runde Motorradlenker;;;;;;;;;;;;;;../import/MKSmart_Midland_unisexe_pasref_noir_profil.jpg;;;;;;;;;;;;;;noir;;;;oui;;;noir;Étui tactile
Fichier Midland;;;BT remote BT next code C1032;BT remote Fernbedienung für BT next code C1032;98,120;106.00;;;;;;;;;;;Midland;;;;;;;;;;;;;;Cette commande permet de contrôler votre BT next sans les mains depuis le guidon. Elle se fixe sur tout type de guidon;Diese Fernbedienung ermöglicht die komplette Steuerung des BT Next (oder auch BTX1, BTX2) ohne die Hände vom Lenker nehmen zu müssen. Verstellbare Befestigung für jeden Lenkertyp;"• 5 boutons de contrôle
• Mini USB prise
• Indication LED sur l'état de la batterie
• Etanche à la pluie
• Fixation pour tout type de guidon
• Livré avec 2 fixations pour le guidon
";"• 5 Tasten Lenkerfernbedienung<br>
• Mini USB Ladebuchse<br>
• LED Anzeige für schwache Batterien<br>
• Wasserbeständig<br>
• Verstellbare Lenkerbefestigung für alle Lenkertypen<br>
• Lieferumfang: BT Remote, 2 Abstandshalter für die Lenkerbefestigung<br>
";;;;;;;;;;;;../import/BTremote_Midland_unisexe_pasref_noir_gauche.jpg;;;;;;;;;;;;;;noir;;;;;;;noir;Intercom
Fichier Midland;;;Intercom BT next single code C969;Bluetooth Headset next single code C969;98,120;229.00;;;;;;;;;;;Midland;;;;;;;;;;;;;;Intercom pilote et passager, de moto à moto pouvant mettre jusqu’à 6 personnes en relation avec une distance maximale de 1,6 km;Über das Intercom-System MIDLAND BT Next können Gruppen von bis zu vier Bikern über große Distanzen Sprechkontakt halten.;"• Intercom jusqu'à 1,6 km, jusqu'à 6 personnes
• Raccords standards Bluetooth pour téléphones portables, stéréo MP3, système de navigation GPS
• Radio FM intégrée avec RDS, 6 stations mémorisables
• Technologie Bluetooth 2.0 stéréo avec système de traitement du signal numérique DSP
• Fonction AGC pour le contrôle automatique du volume selon les bruits de fond
• Menu vocale qui indique quelle fonction l'utilisateur utilise, intercom, téléphone  ou Radio
• Vox pour activer la communication Intercom et répondre au téléphone, programmable par câble USB pour mises à jour
• Prise pour connexion MP3 filaire, PMR446 talkie-walkie
• Compatible et facilement installable sur tous les types de casques
";"• Gruppenverbindungen bis zu 6 Teilnehmer mit einer Reichweite bis zu 1,6 km<br>
•Verbindet bluetoothfähige Geräte wie Handys oder GPS-Navis <br>
•Optimiertes FM-Radio mit RDS/AF (Alternativfrequenzsuche). Bis zu sechs Radiostationen können gespeichert werden.<br>
• Die Intercom-Funktion, die Annahme eines Gespräches oder das Wählen beim Handy kann mittels Sprachsteuerung ausgeführt werden<br>
• Die Software kann via USB-Port aktualisiert werden, aber auch die Einstellungen am Gerät wie z.B. neue Radiosender oder Ausschalten können ganz einfach neu eingestellt werden<br>
• AGC Lautstärkeanpassung<br>
• Anschluss MP3 Player, PMR 446 Funkgerät<br>
• DSP: neueste Bluetooth Technologie (Digital Signal Processing)<br>
• Einfache Bedienung - eine Ruftaste pro Gruppenteilnehmer<br>
";;;;;;;;;;;;../import/BTnextsingle_Midland_unisexe_pasref_noir_droite.jpg;;;;;;;;;;;;;;noir;;;;;;;noir;Intercom
Fichier Midland;;;Camera XTC400 code C1106;Kamera XTC400 code C1106;98,120;329.00;;;;;;;;;;;Midland;;;;;;;;;;;;;;La caméra Midland XTC400 vous permet d'échanger en direct par les réseaux sociaux vos exploits. Un seul clic pour contrôler la caméra d'cation et échangez vos films.  Tel est le maître mot et la philosophie de la conception et de la réalisation de la nouvelle caméra d’action Midland XTC 400. Performante, fiable, avec une longue autonomie mais surtout pour tous, à tous moments, simple à utiliser. ;Gefilmt – geteilt! Schalte die Action Cam ein, nimm Videos auf und lade sie hoch. Teile deine Erlebnisse direkt mit deinen Freunden.Einfachheit ist die Philosophie der neuen Midland XTC Action Kameras - mit Akkuleistung und einfacher Bedienbarkeit. Durch einen Schiebeschalter der auch mühelos mit Handschuhen bedient werden kann, wird diese zum ständigen Wegbegleiter.;"
• Lentille rotative (270°) pour une prise de vues toujours parfaite
• Stabilisateur d'images
• 4 systèmes de fixation
• Portable et très ergonomique
• Petite et légère, robuste et fiable
• Une large gamme d'accessoires pour toutes les applications possibles
• Système d'exploitation compatibles
• Possibilité de commenter en live les séquences avec un micro externe
• Entrée externe microphone
• Grâce au Wifi intégré, la caméra d'action XTC400 peut se connecter aux smarphones ou tablettes vite et facilement
";"
• Drehbares Objektiv bis zu 270°<br>
• Bildstabilisator<br>
• Externer Mikrofon Anschluss<br>
• Einfach starten ohne Anleitung<br>
• Lange Aufnahmezeit<br>
• Schnelle Übertragung der Videos und Bilder ermöglicht dank des eingebauten leistungstarken WiFi Moduls  <br>
• Speziell dafür vorgesehene App für Smartphones und Tablets Apple / Android<br>
• 3+1 Halterungssystem<br>
• Klein und leicht, robust und zuverlässig<br>
• Eine große Auswahl an Zubehör für alle denkbaren Anwendungen<br>
";;;;;;;;;;;;../import/Camera_Midland_unisexe_XTC400_pasref_noir_packaging.jpg;;;;;;;;;;;;;;noir;;;;;;;noir;Camera
Fichier Midland;;;Intercom BT next twin code C969.01;Bluetooth Headset next twin code C969.01;98,120;450.00;;;;;;;;;;;Midland;;;;;;;;;;;;;;Intercom pilote et passager, de moto à moto, jusqu’à 6 personnes avec une distance maximale de 1,6 km;Über das Intercom-System MIDLAND BT Next können Gruppen von bis zu vier Bikern über große Distanzen Sprechkontakt halten.;"• Intercom jusqu'à 1,6 km, jusqu'à 6 personnes
• Raccords standards Bluetooth pour téléphones portables, stéréo MP3, système de navigation GPS
• Radio FM intégrée avec RDS, 6 stations mémorisables
• Technologie Bluetooth 2.0 stéréo avec système de traitement du signal numérique DSP
• Fonction AGC pour le contrôle automatique du volume selon les bruits de fond
• Menu vocale qui indique quelle fonction l'utilisateur utilise, intercom, téléphone  ou Radio
• Vox pour activer la communication Intercom et répondre au téléphone, programmable par câble USB pour mises à jour
• Prise pour connexion MP3 filaire, PMR446 talkie-walkie
• Compatible et facilement installable sur tous les types de casques
";"• Gruppenverbindungen bis zu 6 Teilnehmer mit einer Reichweite bis zu 1,6 km<br>
•Verbindet bluetoothfähige Geräte wie Handys oder GPS-Navis <br>
•Optimiertes FM-Radio mit RDS/AF (Alternativfrequenzsuche). Bis zu sechs Radiostationen können gespeichert werden.<br>
• Die Intercom-Funktion, die Annahme eines Gespräches oder das Wählen beim Handy kann mittels Sprachsteuerung ausgeführt werden<br>
• Die Software kann via USB-Port aktualisiert werden, aber auch die Einstellungen am Gerät wie z.B. neue Radiosender oder Ausschalten können ganz einfach neu eingestellt werden<br>
• AGC Lautstärkeanpassung<br>
• Anschluss MP3 Player, PMR 446 Funkgerät<br>
• DSP: neueste Bluetooth Technologie (Digital Signal Processing)<br>
• Einfache Bedienung - eine Ruftaste pro Gruppenteilnehmer<br>
";;;;;;;;;;;;../import/BTnexttwin_Midland_unisexe_pasref_noir_droite.jpg;;;;;;;;;;;;;;noir;;;;;;;noir;Intercom
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
