ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
;;Casque Demi Jet Visière S701;87,99,145;64.8;;;;;;;;;AVJET17;SIFAM;S-Line;;;;;;;1100;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Visière fumée solaire<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et démontable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_visierefumeeS701_AVJET17_blanc_droite.jpg;;;;;;;;;;;;;;blanc;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);blanc;
;;Casque Demi Jet Visière S701;87,99,145;64.8;;;;;;;;;AVJETO1;SIFAM;S-Line;;;;;;;1100;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Visière fumée solaire<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et démontable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_visierefumeeS701_AVJET01_noirme_tal_droite.jpg;;;;;;;;;;;;;;noir métal;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir métal;
;;Casque Demi Jet Visière S701;87,99,145;64.8;;;;;;;;;AVJETO2;SIFAM;S-Line;;;;;;;1100;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Visière fumée solaire<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et démontable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_visierefumeeS701_AVJET02_noirmat_gauche.jpg;;;;;;;;;;;;;;noir mat;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir mat;
;;Casque Viper Junior Dice S880;87,99,145;96.1;;;;;;;;;CR0SG24;SIFAM;S-Line;;;;;;;1100;3;;;;;;;"• Casque cross en polycarbonate <br>
• Boucle de fermeture type ""Double D""<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_enfant_Sline_ViperJuniorDiceS880_CROSG24_rouge_gauche.jpg;;;;;;;;;;;;;;rouge;;unisexe;;;;S (1 fois), M (1 fois), L (1 fois);rouge;
;;Casque Viper Junior Dice S880;87,99,145;96.1;;;;;;;;;CR0SG25;SIFAM;S-Line;;;;;;;1100;3;;;;;;;"• Casque cross en polycarbonate <br>
• Boucle de fermeture type ""Double D""<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_enfant_Sline_ViperJuniorDiceS880_CROSG25_bleu_gauche.jpg;;;;;;;;;;;;;;bleu;;unisexe;;;;S (1 fois), M (1 fois), L (1 fois);bleu;
;;Casque Viper Junior Dice S880;87,99,145;96.1;;;;;;;;;CR0SG27;SIFAM;S-Line;;;;;;;1100;3;;;;;;;"• Casque cross en polycarbonate <br>
• Boucle de fermeture type ""Double D""<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_enfant_Sline_ViperJuniorDiceS880_CROSG27_blanc_droite.jpg;;;;;;;;;;;;;;blanc;;unisexe;;;;S (1 fois), M (1 fois), L (1 fois);blanc;
;;Casque HD210 Cross S800;87,99,145;120.95;;;;;;;;;CROSR01;SIFAM;S-Line;;;;;;;1200;6;;;;;;;"• Casque cross en polycarbonate <br>
• 2 tailles de calottes<br>
• Intérieur démontable et lavable ""Coolmax""<br>
•Boucle de fermeture type ""Double D""   <br>                
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_unisexe_Sline_HD210s800_CROSR01_noirblanc_gauche.jpg;;;;;;;;;;;;;;noir et blanc;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir et blanc;
;;Casque HD210 Cross S800;87,99,145;120.95;;;;;;;;;CROSR02;SIFAM;S-Line;;;;;;;1200;6;;;;;;;"• Casque cross en polycarbonate <br>
• 2 tailles de calottes<br>
• Intérieur démontable et lavable ""Coolmax""<br>
•Boucle de fermeture type ""Double D""   <br>                
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_unisexe_Sline_HD210s800_CROSR02_bleublanc_droite.jpg;;;;;;;;;;;;;;blanc et bleu;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);blanc et bleu;
;;Casque HD210 Cross S800;87,99,145;120.95;;;;;;;;;CROSR03;SIFAM;S-Line;;;;;;;1200;6;;;;;;;"• Casque cross en polycarbonate <br>
• 2 tailles de calottes<br>
• Intérieur démontable et lavable ""Coolmax""<br>
•Boucle de fermeture type ""Double D""   <br>                
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_unisexe_Sline_HD210s800_CROSR03_noirrouge_gauche.jpg;;;;;;;;;;;;;;noir et rouge;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir et rouge;
;;Casque HD210 Cross S800;87,99,145;120.95;;;;;;;;;CROSR07;SIFAM;S-Line;;;;;;;1200;6;;;;;;;"• Casque cross en polycarbonate <br>
• 2 tailles de calottes<br>
• Intérieur démontable et lavable ""Coolmax""<br>
•Boucle de fermeture type ""Double D""   <br>                
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_unisexe_Sline_HD210s800_CROSR07_blancnoir_gauche.jpg;;;;;;;;;;;;;;blanc et noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);blanc et noir;
;;Casque HD210 Cross Carbon S810;87,99,145;253.8;;;;;;;;;CROSR99;SIFAM;S-Line;;;;;;;975;6;;;;;;;"• Casque cross en polycarbonate <br>
• 2 tailles de calottes<br>
• Intérieur démontable et lavable ""Coolmax""<br>
•Boucle de fermeture type ""Double D""   <br>                
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>";;;;;;;;;;;;../import/Casque_cross_unisexe_Sline_HD210carboneS810_CROSR99_carbone_droite.jpg;;;;;;;;;;;;;;carbone;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);carbone;
;;Casque Demi Jet Junior Luxe S780;87,99,145;56.15;;;;;;;;;DJC2G10;SIFAM;S-Line;;;;;;;800;3;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Entièrement démontable et lavable<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetjuniorS780_DJC2G10_blanc_droite.jpg;;;;;;;;;;;;;;blanc;;unisexe;;;; S (1 fois), M (1 fois), L (1 fois);blanc;
;;Casque Demi Jet Luxe City S720;87,99,145;69.1;;;;;;;;;DLC1F10;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecityS720_DLC1F10_noirmat_droite.jpg;;;;;;;;;;;;;;noir mat;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir mat;
;;Casque Demi Jet Luxe City S720;87,99,145;69.1;;;;;;;;;DLC1G10;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecityS720_DLC1G10_noirbrillant_droite.jpg;;;;;;;;;;;;;;noir brillant;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir brillant;
;;Casque Demi Jet Luxe City cuir S710;87,99,145;87.5;;;;;;;;;DLC1L00;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
• Finition cuir<br>";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecitycuirS710_DLC1L00_cuirnoir_droite.jpg;;;;;;;;;;;;;;cuir noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);cuir noir;
;;Casque Demi Jet Luxe City S720;87,99,145;69.1;;;;;;;;;DLC2G10;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecityS720_DLC2G10_blanc_droite.jpg;;;;;;;;;;;;;;blanc;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);blanc;
;;Casque Demi Jet Luxe City S720;87,99,145;69.1;;;;;;;;;DLC3G10;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecityS720_DLC3G10_gris_droite.jpg;;;;;;;;;;;;;;gris;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);gris;
;;Casque Demi Jet Luxe City cuir S710;87,99,145;87.5;;;;;;;;;DLC7L00;SIFAM;S-Line;;;;;;;1050;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique<br>
• Intérieur en tissu aéré et profilé, lavable et déhoussable<br>
• Finition cuir<br>";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_demijetluxecitycuirS710_DLC7L00_cuirmarron_droite.jpg;;;;;;;;;;;;;;cuir marron;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);cuir marron;
;;Gants Pilot;92,104,151,138;91.8;;;;;;;;;GAN046;SIFAM;S-Line;;;;;;;;6;;;;;;;"• 100% cuir de vache<br>
• Intérieur en cuir Kangourou<br>
• Cuvette en polycarbonate ultrarésistante<br>
• Cuvette spécialement développée pour la main (TPU)<br>
• Poignées réglables par sangles<br>
• Excellente prise en main et très grande liberté de mouvement<br>
• Gants très légers<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_Pilot_GAN046_noir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants Cross Pilot;92,104,151,138;35.65;;;;;;;;;GAN099BX;SIFAM;S-Line;;;;;;;;5;;;;;;;"• Paume en Amara ventilé<br>
• Partie supérieure en airprene pour une ventilation optimale,<br>
• Grip antidérapant pour une prise en main optimale des leviers<br>
• Fermeture par velcro<br>
• Design sportif<br>
";;;;;;;;;;;;../import/Gants_textile_unisexe_Sline_CrossPilot_GAN099BX_bleu_derriere.jpg;;;;;;;;;;;;;;bleu;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);bleu;
;;Gants Cross Pilot;92,104,151,138;35.65;;;;;;;;;GAN099NX;SIFAM;S-Line;;;;;;;;5;;;;;;;"• Paume en Amara ventilé<br>
• Partie supérieure en airprene pour une ventilation optimale,<br>
• Grip antidérapant pour une prise en main optimale des leviers<br>
• Fermeture par velcro<br>
• Design sportif<br>
";;;;;;;;;;;;../import/Gants_textile_unisexe_Sline_CrossPilot_GAN099NX_noir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir;
;;Gants Cross Pilot;92,104,151,138;35.65;;;;;;;;;GAN099RX;SIFAM;S-Line;;;;;;;;5;;;;;;;"• Paume en Amara ventilé<br>
• Partie supérieure en airprene pour une ventilation optimale,<br>
• Grip antidérapant pour une prise en main optimale des leviers<br>
• Fermeture par velcro<br>
• Design sportif<br>
";;;;;;;;;;;;../import/Gants_textile_unisexe_Sline_CrossPilot_GAN099RX_rouge_derriere.jpg;;;;;;;;;;;;;;rouge;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);rouge;
;;Gants Cuir Marron Luxe;92,104,151,138;27;;;;;;;;;GAN200;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué entièrement à partir de cuir de vache<br>
• Nombreuses perforations pour une ventilation optimale<br>
• Gants légers et esthétiques<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_marronluxe_GAN200_cuirmarron_derriere.jpg;;;;;;;;;;;;;;marron;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);marron;
;;Gants Cuir Noir Luxe;92,104,151,138;28.1;;;;;;;;;GAN300;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué entièrement à partir de cuir de vache<br>
• Nombreuses perforations pour une ventilation optimale<br>
• Gants légers et esthétiques<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_cuirnoir_GAN300_cuirnoir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants Cuir Route Kevlar;92,104,151,138;42.1;;;;;;;;;GAN500;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué en cuir / kevlar <br>
• Doigt préformé en Carbone Kevlar<br>
• Protections souples et rigides<br>
• Fermeture par velcro <br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_RouteKevlar_GAN500_noir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants cuir Lycra Route;92,104,151,138;38.9;;;;;;;;;GAN600;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de cuir / lycra<br>
• Protections souples et rigides<br>
• Fermeture par velcro<br>
• Doigts préformés en carbone Kevlar<br>
";;;;;;;;;;;;../import/Gants_cuir_femme_Sline_LycraRoute_GAN600_noir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants cuir Lycra Route;92,104,151,138;38.9;;;;;;;;;GAN610;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de cuir / lycra<br>
• Protections souples et rigides<br>
• Fermeture par velcro<br>
• Doigts préformés en carbone Kevlar<br>
";;;;;;;;;;;;../import/Gants_cuir_femme_Sline_LycraRoute_GAN610_blanc_derriere.jpg;;;;;;;;;;;;;;blanc;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);blanc;
;;Gants Winter Street ;92,104,151,138;34.55;;;;;;;;;GAN810;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de Nylon sur le dessus<br>
• 100% étanche<br>
• Isolation thermique<br>
• Bandes réfléchissantes<br>
• Fermeture velcro ajustable<br>
";;;;;;;;;;;;../import/Gants_textile_unisexe_Sline_WinterStreet_GAN810_noir_devantderriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants Winter;92,104,151,138;35.65;;;;;;;;;GAN820;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de cuir de vache<br>
• Poignées réglables par sangles<br>
• Renforts au niveau de la paume et du pouce<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_Winter_GAN820_noir_derriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Gants Nice Woman;92,104,151,138;36.7;;;;;;;;;GAN850;SIFAM;S-Line;;;;;;;;5;;;;;;;"• Fabriqué entièrement à partir de cuir<br>
• Doigts ventilés grâce aux nombreuses perforations<br>
• Grip au niveau de la paume et coutures de finition<br>
• Elastique de serrage aux poignets <br>
• Dessins sur le haut du gant qui le rendent très féminin<br>
";;;;;;;;;;;;../import/Gants_cuir_femme_Sline_NiceWoman_GAN850_noirblanc_derriere.jpg;;;;;;;;;;;;;;noir et blanc;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir et blanc;
;;Gants Intersaisons;92,104,151,138;49.7;;;;;;;;;GAN900;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de cuir et de nylon<br>
• 100% Imperméables<br>
• Éléments réflecteurs <br>
• Doublure thermo-isolée<br>
• Rembourrage en mousse<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_Intersaisons_GAN900_noir_devantderriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
