Source;ID;Active (0/1);Name *;Name (DE);Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Short Desc DE;Description;Desc DE;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
Fichier destockage Alpinestar;;;Stella P1 Sport Touring DS;;170;;;;;;;;;;90244602;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;Veste Imperméable Sport et Touring fabriquée avec du tissu en Cordura Texland Airguard 500D, très léger, très résistant à l'abrasion et très respirant,  efficace pour donner du confort et une bonne résistance aux intempéries dans des conditions chaudes et froides. - Protections CE amovibles et souples avec doublure Drystar étanche et respirante.;;"• 500D Cordura Texland Airguard<br>
• Etanche et respirable<br>
• Protections CE amovibles<br>
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Super Tech R;;170;;;;;;;;;;91100246;Honda Suisse ;Alpinestars;;;;;;;;1;;;;;;Forgée sur le circuit, la Supertech R d'Alpinestars bénéficie de l'expérience de l'élite en MotoGP et WSBK. La dernière version des fonctionnalités Supertech avec un chausson intérieur redessiné construit à partir de maillage 3D qui réduit le poids de la chaussure tout en améliorant grandement la respirabilité et le confort.;;"• Flex avant construit avec maille douce en TPU avec une résistance à l'abrasion renforcée.<br>
• Cuir souple et naturel<br>
• Semelle antidérapante, remplaçable<br>
• Guêtre en cuir synthétique épouse la forme du mollet et évite les entrées d'eau<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;S-MX Plus;;170;;;;;;;;;;91100738;Honda Suisse ;Alpinestars;;;;;;;;1;;;;;;Pour garantir une sécurité et liberté de mouvement optimales, la S-MX Plus Alpinestars présente le nouveau système Multi Link Control et la protection en TPU à haute densité appropriée à la forme élancée de la botte. L’association du système de fermeture interne à lacets en Kevlar et de la boucle dentée à réglage micrométrique garantit confort et «vestibilité» adhérente sur route comme sur piste;;"• Idéale pour la vitesse<br>
• L’empeigne high-tech en microfibre est légère et extrêmement résistante.<br>
• La zone de l’avant-pied est pourvue de mousse antichoc à basse densité tandis qu’au niveau de la cheville se trouve une doublure extrêmement respirante afin de garantir un plus grand confort<br>
• Système spécial Multi Link Control<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;S-MX R ;;170;;;;;;;;;;91100940;Honda Suisse ;Alpinestars;;;;;;;;1;;;;;;Les S-MX R sont aussi très confortables. De petits renforts moelleux dispersés à l’intérieur sur les points d’appuis permettent de se sentir comme dans des chaussons. Enfin au niveau du maintien entre la grande fermeture éclair et le serrage au mollet, l’ajustement est idéal et permet de les enfiler sous un jean.;;"• Plus souple, plus confortable, plus légère.<br>
• Structure ergonomique. <br>
• Sliders interchangeables<br>
• Etanche et respirant par membrane Gore-Tex.<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Durban Gore-Tex;;170;;;;;;;;;;91101739;Honda Suisse ;Alpinestars;;;;;;;;3;;;;;;Créée pour une utilisation ville la semaine et pour des balades hors des sentiers battus le week-end, la botte Alpinestars Durban GTX n’a pas peur pour autant des trajets routiers par les grands axes. Parfaitement respirante et étanche via sa membrane Gore Tex, la botte Alpinestars Durban GTX veut apporter au pilote un maximum de confort et de souplesse sans pour autant faire l’impasse sur la sécurité.;;"• Bottes en cuir et Gore-Tex<br>
• Double protection latérale<br>
• Protection cheville novatrice double épaisseur permettant la protection et la flexibilité<br>
• Un unique panneau de cuir couvre l'intérieur de la jambe permettant une meilleure adhérence à la moto<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Tech-8;;170;;;;;;;;;;91103439;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;Bottes Alpinestars Tech 8 avec Contour tibias, modules en plastique injecté pour une meilleure protection aux impacts et à l'abrasion. Nouveauté pour l'absorption des coups sur le cou-de-pied et le tibias. La face intérieure de la botte est dessinée pour offrir un meilleur tact sur la moto. Cou-de-pied et talon avec des zones flexibles pour un meilleur confort. Protection du mollet en plastique pour une meilleure résistance aux coups. Protection du talon en acier ainsi que la semelle;;"• Bottes tout terrain<br>
• Construite à partir d'une combinaison de cuir pleine fleur et de microfibre innovante et légère, souple et résistant à l'abrasion<br>
• Le manchon Alpinestars à l'intérieur de la cheville est construit à partir de cuir avec empiècements en mesh 3D et intègre un gel absorbant les chocs<br>
•Inserts réglables sur les chevilles<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Tech-3;;170;;;;;;;;;;91103639;Honda Suisse;Alpinestars;;;;;;;;4;;;;;;Impossible de faire plus multi-fonctions que les bottes tout-terrain Alpinestars TECH 3 ! Parfaitement à leur aise aux pieds des pilotes de cross comme à ceux des propriétaires de quads, elles s'imposent haut la main question look... Mais leur fiche technique ne se résume pas à cela : elles font ainsi appel aux meilleures solutions techniques pour la protection de vos pieds, à commencer par leur fabrication alliant cuir et plastique pour un meilleur bilan résistance aux contraintes/confort. ;;"• Construction cuir et plastique, protection tibia, avant du pied, talon et malléole droite et gauche. <br>
• Boucle micrométrique alu et polyuréthane.<br>
• Semelle intérieure amovible.<br>
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Afrika Gore Tex;;170;;;;;;;;;;91104138;Honda Suisse;Alpinestars;;;;;;;;1;;;;;;Les chaussures touring moto Afrika Gore-tex offrent le confort et le maintien dont vous avez besoin pour venir à bout de la jungle urbaine. _;;"• Partie supérieur en suède avec empiècements allongés en tissu mèche à haute resistance<br>
• Col 3D en tissu mèche et languette en suède synthétique<br>
• Membrane impérméable à 100% en Gore-Tex<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Shibuya WP;;170;;;;;;;;;;91104244;Honda Suisse ;Alpinestars;;;;;;;;2;;;;;;Difficile de deviner que les chaussures SHIBUYA WATERPROOF d'Alpinestars sont adaptées à la pratique du deux-roues... Et c'est bien ce qui les rend si attirantes : elles savent marier à la perfection le look passe-partout d'une paire de baskets noires avec un confort et une protection indispensables dès qu'on circule à moto ou a scooter;;"• Cuir synthétique avec membrane imperméable<br>
• Mousse EVA amovible fonctionnant comme un excellent amortisseur et une protection d'impact<br>
• Chaussure montante<br>
• Semelle anti-dérapante : grip<br>
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Super Tech touring GTX;;170;;;;;;;;;;91105240;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;Bottes Alpinestars Tech Touring Gore-Tex. Se situent sur l'échelle la plus haute en bottes pour faire des longs trajets. Fabriquées en cuir de la plus grande qualité. Disposent de parties élastiques qui fournient une meilleure liberté de mouvement ainsi qu'un meilleur confort. Bottes 100% imperméables et transpirables grâce à sa membrane en Gore-Tex. Fermeture latérale montée sur une base élastique pour faciliter le réglage et la fermeture de la botte. Zone des doigts de pied, chevilles et talon renforcée pour une protection optimale;;"• Bottes en cuir pleine fleur<br>
• Protection tibia, cheville et avant du pied.<br>
• Renfort sélecteur<br>
• Membrane Gore-tex (étanche et respirante).<br>
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Crew;;170;;;;;;;;;;91105541;Honda Suisse ;Alpinestars;;;;;;;;2;;;;;;Les chaussures de sport CREW sont agréable à porter, particulièrement pour les journées les plus chaudes.;;"• Chaussure en mesh qui est légère et bien aérée<br>
• Cheville maintenue de façon optimale grâce à son col rembourré<br>
• Panneaux en caoutchouc sous la semelle pour maximiser l’adhérence<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Apex GTX;;170;;;;;;;;;;91105740;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;"Bottes Gore-Tex® élégantes, fidèles à la qualité Alpinestars,
proposées à un prix inégalable";;"• 100% étanches et perspirantes grâce à leur membrane Gore-Tex<br>
• cuir de qualité supérieure <br>
• insert de protection en TPU au niveau du sélecteur de vitesse <br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Racing Replica ;;170;;;;;;;;;;91110104;Honda Suisse;Alpinestars;;;;;;;;1;;;;;;La combinaison en cuir Racing Replica est une combinaison qui a fait le tour des pistes puisque plusieurs pilotes Casey Stoner, Dani Pedrosa et Carlos Checa ont contribué à sa conception et aux tests;;"• La combinaison Racing Replica peut être équipée de la technologie Alpinestars de protection active – le système airbag Tech Air.<br>
• Réalisée en cuir de vachette pleine fleur pour offrir une bonne résistance à l’abrasion ainsi qu’une bonne résistance au déchirement grâce à ses coutures multiples et des panneaux frontaux ultra-ventilés qui garantissent un refroidissement durant la conduite<br>
• Coudes et bras réalisés grâce à une technique sans point de jonction, protection en PU sur l’avant-bras pour une bonne résistance structurale ainsi qu’une résistance à l’abrasion.<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;SP-1 ;;170;;;;;;;;;;91110902;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;Combinaison SP1 Alpinestars, au design élancé et moderne, offre au motard sportif, professionnel et amateur, une protection optimale, un confort exceptionnel ainsi que de grandes performances.;;"• Cuir pleine fleur avec une épaisseur de 1,3 mm<br>
• Doublure amovible en tissu perforé avec inserts élastiques<br>
• Solidité, confort et résistant aux abrasions<br>
•Cuir perforé facilitant la circulation d’air à l’intérieur de la combinaison<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Monza 2 pièces;;170;;;;;;;;;;91111702;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;Combinaison deux pièces polyvalente taillée pour la route, performante avec un ajustement décontracté et un design élégant. Une option spéciale tricolore est à l'honneur pour les adeptes de la moto italienne passionnée;;"• Cuir pleine fleur avec une épaisseur de 0.9 mm<br>
• Protection optimale contre l'abrasion et les impacts<br>
• Performance et détails inspirés de la course<br>   ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Tech 1-R;;170;;;;;;;;;;91112103;Honda Suisse;Alpinestars;;;;;;;;1;;;;;;Pour tous ceux qui roulent sur piste, Alpinestars leurs propose une combinaison haut de gamme : la Tech 1-R. Nouveauté de l’année, la combinaison transalpine ne fait pas dans la dentelle et propose tout ce qu’il faut là où il faut;;"• Cuir de catégorie supérieure 1,3 mm avec des panneaux perforés étenduss pour une ventilation améliorée<br>
• Protection optimale genoux et épaules développé selon les standard de Moto GP<br>
• Renfort dos Alpinestars Bionic Race<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Haunter;;170;;;;;;;;;;91113003;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;La combinaison en cuir Alpinestars Haunter Monster est pleine de technologie MotoGP. La combinaison (limitée à 600 éditions à travers le monde) offre aux pilotes d'exceptionnels niveaux de protection, de confort et de performance dans un design élégant et moderne combiné avec une conception innovante et des matériaux de qualité. ;;"• Cuir pleine fleur 1.3 mm<br>
• Bosse aérodynamique <br>
• Panneaux kevlar pour une meilleure flexibilité et résistance     <br>                                        • Doublure mesh amovible<br>
• Raccords pour Bionic Race protector (en option) <br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
