ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat);;
10001;;AIRHAWK® Komfortkissen Relax S;288;117.00;;;;;;;;D9396-001-03;D9396-001-03;SW-MOTECH;SW-MOTECH;61373207447;;;;;;0,4900;1;;;;;Schwarz. 28 cm x 23 cm. ;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Relax S</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 28 cm x 23 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Polyurethan</b></span><br><b>-> Zusätzlicher Komfort für gelegentlich lange Fahrten</b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im mmSitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><br><b>Sporttourer, Dual-Sport, Sportmaschinen, Straßenmaschinen, Nicht-Tourer Harleys></b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10000_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10002;;AIRHAWK® Komfortkissen Relax M;288;134.00;;;;;;;;D9396-002-03;D9396-002-03;SW-MOTECH;SW-MOTECH;61373207445;;;;;;0,6000;1;;;;;Schwarz. 36 cm x 36 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Relax M</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 36 cm x 36 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Polyurethan</b></span><br><b>-> Zusätzlicher Komfort für gelegentlich lange Fahrten</b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><ul><li><b>Große Cruiser, Sportmaschinen, Sporttourer, Straßenmaschinen, Nicht-Tourer Harleys</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10100_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10003;;AIRHAWK® Komfortkissen Relax L;288;134.00;;;;;;;;D9396-003-03;D9396-003-03;SW-MOTECH;SW-MOTECH;61373207446;;;;;;0,6310;1;;;;;Schwarz. 46 cm x 30 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Relax L</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 46 cm x 30 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Polyurethan</b></span><br><b>-> Zusätzlicher Komfort für gelegentlich lange Fahrten</i></b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><ul><li><b>Sporttourer, Dual-Sport, Straßenmaschinen, Nicht-Tourer Harleys</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10200_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10200_b_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10004;;AIRHAWK® Komfortkissen Comfort S;288;239.00;;;;;;;;D9396-004-03;D9396-004-03;SW-MOTECH;SW-MOTECH;61373205689;;;;;;0,7520;1;;;;;Schwarz. 28 cm x 23 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Comfort S</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 28 cm x 23 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Neoprenkautschuk</b></span><br><b>-> Perfekter Komfort für den engagierten Marathon- und Tourenfahrer</b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><ul><li><b>Sporttourer, Dual-Sport, Sportmaschinen, Straßenmaschinen, Nicht-Tourer Harleys</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10300_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10005;;AIRHAWK® Komfortkissen Comfort M;288;257.00;;;;;;;;D9396-005-03;D9396-005-03;SW-MOTECH;SW-MOTECH;61373205839;;;;;;0,9910;1;;;;;Schwarz. 36 cm x 36 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Comfort M</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 36 cm x 36 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Neoprenkautschuk</b></span><br><b>-> Perfekter Komfort für den engagierten Marathon- und Tourenfahrer</b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><ul><li><b>Große Cruiser, Sportmaschinen, Sporttourer, Straßenmaschinen, Nicht-Tourer Harleys</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_640_10400_b_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10006;;AIRHAWK® Komfortkissen Comfort L;288;257.00;;;;;;;;D9396-006-03;D9396-006-03;SW-MOTECH;SW-MOTECH;61373205688;;;;;;0,9930;1;;;;;Schwarz. 46 cm x 30 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Comfort L</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 46 cm x 30 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Neoprenkautschuk</b></span><br><b>-> Perfekter Komfort für den engagierten Marathon- und Tourenfahrer</i></b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><ul><li><b>Sporttourer, Dual-Sport, Straßenmaschinen, Nicht-Tourer Harleys</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10500_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10500_b_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10007;;AIRHAWK® Komfortkissen Premium;288;268.00;;;;;;;;D9396-007-03;D9396-007-03;SW-MOTECH;SW-MOTECH;61373207492;;;;;;0,9370;1;;;;;Schwarz. 39 cm x 36 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Premium</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Die Besonderheit:</b><br><br>In das AIRHAWK® Komfortkissen Premium fließt die gesamte Erfahrung aus dem mezinischen Bereich der Firma ROHO ein. Hier werden qualitative hochwertige Komfortkissen entwickelt, die bspw. Schmerzen lindern oder bei Heilungsprozessen helfen. Das besondere Merkmal dieses Kissens ist eine Aussparung in der Mitte, die unangenehme Druckpunkte am Körper vermeidet. <br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Geringes Gewicht - ca. 300g mit Bezug</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 39 cm x 36 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Neoprenkautschuk</b><br><b>-> Perfekter Komfort für den engagierten Marathon- und Tourenfahrer</b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul><b>Geeignet für:</b><br><b><ul><li>Große Cruiser, Sporttourer, Straßenmaschinen, Harleys, Nicht-Tourer Harleys, Sportmaschinen</b>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10600_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10600_b_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10008;;AIRHAWK® Komfortkissen Premium DS;288;257.00;;;;;;;;D9396-008-03;D9396-008-03;SW-MOTECH;SW-MOTECH;61373208493;;;;;;0,7000;1;;;;;Schwarz. 32 cm x 32 cm.;;<span style=font-size:18px><b>AIRHAWK® Komfortkissen Premium DS</b></span><br><br><b>AIRHAWK® Komfortkissen</b> bestehen aus einzelnen, miteinander verbundenen Luftzellen, die die Luft zwischen den Kammern übertragen und dabei das Körpergewicht gleichmäßig verteilen. Folge: Unübertroffener Komfort für längere Fahrten!<br><br><b>Fakten:</b><br><ul><li>Deutliche Steigerung des Sitzkomforts</li><li>Spürbare Reduzierung von Vibrationen und Erschütterungen</li><li>Kein Taubheitsgefühl und schmerzhafte Druckpunkte</li><li>Reduziert Körperhitze- und Feuchtigkeitsstau</li><li>Einfaches Befüllen durch Aufpusten</li><li>Sitzerhöhung nur 1 - 1,5 cm</li><li>Zusätzlicher Halt durch Befestigungsschlaufen</li><li>Größe: 32 cm x 32 cm</li></ul><b>Material:</b><ul><li>Komfortkissen aus <b>Neoprenkautschuk</b></span><br><b>-> Perfekter Komfort für den engagierten Marathon- und Tourenfahrer</i></b></li><li>Robuster Bezug aus einem Nylon-/Lycra-Mischgewebe mit Polyester</li><li>Rutschfeste Oberfläche auf Vinylbasis</li><li>Stretchmaterial auf der Oberseite</li><li>Wasserfestes Material im Sitzkissen</li><li>Waschbarer Bezug</li></ul>;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10700_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_460_10700_b_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10009;;TRAVELLER PRO Komfortkissen;288;268.00;;;;;;;;D9396-020-03;D9396-020-03;SW-MOTECH;SW-MOTECH;4052572029572;;;;;;0,7000;1;;;;;Schwarz.;;<p>Das Komfortkissen TRAVELLER PRO wurde in enger Zusammenarbeit von AIRHAWK® und SW-MOTECH entwickelt: Durch den Einsatz der AIRHAWK® Technologien Shape Fitting® und DRY FLOATATION® entlastet das Motorrad-Sitzkissen aus langlebigem, hoch elastischem Neopren Rücken und Sitzbein. Gleichzeitig sorgen die Luftpolster der bequemen, vibrationssenkenden Sitzbank-Auflage für konstante Durchblutung, weniger Druckstellen sowie reduzierte Wärme- und Schweißbildung während der Fahrt. TRAVELLER-Kissen bieten außerdem eine besonders robuste Kunstleder-Oberfläche sowie zusätzlichen Halt und Diebstahlschutz durch eine umlaufende Befestigung.</p> <b>Besonderheiten</b> <!--BB--><ul> <li> Entlastung für Rücken und Sitzbein</li> <li> Beugt Taubheitsgefühl und schmerzenden Druckstellen vor</li> <li> Reduzierte Wärme- und Schweißbildung</li> <li> Besonders hohe Vibrationsdämfung</li> <li> Oberfläche aus robustem Kunstleder und flexiblem Stretch-Material</li> <li> Stabiler Stretch-Befestigungsgurt</li> <li> Rutschfeste Unterseite</li> <li> Wasserfestes Innenkissen</li> <li> Passend für nahezu alle Motorräder und Sitzpositionen</li> <li> Material: Innenkissen aus langlebigem, hoch elastischem Neopren</li> <li> Maße: 28 x 30 cm</li> </ul><!--EB--> <b>Lieferumfang</b> <!--BL--><ul> <li>Hochwertiges Neopren-Innenkissen</li> <li>Kunstleder-Bezug mit Sitzbank-Halterung</li> </ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_3_xl.jpg,,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10000_b_5_xl.jpg;;;;;;;;;;;;;;;;;;;;;;;;
10010;;TRAVELLER ECO Komfortkissen;288;117.00;;;;;;;;D9396-021-03;D9396-021-03;SW-MOTECH;SW-MOTECH;4052572029589;;;;;;0,5180;1;;;;;Schwarz.;;<p>Das Komfortkissen TRAVELLER ECO wurde in enger Zusammenarbeit zwischen AIRHAWK® und SW-MOTECH entwickelt: Durch den Einsatz der AIRHAWK® Technologien Shape Fitting® und DRY FLOATATION® entlastet das Motorrad-Sitzkissen aus Polyurethan Rücken und Sitzbein. Gleichzeitig sorgen die Luftpolster der bequemen, vibrationssenkenden Sitzbank-Auflage für konstante Durchblutung, weniger Druckstellen sowie reduzierte Wärme- und Schweißbildung während der Fahrt. TRAVELLER-Kissen bieten außerdem eine robuste Kunstleder-Oberfläche sowie zusätzlichen Halt und Diebstahlschutz durch eine umlaufende Befestigung.</p> <b>Besonderheiten:</b> <!--BB--><ul> <li> Entlastung für Rücken und Sitzbein</li> <li> Beugt Taubheitsgefühl und schmerzenden Druckstellen vor</li> <li> Reduzierte Wärme- und Schweißbildung</li> <li> Oberfläche aus robustem Kunstleder und flexiblem Stretch-Material</li> <li> Stabiler Stretch-Befestigungsgurt</li> <li> Rutschfeste Unterseite</li> <li> Wasserfestes Innenkissen</li> <li> Passend für nahezu alle Motorräder und Sitzpositionen</li> <li> Material: Innenkissen aus Polyurethan</li> <li> Maße: 28 x 23 cm</li> </ul><!--EB--> <b>Lieferumfang:</b> <!--BL--><ul> <li>Wasserfestes Polyurethan-Innenkissen</li> <li>Kunstleder-Bezug mit Sitzbank-Halterung</li> </ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/air_00_495_10100_b_3_xl.jpg,;;;;;;;;;;;;;;;;;;;;;;;;
