ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat);;
10001;;Coussin AIRHAWK® Relax S;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 28 cm x 23 cm.;<span style=font-Taille :18px> <b>Coussin AIRHAWK® Relax S</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li> <li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 28 cm x 23 cm</li></ul><b>Matière:</b><ul><li>Coussin en <span style=Couleur :#DA2321> <b>Polyuréthane</b></span><br><b>Confort additionnel pour le motard occasionnel</b></li> <li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><ul><li>Routière, Sportive, Roadster, Trail, Custom</b>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10002;;Coussin AIRHAWK® Relax S;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 36 cm x 36 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Relax M</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 36 cm x 36 cm</li></ul><b>Matière:</b><ul><li>Coussin en <span style=Couleur :#DA2321><b>Polyuréthane</b></span><br><b>Confort additionnel pour le motard occasionnel</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><u>Pour:</u><br><b><i>Routière, Sportive, Roadster, Trail, Custom</i></b>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10003;;Coussin AIRHAWK® Relax L;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 46 cm x 30 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Relax L</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 46 cm x 30 cm</li></ul><b>Matière:</b><ul><li>Coussin en <span style=Couleur :#DA2321><b>Polyuréthane</b></span><br><b>Confort additionnel pour le motard occasionnel</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><br><b>Routière, Sportive, Roadster, Trail, Custom</b>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10004;;Coussin AIRHAWK® Confort S;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 28 cm x 23 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Confort S</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 28 cm x 23 cm</li></ul><b>Matière:</b><ul><li>Coussin en<span style=Couleur :#DA2321><b> Néoprène silent bloc</b></span><br><b>->Idéal pour les longs voyages</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><ul><li>Routière, Sportive, Roadster, Trail, Custom</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10005;;Coussin AIRHAWK® Confort M;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 36 cm x 36 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Confort M</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 36 cm x 36 cm</li></ul><b>Matière:</b><ul><li>Coussin en<span style=Couleur :#DA2321><b> Néoprène silent bloc</b></span><br><b>->Idéal pour les longs voyages</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><ul><li>Routière, Sportive, Roadster, Trail, Custom</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10006;;Coussin AIRHAWK® Confort L;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 46 cm x 30 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Confort L</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 46 cm x 30 cm</li></ul><b>Matière:</b><ul><li>Coussin en<span style=Couleur :#DA2321><b> Néoprène silent bloc</b></span><br><b>->Idéal pour les longs voyages</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><ul><li>Routière, Sportive, Roadster, Trail, Custom</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10007;;Coussin AIRHAWK® Premium;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 39 cm x 36 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Premium</b></span><br><br><b>Coussin AIRHAWK®s</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><ul><li>Ce coussin a une découpe stratégique pour avoir une zone de contact particulière qui parcourt le centre du coussin davant en arrière ce qui permet davoir 3 points de contacts: coccyx, prostate et scrotum.</li></ul><b>Détails:</b><br><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile</li><li>Très léger - 300g </li><li>Epaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 39 cm x 36 cm</li></ul><b>Matière:</b><ul><li>Coussin en <span style=Couleur :#DA2321><b> Néoprène silent bloc</b></span><br><b>->Idéal pour les longs voyages</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li></ul><b>Pour:</b><ul><li>Cruiser, Sportive, Roadster, Harley, Custom, Trail...</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10008;;Coussin AIRHAWK® Premium DS;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir. 32 cm x 32 cm.;<span style=font-Taille :18px><b>Coussin AIRHAWK® Premium DS</b></span><br><br><b>Coussin AIRHAWK®</b> constitués de cellules dair individuelles qui sont liées entre elles et transfèrent lair entre les chambres. Le poids est réparti uniformément et lensemble des coussins sajuste à la forme. Conséquence: un confort inégalé pour les longs trajets!<br><br><b>Détails:</b><ul><li>Ce coussin a une découpe stratégique pour avoir une zone de contact particulière qui parcourt le centre du coussin davant en arrière ce qui permet davoir 3 points de contacts: coccyx, prostate et scrotum.</li></ul><b>Détails:</b><ul><li>Améliore le confort</li><li>Réduction notable des vibrations</li><li>Élimination des points douloureux ce qui favorise la circulation sanguine</li><li>Améliore la passage de lair : pas de sensation de selle chaude</li><li>Gonflage facile </li><li>Épaisseur 1 - 1,5 cm</li><li>Fixation par sangles à boucle</li><li>Taille : 32 cm x 32 cm</li></ul><b>Matière:</b><ul><li>Coussin en <span style=Couleur :#DA2321><b> Néoprène</b></span><br><b>->Idéal pour les longs voyages</b></li><li>Housse solide en Nylon / Lycra et revêtement avec Polyester</li><li>Surface antidérapante en Vinyle</li><li>Revêtement Stretch sur le haut</li><li>Coussin en matière étanche</li><li>Housse lavable</li>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10009;;TRAVELLER PRO Coussin ;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir.;<p>Le coussin de confort TRAVELLER PRO a été développé grâce à une étroite collaboration entre AIRHAWK® et SW-MOTECH. Il est l’accessoire indispensable aux gros rouleurs qui cherchent une solution discrète et efficace pour les longues journées à moto. Conforme aux technologies de AIRHAWK® Shape Fitting® et DRY FLOATATION®, le coussin est en matériau néoprène. Les bulles d’air stimulent en permanence la circulation du sang, évitant l’effet d’engourdissement. Elles permettent à la fois de réduire les vibrations, tout en évacuant la transpiration et la chaleur grâce au canal central. L’étui est en cuir artificiel pour un confort et une qualité haut de gamme. L’étui est fixé à la moto de façon sécurisée grâce à un système de fixation qui entoure la selle, en s’intégrant ainsi du mieux possible dans les lignes de la moto.</p> <b> Caractéristiques :</b> <!--BB--><ul> <li> Accroissement du confort de l’assise, de l’entrejambe, et du dos</li> <li> Prévient l’effet d’engourdissement et l’apparition de douleurs</li> <li> Réduit la production de chaleur et favorise l’évacuation de la transpiration</li> <li> Canalise et atténue le ressenti des vibrations de la moto</li> <li> Etui confectionné d’une combinaison de cuir artificiel et de matériau souple et élastique</li> <li> Système de fixation élastique et particulièrement stable</li> <li> Surface intérieure antidérapante</li> <li> Coussin intérieur résistant à l’eau</li> <li> Compatible avec la majorité des modèles de moto et types de selles</li> <li> Matériau: coussin interne en néoprène extrêmement résistant et souple</li> <li> Dimensions : 28 x 30 cm</li> </ul><!--EB--> <b>Contenu :</b> <!--BL--><ul> <li>Coussin interne en néoprène de haute qualité</li> <li>Etui en cuir artificiel avec système de fixation intégré</li> </ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10010;;Coussin TRAVELLER ECO;;;;;;;;;;;;;;;;;;;;;;;;;;;Noir.;<p>Le coussin de confort TRAVELLER ECO a été développé grâce à une étroite collaboration entre AIRHAWK® et SW-MOTECH. Il est l’accessoire indispensable aux gros rouleurs qui cherchent une solution discrète et efficace pour les longues journées à moto. Conforme aux technologies de AIRHAWK® Shape Fitting® et DRY FLOATATION®, le coussin est en matériau polyuréthane. Les bulles d’air stimulent en permanence la circulation du sang, évitant l’effet d’engourdissement. Elles permettent à la fois de réduire les vibrations, tout en évacuant la transpiration et la chaleur grâce au canal central. L’étui est en cuir artificiel pour un confort et une qualité haut de gamme. L’étui est fixé à la moto de façon sécurisée grâce à un système de fixation qui entoure la selle, en s’intégrant ainsi du mieux possible dans les lignes de la moto.</p> <b> Caractéristiques :</b> <!--BB--><ul> <li> Accroissement du confort de l’assise, de l’entrejambe, et du dos</li> <li> Prévient l’effet d’engourdissement et l’apparition de douleurs</li> <li> Réduit la production de chaleur et favorise l’évacuation de la transpiration</li> <li> Canalise et atténue le ressenti des vibrations de la moto</li> <li> Etui confectionné d’une combinaison de cuir artificiel et de matériau souple et élastique</li> <li> Système de fixation élastique et particulièrement stable</li> <li> Surface intérieure antidérapante</li> <li> Coussin intérieur résistant à l’eau</li> <li> Compatible avec la majorité des modèles de moto et types de selles</li> <li> Matériau: coussin interne en polyuréthane</li> <li> Dimensions : 28 x 30 cm</li> </ul><!--EB--> <b>Contenu :</b> <!--BL--><ul> <li>Coussin interne en polyuréthane</li> <li>Etui en cuir artificiel avec système de fixation intégré</li> </ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
