ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10301;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-011-M;D9398-011-M;SW-MOTECH;SW-MOTECH;4052572003183;;;;;;0,1900;1;;;;;Silber. Honda XL650V (02-06) / XL700V (07-).;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10302;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-012-M;D9398-012-M;SW-MOTECH;SW-MOTECH;4052572003190;;;;;;0,1600;1;;;;;Silber. Honda XRV 750 / Africa Twin;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst</li></ul><b>Lieferumfang:</b><br><br><ul><!--BL--><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10303;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-014-M;D9398-014-M;SW-MOTECH;SW-MOTECH;4052572003206;;;;;;0,1950;1;;;;;Silber. Honda CB 1300. BMW. Triumph.;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste.</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10304;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-038-93;D9398-038-93;SW-MOTECH;SW-MOTECH;4052572022702;;;;;;1,1000;1;;;;;Silber. Husqvarna TR 650 Terra / Strada (12-).;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_03_011_10000_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_03_011_10000_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_03_011_10000_s_3_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10305;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-038-M;D9398-038-M;SW-MOTECH;SW-MOTECH;4052572022719;;;;;;0,2440;1;;;;;Silber. Husqvarna TR 650 Terra / Strada (12-).;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste<li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10306;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-016-93;D9398-016-93;SW-MOTECH;SW-MOTECH;4052572003213;;;;;;1,1100;1;;;;;Silber. KTM Modelle;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_04_011_10100_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_04_011_10100_s_2_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10307;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-016-M;D9398-016-M;SW-MOTECH;SW-MOTECH;4052572003220;;;;;;0,1560;1;;;;;Silber. KTM Modelle.;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10308;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-017-93;D9398-017-93;SW-MOTECH;SW-MOTECH;4052572003237;;;;;;1,1000;1;;;;;Silber. Suzuki DL 650/1000, BMW F800R/GT, Shiver.;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_05_011_10000_s_1_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_05_011_10000_s_2_xl.jpg,http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs_05_011_10000_s_3_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10309;;Fußrasten-Kit;288;117.00;;;;;;;;D9398-018-93;D9398-018-93;SW-MOTECH;SW-MOTECH;4052572003244;;;;;;1,1100;1;;;;;Silber. Suzuki GSR600 / GSF1250/S / GSX650/1250F.;;<b>SW-MOTECH Fußrasten-Kit</b><ul><li>Zur Montage an der Fußrastenaufnahme</li><li>Aus hochwertigem, korrosionsbeständigem Edelstahlguss mit abnehmbarer Gummiauflage</li><li>Groß dimensionierte Aufstandsfläche</li><li>Abrutschsicher durch profilierte Oberflächenstruktur</li><li>Fußrastengelenk aus hochfester Aluminium-Legierung CNC-gefräst</li><li>In 2 Höhenpositionen verschraubbar (Originalposition und 15 mm tiefer)</li><li>Geeignet für Offroad und Toureneinsätze</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrasten inklusive Haltegelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;http://shop.sw-motech.com/cosmoshop/downloads/produktbilder/frs0501110100s_1_xl.jpg;;;;;;;;;;;;;;;;;;;;;;
10310;;Anbaumaterial für Fußraste;288;59.00;;;;;;;;D9398-017-M;D9398-017-M;SW-MOTECH;SW-MOTECH;4052572003251;;;;;;0,1360;1;;;;;Silber. Suzuki DL 650/1000, BMW F800R/GT, Shiver.;;<b>SW-MOTECH Anbaumaterial für Fußraste</b><ul><li>Zur Montage an der Fußrastenaufnahme. Verwendung in Kombination mit der Fußraste</li><li>Gelenk aus hochfester Aluminium-Legierung CNC-gefräst.</li></ul><b>Lieferumfang:</b><!--BL--><ul><li>2 Fußrastengelenke</li><li>Montagematerial</li><li>Anbauanleitung</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
