ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10701;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-500-03;D9390-500-03;SW-MOTECH;SW-MOTECH;4052572024584;;;;;;1,3100;1;;;;;Honda CBR600RR CB500F CBR500R CB650F CBR650F.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10702;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-501-03;D9390-501-03;SW-MOTECH;SW-MOTECH;4052572024591;;;;;;1,4000;1;;;;;Honda CB 1000 R (08-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10703;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-502-03;D9390-502-03;SW-MOTECH;SW-MOTECH;4052572024652;;;;;;1,1000;1;;;;;Honda CBF 500/600/1000.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10704;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-503-03;D9390-503-03;SW-MOTECH;SW-MOTECH;4052572024669;;;;;;1,2000;1;;;;;Honda CB600F / CBR600F.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10705;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-516-03;D9390-516-03;SW-MOTECH;SW-MOTECH;4052572025116;;;;;;0,9280;1;;;;;Honda CBR 1000 RR (08-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10706;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-533-03;D9390-533-03;SW-MOTECH;SW-MOTECH;4052572024676;;;;;;1,3600;1;;;;;Honda VFR800X Crossrunner (11-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10707;;BLAZE® Satteltaschen Abstandsbügel;288;105.00;;;;;;;;D9390-537-03;D9390-537-03;SW-MOTECH;SW-MOTECH;4052572024683;;;;;;1,3300;1;;;;;Honda CBR 1000 RR (04-07).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10708;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-538-03;D9390-538-03;SW-MOTECH;SW-MOTECH;4052572024690;;;;;;1,1000;1;;;;;Honda NC700 X / S / Integra (11-), NC 750 SD (14-);;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10709;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-547-03;D9390-547-03;SW-MOTECH;SW-MOTECH;4052572024706;;;;;;1,5700;1;;;;;Honda CB 1100 (13-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10710;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-549-03;D9390-549-03;SW-MOTECH;SW-MOTECH;4052572025727;;;;;;1,3000;1;;;;;Honda CB 500 X (13-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
