ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10301;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Honda XL 700 V Transalp;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10302;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Honda XRV 750 Africa Twin;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10303;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Honda CB 1300.;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10304;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Husqvarna TR 650 Terra / Strada (12-).;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10305;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Husqvarna TR 650 Terra / Strada (12-).;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10306;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. KTM modèles.;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10307;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. KTM modèles.;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10308;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. SUZ DL650 / BMW F800R / Aprilia SL750Shive;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10309;;Kit de cale-pieds;;;;;;;;;;;;;;;;;;;;;;;;;;;Gris. Suzuki GSR600 / GSF1250/S / GSX650/1250F;<b>Kit de repose-pieds SW-MOTECH</b><ul><li>à fixer sur le support dorigine</li><li> Traité contre la corrosion, avec des caoutchoucs détachables</li><li>Large surface de contact</li><li>Limite les crampes</li><li>repose-pieds à Usinage CNC, à base daluminium très résistant </li><li>Ajustable en deux positions (originale position et -15 mm)</li><li>Pour lOffroad et le Touring</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10310;;Kit de montage pour cale-pied;;;;;;;;;;;;;;;;;;;;;;;;;;;Couleur gris métal. Suzuki DL 650 V-Strom;<b>Kit de fixation pour repose-pieds SW-MOTECH</b><ul><li>Pour fixer le support de repose-pieds. En combinaison avec le kit de repose-pieds</li><li>Usinage CNC, à base daluminium très résistant</li></ul><b>Inclus:</b><!--BL--><ul><li>2 repose-pieds </li><li>Matériel de montage</li><li>Notice de montage<!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
