ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
12000;;Tucano Urbano Thermodecke Scooty Z5801-013-03;290;159;;;;;;;;Z5801-013-03;Z5801-013-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12001;;Tucano Urbano Thermodecke Scooty Z5801-017-03;290;159;;;;;;;;Z5801-017-03;Z5801-017-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12002;;Tucano Urbano Thermodecke Scooty Z5801-018-03;290;159;;;;;;;;Z5801-018-03;Z5801-018-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12003;;Tucano Urbano Thermodecke Scooty Z5801-019-03;290;159;;;;;;;;Z5801-019-03;Z5801-019-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12004;;Tucano Urbano Thermodecke Scooty Z5801-021-03;290;159;;;;;;;;Z5801-021-03;Z5801-021-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 72 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12005;;Tucano Urbano Thermodecke Scooty Z5801-025-03;290;159;;;;;;;;Z5801-025-03;Z5801-025-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12006;;Tucano Urbano Thermodecke Scooty Z5801-029-03F;290;159;;;;;;;;Z5801-029-03F;Z5801-029-03F;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 72 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12007;;Tucano Urbano Thermodecke Scooty Z5801-031-03;290;159;;;;;;;;Z5801-031-03;Z5801-031-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12008;;Tucano Urbano Thermodecke Scooty Z5801-032-03;290;159;;;;;;;;Z5801-032-03;Z5801-032-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 72 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
12009;;Tucano Urbano Thermodecke Scooty Z5801-033-03;290;159;;;;;;;;Z5801-033-03;Z5801-033-03;8;23;;;;;;;;1;;;;;<b>Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.</b> Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;Schlauch Länge 62 cm;;;;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;;;;;;;;http://www.motochic.ch/shopimages/super/Z5801-Typ.jpg;;;;;;;;;;;;;;;;;;;;;;
