ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
12000;;Tucano Urbano Couverture thermo Scooty Z5801-013-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12001;;Tucano Urbano Couverture thermo Scooty Z5801-017-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12002;;Tucano Urbano Couverture thermo Scooty Z5801-018-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12003;;Tucano Urbano Couverture thermo Scooty Z5801-019-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12004;;Tucano Urbano Couverture thermo Scooty Z5801-021-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12005;;Tucano Urbano Couverture thermo Scooty Z5801-025-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12006;;Tucano Urbano Couverture thermo Scooty Z5801-029-03F;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12007;;Tucano Urbano Couverture thermo Scooty Z5801-031-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12008;;Tucano Urbano Couverture thermo Scooty Z5801-032-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12009;;Tucano Urbano Couverture thermo Scooty Z5801-033-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12010;;Tucano Urbano Couverture thermo Scooty Z5801-034-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12011;;Tucano Urbano Couverture thermo Scooty Z5801-035-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12012;;Tucano Urbano Couverture thermo Scooty Z5801-036-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12013;;Tucano Urbano Couverture thermo Scooty Z5801-037-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12014;;Tucano Urbano Couverture thermo Scooty Z5801-038-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12015;;Tucano Urbano Couverture thermo Scooty Z5801-039-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 72 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12016;;Tucano Urbano Couverture thermo Scooty Z5801-040-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12017;;Tucano Urbano Couverture thermo Scooty Z5801-041-03;;;;;;;;;;;;;;;;;;;;;;;;;;<b>Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante. </b>Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;Longueur tuyau 62 cm;;;;Nylon enduit, imperméable à l’eau, doublure en matière synthétique isolante.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
