id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Filtre 1;Filtre 2;Filtre 3;Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
100000;0;Db-Killer Échange X-Treme Cb1000R (84.1012.I);433;54.63;1;34.96;1;;;;;32.2760;;Freidig;Arrow;;;;;;;;4.00;;both;;;;;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;DB-Killer;;Compatibilité marque:Accessoires:1,Utilisation:DB-Killer:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100001;1;Ruban D'Échappement Dei 1 Pouces;433;45.37;1;25.86;1;;;;;10101;;Freidig;Arrow;;;;;;;;2.00;;both;;;;"Beige (Tan) 1"" 25Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10101_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10101_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100002;1;Ruban D'Échappement Dei 2 Pouces;433;73.15;1;41.70;1;;;;;10102;;Freidig;Arrow;;;;;;;;1.00;;both;;;;"Beige (Tan) 2"" 51 Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10102_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10102_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100003;1;Ruban D'Échappement Dei 1 Pouce;433;54.63;1;31.14;1;;;;;10107;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"Noir 1"" 25Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10107_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10107_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100004;1;Ruban D'Échappement Dei 2 Pouces;433;82.41;1;46.97;1;;;;;10108;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"Noir 2"" 51 Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10108_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10108_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100005;1;Ruban D'Échappement Dei 1 Pouce;433;63.89;1;36.42;1;;;;;10126;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"Titan 1"" 25Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10126_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10126_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100006;1;Ruban D'Échappement Dei 2 Pouces;433;91.67;1;52.25;1;;;;;10127;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"Titan 2"" 51 Mm";<ul><li>Dei Ruban Isolant D‘Échappement</li><li>Pierre De Lave Pulvérisé</li><li>Résistant Jusqu‘À 1‘370°C</li><li>Très Facile À Plier</li><li>Enroulement Sécure Et Etroit</li><li>Rouleau À 15M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10127_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10127_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100007;1;Bride Acier Chromé Dei;433;23.15;1;13.20;1;;;;;10201;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"20 Cm 8"" (8 Pcs)";<ul><li>Utilisation: Fixation Fin Ruban D'Echappement</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10201_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10201_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100008;1;Bride Acier Chromé Dei;433;17.59;1;10.03;1;;;;;10202;;Freidig;Arrow;;;;;;;;4.00;;both;;;;"35 Cm 14"" (4 Pcs)";<ul><li>Utilisation: Fixation Fin Ruban D'Echappement</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10202_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10202_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100009;1;Outil  Dei;433;9.17;1;5.23;1;;;;;10220;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Pour Bride;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;10220_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/10220_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100010;0;Gianelli Scooter;433;121.3;1;90.98;1;;;;;72250;;Freidig;Arrow;;;;;;;;0.00;;both;;;;;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;HVA;Offroad / Enduro;Racing;Compatibilité marque:HVA:1,Utilisation:Offroad / Enduro:2,Homologation:Racing:3;1;new;0;0;0;0;0;0;0;0
100011;1;Dei Bodywork Protection;433;82.41;1;46.97;1;;;;;902329;;Freidig;Arrow;;;;;;;;4.00;;both;;;;Kit;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;902329_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/902329_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100012;1;Dei Protect A Wire ;433;23.15;1;13.20;1;;;;;906634;;Freidig;Arrow;;;;;;;;4.00;;both;;;;8 Mm Noir;<ul><li>Réfractaire</li><li>Avec Gaine Contractile</li><li>8 Mm X 3,3 M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;906634_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/906634_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100013;1;Dei Protect A Wire ;433;23.15;1;13.20;1;;;;;906638;;Freidig;Arrow;;;;;;;;4.00;;both;;;;10 Mm Orange;<ul><li>Réfractaire</li><li>Avec Gaine Contractile</li><li>10 Mm X 3,3 M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;906638_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/906638_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100014;1;Dei Protect A Sleeve;433;36.11;1;20.58;1;;;;;910475;;Freidig;Arrow;;;;;;;;3.00;;both;;;;Titane;<ul><li>Réfractaire</li><li>Avec Gaine Contractile</li><li>13 Mm X 1,3 M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;910475_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/910475_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100015;1;Dei Ruban Isolant;433;23.15;1;13.20;1;;;;;910491;;Freidig;Arrow;;;;;;;;4.00;;both;;;;Auto-Fusionnant, Réfractaire,;<ul><li>2,5 Cm X 4 M</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;910491_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/910491_0.jpg;0;Accessoires;Ruban d'échappement;;Compatibilité marque:Accessoires:1,Utilisation:Ruban d'échappement:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100016;1;Arrow Zubehör;433;10.19;1;6.52;1;;;;;3080004;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Bride Pour Yamaha Xtz750;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3080004_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3080004_0.jpg;0;Accessoires;DB-Killer;;Compatibilité marque:Accessoires:1,Utilisation:DB-Killer:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100017;1;Arrow Accessoire;433;5.46;1;4.10;1;;;;;3245005;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Molletta Rapid-Nut 995 M6  ;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3245005_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3245005_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100018;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3608011;;Freidig;Arrow;;;;;;;;4.00;;both;;;;Stainless Steel 4.8 Mm Rivet;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3608011_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3608011_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100019;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3608016;;Freidig;Arrow;;;;;;;;4.00;;both;;;;Aluminium Black 3.0 Mm Rivet (End Cap);;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3608016_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3608016_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100020;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3640022;;Freidig;Arrow;;;;;;;;1.00;;both;;;;Seegerring Db-Killer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3640022_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3640022_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
