id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
56590;0;235/40 Zr19 96Y Pil Sup Sport;379;350.67;1;487.04;1;;;;;55260;;Freidig;Continental;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;0;0;0;;1;new;0;0;0;0;0;0;0;0
56591;0;100/80 - 10 53J S1 Tl/Tt;379;29;1;58;1;;;;;57008;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057008_0.jpg;http://www.motogoodeal.ch/img/import/057008_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Scooter:2;1;new;0;0;0;0;0;0;0;0
56592;0;2.75 - 17 47S Reinf M45 Tt   E2;379;31.11;1;51;1;;;;;57019;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057019_0.jpg;http://www.motogoodeal.ch/img/import/057019_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Route:2;1;new;0;0;0;0;0;0;0;0
56593;0;120/70 - 12 51L Bopper Tl/Tt;379;43;1;86;1;;;;;57023;;Freidig;Michelin;;;;;;;;1;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057023_0.jpg;http://www.motogoodeal.ch/img/import/057023_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Scooter:2;1;new;0;0;0;0;0;0;0;0
56594;0;130/70 - 12 56L Bopper Tl/Tt;379;45.5;1;91;1;;;;;57024;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057024_0.jpg;http://www.motogoodeal.ch/img/import/057024_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Scooter:2;1;new;0;0;0;0;0;0;0;0
56595;0;120/90 - 10 57L Bopper Tl/Tt;379;40.5;1;81;1;;;;;57030;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057030_0.jpg;http://www.motogoodeal.ch/img/import/057030_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Scooter:2;1;new;0;0;0;0;0;0;0;0
56596;0;130/90 - 10 61L Bopper Tl/Tt;379;44;1;88;1;;;;;57031;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057031_0.jpg;http://www.motogoodeal.ch/img/import/057031_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Scooter:2;1;new;0;0;0;0;0;0;0;0
56597;0;100/90 - 19 57H Commander F Tl/Tt;379;120.17;1;197;1;;;;;57098;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057098_0.jpg;http://www.motogoodeal.ch/img/import/057098_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Route:2;1;new;0;0;0;0;0;0;0;0
56598;0;Mh90 - 21 56H Commander F Tl/Tt;379;131.76;1;216;1;;;;;57099;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057099_0.jpg;http://www.motogoodeal.ch/img/import/057099_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Route:2;1;new;0;0;0;0;0;0;0;0
56599;0;Mt90 B 16 74H Commander R Tl/Tt;379;187.88;1;308;1;;;;;57102;;Freidig;Michelin;;;;;;;;0;;both;;;;;0;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-02-15;2016-02-15;1;http://www.motogoodeal.ch/img/import/;057102_0.jpg;http://www.motogoodeal.ch/img/import/057102_0.jpg;0;Marque:Michelin:1,Type de pneu:Michelin Route:2;1;new;0;0;0;0;0;0;0;0
