id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45485;1;Assortiment Circlips 300Pcs;261;23.15;1;17.3625;0;;;;;0296;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/0296_0.jpg;0;Accessoires:Set E-Ring:3;1;new;;;;;;;;
45486;1;Assortiment Joints Toriques Mm;261;39.81;1;29.8575;0;;;;;0299;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/0299_0.jpg;0;Accessoires:Set O-Ring:3;1;new;;;;;;;;
45487;1;Büse Fx Micro Sponsor Sticker Kit M;313;23.15;1;14.816;0;;;;;314 M;;Freidig;Büse;;;;;;;;0;1;both;;;;Autocollant Ca. 51 X 35 Cm;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/314 M_0.jpg;0;;1;new;;;;;;;;
45488;1;Set Band Cable 650Pcs;261;23.15;1;17.3625;0;;;;;0876;;Freidig;;;;;;;;;0;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/0876_0.jpg;0;Accessoires:Set liants de câble:3;1;new;;;;;;;;
45489;1;Verre Mesureur 500 Ml;261;17.59;1;11.2576;0;;;;;0001010;;Freidig;;;;;;;;;2;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/0001010_0.jpg;0;Accessoires:Gobelets gradué:3;1;new;;;;;;;;
45490;1;Clignotant Enduro;307;41.67;1;26.6688;0;;;;;0001335;;Freidig;;;;;;;;;3;1;both;;;;12V / 10W;<ul><li>Universel</li><li>Noir</li><li>Paire</li><li>110 Mm</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/0001335_0.jpg;0;Type de clignotants:Clignotants standard:2;1;new;;;;;;;;
45491;1;Protection De Reservoir Future;320;36.11;1;19.1383;0;;;;;1501;;Freidig;;;;;;;;;0;1;both;;;;Italie / Carbon;<ul><li>225X153.3Mm</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1501_0.jpg;0;Couleur:Carbon:1;1;new;;;;;;;;
45492;1;Protection De Reservoir;320;26.85;1;14.2305;0;;;;;1502;;Freidig;;;;;;;;;0;1;both;;;;;<ul><li>221.1X144.3Mm</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1502_0.png;0;;1;new;;;;;;;;
45493;1;Protection De Reservoir Carbon Cg Medium;320;17.59;1;9.3227;0;;;;;1503;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1503_0.jpg;0;;1;new;;;;;;;;
45494;1;Protection De Reservoir Carbon Cgs;320;26.85;1;14.2305;0;;;;;1504;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1504_0.jpg;0;;1;new;;;;;;;;
45495;1;Protection De Reservoir Carbon Ce Maxi;320;26.85;1;14.2305;0;;;;;1505;;Freidig;;;;;;;;;3;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1505_0.jpg;0;;1;new;;;;;;;;
45496;1;Protection De Reservoir Carbon Ce Medium;320;22.22;1;11.7766;0;;;;;1506;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1506_0.jpg;0;;1;new;;;;;;;;
45497;1;Protection De Reservoir Carbon;320;23.15;1;12.2695;0;;;;;1507;;Freidig;;;;;;;;;0;1;both;;;;Slim;<ul><li>193X76Mm</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1507_0.jpg;0;;1;new;;;;;;;;
45498;1;Protection De Reservoir Transparent;320;23.15;1;12.2695;0;;;;;1508;;Freidig;;;;;;;;;0;1;both;;;;Slim;<ul><li>193X76Mm</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/1508_0.jpg;0;;1;new;;;;;;;;
45499;1;Poignee Ariete;283;23.15;1;14.816;0;;;;;01612;;Freidig;;;;;;;;;4;1;both;;;;Embouts Fermés 130 Mm;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/01612_0.jpg;0;Type de poignées:Poignées:2,Pour:Street:3;1;new;;;;;;;;
45500;1;Poignees Road Harri'S Carbon;283;36.11;1;23.1104;0;;;;;01687;;Freidig;Road Harri'S;;;;;;;;2;1;both;;;;;<ul><li>Embouts Ouverts</li></ul>;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/01687_0.jpg;0;Type de poignées:Poignées:2,Pour:Street:3;1;new;;;;;;;;
45501;1;Poignees Off Road Ariete Half Waffle Gris;283,429;26.85;1;17.184;0;;;;;01699;;Freidig;;;;;;;;;4;1;both;;;;;;;;;;;;;1;;;1;https://www.motogoodeal.ch/img/import/01699_0.jpg;0;Type de poignées:Poignées:2,Pour:Offroad:3;1;new;;;;;;;;
