id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45485;;E-Ring Set 300Stk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45486;;O-Ring Set Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45488;;Kabelbänder-Set 650 Stk.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45489;;Messbecher 500 Ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45490;;Blinker Enduro;;;;;;;;;;;;;;;;;;;;;;;;;;;Paar 12V / 10W;<ul><li>Universal</li><li>Schwarz</li><li>Paar</li><li>110 Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45491;;Tankpad Future;;;;;;;;;;;;;;;;;;;;;;;;;;;Italien/Carbon;<ul><li>225X153.3Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45492;;Tank Pads;;;;;;;;;;;;;;;;;;;;;;;;;;;Don'T Touch;<ul><li>221.1X144.3Mm</li></li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45493;;Tankpad Carbon Design ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cg Medium;;;;;;;;;;;;;;;;;;;;;;;;;
45494;;Tankpad Carbon Design ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cg-749;;;;;;;;;;;;;;;;;;;;;;;;;
45495;;Tankpad Carbon Design ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ce Maxi;;;;;;;;;;;;;;;;;;;;;;;;;
45496;;Tankpad Carbon Design ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ce Medium;;;;;;;;;;;;;;;;;;;;;;;;;
45497;;Tankpad Carbon Design ;;;;;;;;;;;;;;;;;;;;;;;;;;;Slim;<ul><li>193X76Mm</li></li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45498;;Tankpad Transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;Slim;<ul><li>193X76Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45499;;Griffgummi Ariete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Geschlossen ;<ul><li>133Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45500;;Griffgummi Road Harri'S Carbon;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Geschlossen;;;;;;;;;;;;;;;;;;;;;;;;;
45501;;Griffgummi Ariete Off Road Grau;;;;;;;;;;;;;;;;;;;;;;;;;;;Half Waffle Soft;<ul><li>125Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45502;;Tankrucksack Büse Vario 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>Einteiliger Magnet-Tankrucksack</li><li>6 Haftstarke Magnete</li><li>Traggriffe</li><li>Schultergurt</li><li>Grösse: Ca. 28X23 Cm</li><li>Volumen: Ca. 12 L</li><li>Erweiterung Von Ca. 10 L Durch Umlaufenden Reissverschluss</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45503;;Tankrucksack Büse  Multi ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>Zweiteiliger Magnet-Tankrucksack</li><li>8 Haftstarke Magnete</li><li>Traggriffe</li><li>Schultergurt</li><li>Kartenfächer In Allen Drei Ebenen</li><li>Grösse: Ca. 28X23 Cm</li><li>Volumen: Ca. 26.5 L</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45504;;Regenhaube Für Multi + Vario 1;;;;;;;;;;;;;;;;;;;;;;;;;;;Tankrucksack;<ul><li>Regenhaube Zu Tankrucksack Multi Und Vario 1</li><li>Mit Sichtfenster Und Kordelzug</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45505;;Zündkerzenschlüssel ;;;;;;;;;;;;;;;;;;;;;;;;;;;18 Mm L110;;;;;;;;;;;;;;;;;;;;;;;;;
45506;;Zündkerzenschlüssel ;;;;;;;;;;;;;;;;;;;;;;;;;;;21 Mm L65;;;;;;;;;;;;;;;;;;;;;;;;;
45507;;Speichenschlüssel 6 Weiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45508;;Speichenschlüssel 6,5 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45509;;Speichenschlüssel 6,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45510;;Pneuhebelset 3 Stück;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45511;;Pneuhebelsatz Gross;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>Montierhebel, 3Er Satz, Chrom-Vanadium-Stahl Mit Hebelbefestigungsrahmen, (2 Hebel = 350Mm, 1Hebel = 240Mm)</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45512;;Trenn- Und Nietwerkzeug ;;;;;;;;;;;;;;;;;;;;;;;;;;;520-532 Buzzetti;;;;;;;;;;;;;;;;;;;;;;;;;
45513;;Trennwerkzeug Für Ketten;;;;;;;;;;;;;;;;;;;;;;;;;;;428-632 Regina;<ul><li>Ersatztrennspitze 520-632= 805173</li><li>Ersatztrennspitze 420-428= 805174</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45514;;Trenn- Und Nietwerkzeug ;;;;;;;;;;;;;;;;;;;;;;;;;;;520-532 Whale;;;;;;;;;;;;;;;;;;;;;;;;;
45515;;Trenn- Und Nietwerkzeug ;;;;;;;;;;;;;;;;;;;;;;;;;;;520-532 Für Hohlnietschlösser;<ul><li>Es Dürfen Damit Nur Hohlbolzenketten Vernietet Werden! 520-532</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45516;;Trinkschlauch Camelbag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45517;;R-Spiegel Adapter Montage Von ;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 8 Mm Gewinde;<ul><li>Schwarz</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45518;;Schraube Spez.  Zu Traverse;;;;;;;;;;;;;;;;;;;;;;;;;;;M4X7.5 A2 Ähnlich Din 965  10Stk.;;;;;;;;;;;;;;;;;;;;;;;;;
45520;;Ersatz Drink Bag H20 / 2 Lt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45521;;Ariete Schlammspachtel;;;;;;;;;;;;;;;;;;;;;;;;;;;Rot;;;;;;;;;;;;;;;;;;;;;;;;;
45522;;Tankpad Harri'S Puzzle;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz-Carbon;;;;;;;;;;;;;;;;;;;;;;;;;
45523;;Tank Pad Mit Noppen;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Look ;;;;;;;;;;;;;;;;;;;;;;;;;
45524;;Ariete Klebstoff ;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Griffgummis;<ul><li>20Gr.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45525;;Push Led;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45526;;R-Spiegel Adapter Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Auf 10 Mm Links Gewinde;<ul><li>M10X1.25</li><li>L = 25 Mm</li><li>Di = Rechts Gewinde</li><li>De = Links Gewinde</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
