Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Price tax excluded or Price tax included;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
45728;;Taille:select:0;L:3;974102 L;974102 L;;;32.41;17.1773;;;3;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/974102_0.jpg;1;;;;
45728;;Taille:select:0;M:2;974102 M;974102 M;;;32.41;17.1773;;;2;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/974102_0.jpg;1;;;;
45728;;Taille:select:0;XL:5;974102 XL;974102 XL;;;32.41;17.1773;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/974102_0.jpg;1;;;;
45728;;Taille:select:0;2XL:4;974102 XXL;974102 XXL;;;32.41;17.1773;;;4;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/974102_0.jpg;1;;;;
45729;;Taille:select:0;XL:5;975303 2XL;975303 2XL;;;54.63;28.9539;;;4;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975303_0.jpg;1;;;;
45729;;Taille:select:0;L:3;975303 L;975303 L;;;54.63;28.9539;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975303_0.jpg;1;;;;
45729;;Taille:select:0;M:2;975303 M;975303 M;;;54.63;28.9539;;;4;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975303_0.jpg;1;;;;
45729;;Taille:select:0;2XL:4;975303 XL;975303 XL;;;54.63;28.9539;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975303_0.jpg;1;;;;
45730;;Taille:select:0;XL:5;975500-2XL;975500-2XL;;;73.15;38.7695;;;3;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975500_0.jpg;1;;;;
45730;;Taille:select:0;L:3;975500-L;975500-L;;;73.15;38.7695;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975500-L_0.jpg;1;;;;
45730;;Taille:select:0;M:2;975500-M;975500-M;;;73.15;38.7695;;;3;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975500-M_0.jpg;1;;;;
45730;;Taille:select:0;XL:5;975500-XL;975500-XL;;;73.15;38.7695;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/975500-XL_0.jpg;1;;;;
45731;;Taille:select:0;L:3;976200-L;976200-L;;;17.59;9.3227;;;1;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976200-_0.jpg,https://www.motogoodeal.ch/img/import/976200-_1.jpg;1;;;;
45731;;Taille:select:0;M:2;976200-M;976200-M;;;17.59;9.3227;;;1;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976200-_0.jpg,https://www.motogoodeal.ch/img/import/976200-_1.jpg;1;;;;
45731;;Taille:select:0;XL:5;976200-XL;976200-XL;;;17.59;9.3227;;;1;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976200-_0.jpg,https://www.motogoodeal.ch/img/import/976200-_1.jpg;1;;;;
45732;;Taille:select:0;L:3;976406 L;976406 L;;;54.63;28.9539;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976406_0.jpg;1;;;;
45732;;Taille:select:0;M:2;976406 M;976406 M;;;54.63;28.9539;;;3;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976406_0.jpg;1;;;;
45732;;Taille:select:0;XL:5;976406 XL;976406 XL;;;54.63;28.9539;;;4;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976406_0.jpg;1;;;;
45734;;Taille:select:0;M:2;976800-M;976800-M;;;60.19;31.9007;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976800-_0.jpg;1;;;;
45734;;Taille:select:0;XL:5;976800-XL;976800-XL;;;60.19;31.9007;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/976800-_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= Argent:8;BH10-EVO111;BH10-EVO111;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO111_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= d'oré:10;BH10-EVO112;BH10-EVO112;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO112_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= Bleu:9;BH10-EVO114;BH10-EVO114;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO114_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= Noir:11;BH10-EVO115;BH10-EVO115;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO115_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= Rouge:12;BH10-EVO117;BH10-EVO117;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO117_0.jpg;1;;;;
53636;;Couleur:select:0;H=Argent / V= Anthrazit:7;BH10-EVO119;BH10-EVO119;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO119_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=Argent:26;BH10-EVO151;BH10-EVO151;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO151_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=d'oré:28;BH10-EVO152;BH10-EVO152;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO152_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=Bleu:27;BH10-EVO154;BH10-EVO154;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO154_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=Noir:29;BH10-EVO155;BH10-EVO155;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO155_0.jpg;1;;;;
53636;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH10-EVO159;BH10-EVO159;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO159_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Argent:2;BH10-EVO191;BH10-EVO191;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO191_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Gold:4;BH10-EVO192;BH10-EVO192;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO192_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Bleu:3;BH10-EVO194;BH10-EVO194;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO194_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Noir:5;BH10-EVO195;BH10-EVO195;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO195_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Rouge:6;BH10-EVO197;BH10-EVO197;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO197_0.jpg;1;;;;
53636;;Couleur:select:0;H=Anthrazit / V= Anthrazit:1;BH10-EVO199;BH10-EVO199;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-EVO199_0.jpg;1;;;;
53637;;Couleur:select:0;H=d'oré / V=Argent:20;BH10-KH121;BH10-KH121;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-KH121_0.jpg,https://www.motogoodeal.ch/img/import/BH10-KH121_1.jpg;1;;;;
