id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
56900;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Beige (Tan) 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56901;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Beige (Tan) 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56902;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schwarz 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56903;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Schwarz 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig Bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56904;;Auspuffband Dei 1 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Titan 1"" 25 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56905;;Auspuffband Dei 2 Zoll;;;;;;;;;;;;;;;;;;;;;;;;;;;"Titan 2"" 51 Mm";Dei Auspuffband</li><li>Aus Pulverisiertem Lavastein</li><li>Beständig bis 1‘370°C</li><li>Extrem Faltbar Für Enge Und Sichere Wicklung,</li><li>Rolle À 15M;;;;;;;;;;;;;;;;;;;;;;;;;;
56906;;Endband Edelstahl Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;"20 Cm 8"" (8-Er Pack)";Anwendung: Abschluss Auspuffband;;;;;;;;;;;;;;;;;;;;;;;;;;
56907;;Endband Edelstahl Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;"35 Cm 14"" (4-Er Pack)";Anwendung: Abschluss Auspuffband;;;;;;;;;;;;;;;;;;;;;;;;;;
56908;;Werkzeug Dei;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Endband;;;;;;;;;;;;;;;;;;;;;;;;;;;
56909;;Dei Bodywork Protection;;;;;;;;;;;;;;;;;;;;;;;;;;;Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
56910;;Dei Protect A Wire ;;;;;;;;;;;;;;;;;;;;;;;;;;;8 Mm Schwarz;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>8 Mm X 3,3 M;;;;;;;;;;;;;;;;;;;;;;;;;;
56911;;Dei Protect A Wire ;;;;;;;;;;;;;;;;;;;;;;;;;;;10 Mm Orange;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>10 Mm X 3,3 M;;;;;;;;;;;;;;;;;;;;;;;;;;
56912;;Dei Protect A Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;13 Mm Titanium;Hitzebeständig</li><li>Mit Schrumpfschlauch</li><li>13 Mm X 1,3 M;;;;;;;;;;;;;;;;;;;;;;;;;;
56913;;Dei Isolierband;;;;;;;;;;;;;;;;;;;;;;;;;;;Selbstvulkanisierend, Hitzebeständig;2,5 Cm X 4 M;;;;;;;;;;;;;;;;;;;;;;;;;;
56914;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Bride Zu Yamaha Xtz750;;;;;;;;;;;;;;;;;;;;;;;;;;;
56915;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapid-Nut 995 M6  ;;;;;;;;;;;;;;;;;;;;;;;;;;;
56916;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Stainless Steel 4.8 Mm Rivet;;;;;;;;;;;;;;;;;;;;;;;;;;;
56917;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Aluminium Schwarz 3.0 Mm Rivet (End Cap);;;;;;;;;;;;;;;;;;;;;;;;;;;
56918;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Seger Für Db-Killer 1Stk;Ringdurchmesser 54Mm;;;;;;;;;;;;;;;;;;;;;;;;;;
