Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:1;M,Couleur:1:Blanc:1;CAM0033;CAM0033;;;;;;0;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;new;0;0;0;0;0;0;0;0
58658;;Taille:select:0,Couleur:select:1;L,Couleur:1:Blanc:1;CAM0034;CAM0034;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:2;Xl:2,Couleur:Blanc:1;CAM0035;CAM0035;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:3;Xxl:3,Couleur:Blanc:1;CAM0036;CAM0036;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:4;M:5,Couleur:Bleu:1;CAM5033;CAM5033;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:5;L:6,Couleur:Bleu:1;CAM5034;CAM5034;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:6;Xl:7,Couleur:Bleu:1;CAM5035;CAM5035;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58658;;Taille:select:0,Couleur:select:7;Xxl:8,Couleur:Bleu:1;CAM5036;CAM5036;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58659;;Taille:select:0,Couleur:select:7;S:1,Couleur:Bleu:1;POL5032;POL5032;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;new;0;0;0;0;0;0;0;0
58659;;Taille:select:0,Couleur:select:7;M:2,Couleur:Bleu:1;POL5033;POL5033;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;new;0;0;0;0;0;0;0;0
58659;;Taille:select:0,Couleur:select:7;L:3,Couleur:Bleu:1;POL5034;POL5034;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;new;0;0;0;0;0;0;0;0
58659;;Taille:select:0,Couleur:select:7;Xl:4,Couleur:Bleu:1;POL5035;POL5035;;;;;;0.00;1;;0;2015-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;new;0;0;0;0;0;0;0;0
