id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58700;;Bajonet>Ktm ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schraubverschluss Kpl.;;;;;;;;;;;;;;;;;;;;;;;;;
58701;;Plastikniete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Ø 6.5 Mm X 10 Mm;;;;;;;;;;;;;;;;;;;;;;;;;
58702;;Lichtschalter;;;;;;;;;;;;;;;;;;;;;;;;;;;On/Off Swich;;;;;;;;;;;;;;;;;;;;;;;;;
58703;;Schnelltankanlage Ständer;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58704;;Lampengummi Mit Haken;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Stk.;;;;;;;;;;;;;;;;;;;;;;;;;
58705;;Spoiler Für Für Handschutz Rally Brush;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58706;;Mud Flap Universal ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>CRF 250 X 04-14</li><li>DR-Z 400 E/S 00-10</li><li>EXC 94-99</li><li>KX 80 95-00</li><li>KX 85 01-13</li><li>KX 125 93-02</li><li>KX 250 93-02</li><li>LC4 640 05-06</li><li>RM 80 95-01</li><li>RM 85 02-14</li><li>RM 125 93-03</li><li>RM 250 93-03</li><li>SX 94-99</li><li>SXC 625 05-07</li><li>WR 125 93-01</li><li>WR 250 93-01</li><li>WRF 250 2001</li><li>WRF 400 98-99</li><li>WRF 426 00-02</li><li>YZ 80 95-99</li><li>YZF 400 98-99</li><li>YZF 426 00-02</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58707;;Mud Flap Yamaha ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZ 125/250 -'95 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58708;;Gas Stop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58709;;"Schnelltankanlage 18L ""Container"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;White ;<ul><li>MATERIAL: POLYETHYENE</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58710;;Tankdeckel Gross;;;;;;;;;;;;;;;;;;;;;;;;;;;Ø 62 Mm;;;;;;;;;;;;;;;;;;;;;;;;;
58711;;Tankdeckeldichtung Gross;;;;;;;;;;;;;;;;;;;;;;;;;;;Replace Gasket;;;;;;;;;;;;;;;;;;;;;;;;;
