ID;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
43657;;Gaerne Stiefel Balance Oiled;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>Hochwertiges Leder</li><li>Gaerne Dry-Tech Membrane</li><li>Schienbeinprotektor</li><li>flexible Zonen an Spann und Ferse</li><li>weiche Lederabdichtung oben</li><li>Innensohle aus Leder</li><li>stossabsorbierende Sohle</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43658;;Gaerne Kit Straps Hold ;;;;;;;;;;;;;;;;;;;;;;;;;;;SG10 / SG12 / GX1 2STK.;;;;;;;;;;;;;;;;;;;;;;;;;
43659;;Büse Aragon Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;;;;;;;;;;;;;;;;;;;;;;;;;
43660;;Büse Aragon Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;ROT/SCHWARZ/WEISS ;;;;;;;;;;;;;;;;;;;;;;;;;
43661;;Büse Silverstone Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;;;;;;;;;;;;;;;;;;;;;;;;;
43662;;Büse Silverstone Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;WEISS/SCHWARZ ;;;;;;;;;;;;;;;;;;;;;;;;;
43663;;Büse Milestone Lederjacke;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/ORANGE ;<ul><li>Hochwertiges Leder</li><li>verstellbarer Riemen an der Taille</li><li>Strecheinsätze an den Schultern aus Leder</li><li>4 Aussentaschen</li><li>2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Rücken und Ellbogen nachrüstbar</li><li>Obermaterial: 100% Leder</li><li>Innenfutter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43664;;Büse La-Guna Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;<ul><li>Leder 1.2 mm</li><li>atmungsaktives Netzinnenfutter</li><li>elastische Einsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Schultern</li><li>Verbindungsreissverschluss,2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 100% Leder</li><li>Strecheinsätze: 95% Polyester, 5% Elastan</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43665;;Büse Laguna Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/ROT ;<ul><li>Ausstattung: Hartschalen mit Metalleinsätzen an Schultern</li><li>Komfortkragen mit Neoprenabschluss</li><li>ergonomisch angepasste Schnittführung</li><li>Komforteinsätze über Schultern und Ellbogen</li><li>Lederstretch an Hüfte, Gesäß und Knien</li><li>elastische Komforteinsätze an Armen, Leiste, Kniekehlen und den Waden zur Optimierung der Bewegungsfreiheit</li><li>umlaufender Verbindungsreißverschluss</li><li>Klett für Knieschleifer</li><li>2 Innentaschen</li><li>Sicherheit: SAS-TEC Protektoren an Schultern, Ellbogen und Knien</li><li>Polsterungen am Rücken und der Hüfte durch SAS-TEC Protektoren austauschbar</li><li>Sicherheitsnähte nach ISO 4916</li><li>Materialdopplung am Gesäß</li><li>Material: robustes angenehm weiches 1, 2 mm starkes Rindleder kombiniert mit elastischem Polyamidgewebe</li><li>atmungsaktives Netzinnenfutter mit elastischen Einsätzen</li><li>Obermaterial: 100% Leder</li><li>Innenfutter: 100% Polyester. </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
43666;;Büse Jarama Lederkombi 2 Tlg.;;;;;;;;;;;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;<ul><li>Rindleder 1.2-1.4 mm</li><li>atmungsaktives Netzinnenfutter,elastische Komforteinsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Ellbogen und Schultern</li><li>Verbindungsreissverschluss</li><li>Wadenweitenverstellung</li><li>2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 100% Rindleder</li><li>92% Polyamid, 8% Elastan</li><li>Futter: 100% Polyester</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
