Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
44706;;Couleur:select:0;Rubin Red:1;225100.2;225100.2;;;;;;1;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225100.2_0.jpg;1;;;;
44706;;Couleur:select:0;Electric Blue:3;225100.3;225100.3;;;;;;1;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/225100.3_0.jpg,https://www.motogoodeal.ch/img/import/225100.3_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44706;;Couleur:select:0;Fade:7;225100.7;225100.7;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225100.7_0.jpg;1;;;;
44707;;Couleur:select:0;Noir:1;225107.1;225107.1;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225107.1_0.jpg;1;;;;
44707;;Couleur:select:0;Blanc:2;225107.2;225107.2;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225107.2_0.jpg;1;;;;
44707;;Couleur:select:0;Dark Grey:3;225107.3;225107.3;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225107.3_0.jpg;1;;;;
44708;;Couleur:select:0;Black:1;225109 BLACK;225109 BLACK;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225109 BLACK_0.jpg;1;;;;
44708;;Couleur:select:0;White:2;225109 WHITE;225109 WHITE;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/225109 WHITE_0.jpg;1;;;;
44722;;Taille:select:0;7:1;237588.7;237588.7;;;;;;2;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/237588.7_0.jpg,https://www.motogoodeal.ch/img/import/237588.7_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
44723;;Taille:select:0;1:1;237589.1;237589.1;;;;;;2;1;0;0;2016-02-25;1;"https://www.motogoodeal.ch/img/import/237589.1_0.jpg,https://www.motogoodeal.ch/img/import/237589.1_1.jpg;https://www.motogoodeal.ch/img/import/";1;;;;
