id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80395;;Rocc 680 Metallic Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>Integrierte Sonnenblende</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.550 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80396;;Rocc 680 Weiss;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>Integrierte Sonnenblende</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.550 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80397;;Rocc 680 Neon/Gelb ;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>Integrierte Sonnenblende</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.550 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80398;;Rocc 680 Schwarz Matt;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>2 Helmschalengrössen</li><li>integriertes Sonnenvisier</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.550 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80399;;Premier Trophy M Grau;;;;;;;;;;;;;;;;;;;;;;;;;;;<p>Der <strong>Integralhelm (Vollvisierhelm)</strong> ist eine geschlossene Bauart von Helmen.</p>;<ul><li>Retro Design</li><li>Visier klar & kratzfest</li><li>DD-Verschluss</li><li>Gewicht ca. 1.290g</li><li>Prüfung ece 22-05</li><li>Material: Dyneema-Carbon-Aramidic</li><li>Innenfutter: Hochwertig</li><li>Wangenpolster waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80400;;Premier Voyager U8 Weiss Glanz;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>2 Helmschalengrössen</li><li>Visier klar & kratzfest</li><li>verstellbares Sonnenvisier</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.750 g</li><li>Prüfung ece 22-05 </li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80401;;Premier Voyager U9 Bm Schwarz Matt;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>2 Helmschalengrössen</li><li>Visier klar & kratzfest</li><li>verstellbares Sonnenvisier</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.750 g</li><li>Prüfung ece 22-05 </li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80402;;Premier Thesis U9 Bm Schwarz Matt;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>2 Helmschalengrössen</li><li>integriertes Sonnenvisier</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.680 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80403;;Premier Thesis U8 Weiss Glanz;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>2 Helmschalengrössen</li><li>integriertes Sonnenvisier</li><li>Visier klar & kratzfest</li><li>regulierbare Kinn- und Kopfbelüftung</li><li>Verschluss Quick Release</li><li>Gewicht ca. 1.680 g</li><li>Prüfung ece 22-05</li><li>Material: ABS</li><li>Innenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80404;;Premier Jt4 All Road U9 Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;<p><strong>Klapphelme</strong> bieten etwas mehr Komfort als Integralhelme, dabei sind sie ebenfalls sehr sicher und vor allem für Brillenträger zu empfehlen.</p>;<ul><li>Visier klar & kratzfest</li><li>DD-Verschluss</li><li>Gewicht ca. 1.350g</li><li>Prüfung ece 22-05</li><li>Material: Dyneema-Carbon-Aramidic</li><li>Innenfutter: Hochwertig</li><li>Wangenpolster waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
