Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80426;;Taille:select:0;L:4;9620 MA L;9620 MA L;;;;;;0;;;;;;;;;;;
80426;;Taille:select:0;M:3;9620 MA M;9620 MA M;;;;;;0;;;;;;;;;;;
80426;;Taille:select:0;S:2;9620 MA S;9620 MA S;;;;;;0;;;;;;;;;;;
80426;;Taille:select:0;XL:5;9620 MA XL;9620 MA XL;;;;;;0;;;;;;;;;;;
80426;;Taille:select:0;XS:1;9620 MA XS;9620 MA XS;;;;;;0;;;;;;;;;;;
80427;;Taille:select:0;L:4;9620 S L;9620 S L;;;;;;0;;;;;;;;;;;
80427;;Taille:select:0;M:3;9620 S M;9620 S M;;;;;;0;;;;;;;;;;;
80427;;Taille:select:0;S:2;9620 S S;9620 S S;;;;;;0;;;;;;;;;;;
80428;;Taille:select:0;L:4;9620 TI L;9620 TI L;;;;;;0;;;;;;;;;;;
80428;;Taille:select:0;M:3;9620 TI M;9620 TI M;;;;;;0;;;;;;;;;;;
80428;;Taille:select:0;S:2;9620 TI S;9620 TI S;;;;;;0;;;;;;;;;;;
80428;;Taille:select:0;XL:5;9620 TI XL;9620 TI XL;;;;;;0;;;;;;;;;;;
80428;;Taille:select:0;XS:1;9620 TI XS;9620 TI XS;;;;;;0;;;;;;;;;;;
80399;;Taille:select:0;XL:5;40188-XL;40188-XL;;;;;;0;;;;;;;;;;;
80400;;Taille:select:0;L:4;41740-L;41740-L;;;;;;0;;;;;;;;;;;
80400;;Taille:select:0;M:3;41740-M;41740-M;;;;;;0;;;;;;;;;;;
80400;;Taille:select:0;S:2;41740-S;41740-S;;;;;;1;;;;;;;;;;;
80400;;Taille:select:0;XL:5;41740-XL;41740-XL;;;;;;0;;;;;;;;;;;
80400;;Taille:select:0;XS:1;41740-XS;41740-XS;;;;;;1;;;;;;;;;;;
80401;;Taille:select:0;L:4;41741-L;41741-L;;;;;;0;;;;;;;;;;;
80401;;Taille:select:0;M:3;41741-M;41741-M;;;;;;0;;;;;;;;;;;
80401;;Taille:select:0;S:2;41741-S;41741-S;;;;;;1;;;;;;;;;;;
80401;;Taille:select:0;XL:5;41741-XL;41741-XL;;;;;;0;;;;;;;;;;;
80401;;Taille:select:0;XS:1;41741-XS;41741-XS;;;;;;0;;;;;;;;;;;
80402;;Taille:select:0;L:4;41750-L;41750-L;;;;;;1;;;;;;;;;;;
80402;;Taille:select:0;M:3;41750-M;41750-M;;;;;;3;;;;;;;;;;;
80402;;Taille:select:0;S:2;41750-S;41750-S;;;;;;0;;;;;;;;;;;
80402;;Taille:select:0;XL:5;41750-XL;41750-XL;;;;;;4;;;;;;;;;;;
80402;;Taille:select:0;XS:1;41750-XS;41750-XS;;;;;;3;;;;;;;;;;;
80403;;Taille:select:0;L:4;41751-L;41751-L;;;;;;1;;;;;;;;;;;
80403;;Taille:select:0;M:3;41751-M;41751-M;;;;;;3;;;;;;;;;;;
80403;;Taille:select:0;S:2;41751-S;41751-S;;;;;;4;;;;;;;;;;;
80403;;Taille:select:0;XL:5;41751-XL;41751-XL;;;;;;3;;;;;;;;;;;
80403;;Taille:select:0;XS:1;41751-XS;41751-XS;;;;;;2;;;;;;;;;;;
80405;;Taille:select:0;M:3;43120-M;43120-M;;;;;;1;;;;;;;;;;;
80406;;Taille:select:0;L:4;43121-L;43121-L;;;;;;2;;;;;;;;;;;
80408;;Taille:select:0;XS:1;4844-XS;4844-XS;;;;;;0;;;;;;;;;;;
80409;;Taille:select:0;L:4;55400-L;55400-L;;;;;;0;;;;;;;;;;;
80409;;Taille:select:0;M:3;55400-M;55400-M;;;;;;0;;;;;;;;;;;
80409;;Taille:select:0;S:2;55400-S;55400-S;;;;;;0;;;;;;;;;;;
80409;;Taille:select:0;XL:5;55400-XL;55400-XL;;;;;;0;;;;;;;;;;;
80409;;Taille:select:0;XS:1;55400-XS;55400-XS;;;;;;0;;;;;;;;;;;
80410;;Taille:select:0;L:4;55410-L;55410-L;;;;;;0;;;;;;;;;;;
80410;;Taille:select:0;M:3;55410-M;55410-M;;;;;;0;;;;;;;;;;;
80410;;Taille:select:0;S:2;55410-S;55410-S;;;;;;0;;;;;;;;;;;
80410;;Taille:select:0;XL:5;55410-XL;55410-XL;;;;;;0;;;;;;;;;;;
80410;;Taille:select:0;XS:1;55410-XS;55410-XS;;;;;;0;;;;;;;;;;;
80411;;Taille:select:0;L:4;55420-L;55420-L;;;;;;0;;;;;;;;;;;
80411;;Taille:select:0;M:3;55420-M;55420-M;;;;;;0;;;;;;;;;;;
80411;;Taille:select:0;S:2;55420-S;55420-S;;;;;;0;;;;;;;;;;;
80411;;Taille:select:0;XL:5;55420-XL;55420-XL;;;;;;0;;;;;;;;;;;
80411;;Taille:select:0;XS:1;55420-XS;55420-XS;;;;;;0;;;;;;;;;;;
80412;;Taille:select:0;L:4;55430-L;55430-L;;;;;;0;;;;;;;;;;;
80412;;Taille:select:0;M:3;55430-M;55430-M;;;;;;0;;;;;;;;;;;
80412;;Taille:select:0;S:2;55430-S;55430-S;;;;;;1;;;;;;;;;;;
80412;;Taille:select:0;XL:5;55430-XL;55430-XL;;;;;;0;;;;;;;;;;;
80412;;Taille:select:0;XS:1;55430-XS;55430-XS;;;;;;0;;;;;;;;;;;
80413;;Taille:select:0;L:4;55440-L;55440-L;;;;;;0;;;;;;;;;;;
80413;;Taille:select:0;M:3;55440-M;55440-M;;;;;;1;;;;;;;;;;;
80413;;Taille:select:0;S:2;55440-S;55440-S;;;;;;0;;;;;;;;;;;
80413;;Taille:select:0;XL:5;55440-XL;55440-XL;;;;;;0;;;;;;;;;;;
80413;;Taille:select:0;XS:1;55440-XS;55440-XS;;;;;;0;;;;;;;;;;;
80414;;Taille:select:0;L:4;55450-L;55450-L;;;;;;0;;;;;;;;;;;
80414;;Taille:select:0;M:3;55450-M;55450-M;;;;;;0;;;;;;;;;;;
80414;;Taille:select:0;S:2;55450-S;55450-S;;;;;;0;;;;;;;;;;;
80414;;Taille:select:0;XL:5;55450-XL;55450-XL;;;;;;0;;;;;;;;;;;
80414;;Taille:select:0;XS:1;55450-XS;55450-XS;;;;;;0;;;;;;;;;;;
80395;;Taille:select:0;2XL:6;6800 2XL;6800 2XL;;;;;;1;;;;;;;;;;;
80395;;Taille:select:0;L:4;6800 L;6800 L;;;;;;2;;;;;;;;;;;
80395;;Taille:select:0;M:3;6800 M;6800 M;;;;;;2;;;;;;;;;;;
80395;;Taille:select:0;S:2;6800 S;6800 S;;;;;;2;;;;;;;;;;;
80395;;Taille:select:0;XL:5;6800 XL;6800 XL;;;;;;1;;;;;;;;;;;
80395;;Taille:select:0;XS:1;6800 XS;6800 XS;;;;;;1;;;;;;;;;;;
80416;;Taille:select:0;L:4;6801-L;6801-L;;;;;;0;;;;;;;;;;;
80416;;Taille:select:0;M:3;6801-M;6801-M;;;;;;0;;;;;;;;;;;
80416;;Taille:select:0;S:2;6801-S;6801-S;;;;;;0;;;;;;;;;;;
80416;;Taille:select:0;XL:5;6801-XL;6801-XL;;;;;;0;;;;;;;;;;;
80416;;Taille:select:0;XS:1;6801-XS;6801-XS;;;;;;0;;;;;;;;;;;
80417;;Taille:select:0;2XL:6;6804-2XL;6804-2XL;;;;;;1;;;;;;;;;;;
80417;;Taille:select:0;L:4;6804-L;6804-L;;;;;;2;;;;;;;;;;;
80417;;Taille:select:0;M:3;6804-M;6804-M;;;;;;1;;;;;;;;;;;
80417;;Taille:select:0;XL:5;6804-XL;6804-XL;;;;;;2;;;;;;;;;;;
80418;;Taille:select:0;L:4;6805-L;6805-L;;;;;;0;;;;;;;;;;;
80418;;Taille:select:0;M:3;6805-M;6805-M;;;;;;0;;;;;;;;;;;
80418;;Taille:select:0;S:2;6805-S;6805-S;;;;;;0;;;;;;;;;;;
80418;;Taille:select:0;XL:5;6805-XL;6805-XL;;;;;;0;;;;;;;;;;;
80418;;Taille:select:0;XS:1;6805-XS;6805-XS;;;;;;0;;;;;;;;;;;
80396;;Taille:select:0;L:4;6806 L;6806 L;;;;;;2;;;;;;;;;;;
80396;;Taille:select:0;M:3;6806 M;6806 M;;;;;;3;;;;;;;;;;;
80396;;Taille:select:0;S:2;6806 S;6806 S;;;;;;1;;;;;;;;;;;
80396;;Taille:select:0;XS:1;6806 XS;6806 XS;;;;;;1;;;;;;;;;;;
80397;;Taille:select:0;M:3;6808 M;6808 M;;;;;;2;;;;;;;;;;;
80397;;Taille:select:0;S:2;6808 S;6808 S;;;;;;2;;;;;;;;;;;
80397;;Taille:select:0;XS:1;6808 XS;6808 XS;;;;;;1;;;;;;;;;;;
80398;;Taille:select:0;2XL:6;6809 2XL;6809 2XL;;;;;;2;;;;;;;;;;;
80398;;Taille:select:0;L:4;6809 L;6809 L;;;;;;1;;;;;;;;;;;
80398;;Taille:select:0;M:3;6809 M;6809 M;;;;;;2;;;;;;;;;;;
80398;;Taille:select:0;S:2;6809 S;6809 S;;;;;;1;;;;;;;;;;;
80398;;Taille:select:0;XL:5;6809 XL;6809 XL;;;;;;1;;;;;;;;;;;
80398;;Taille:select:0;XS:1;6809 XS;6809 XS;;;;;;1;;;;;;;;;;;
80423;;Taille:select:0;L:4;6812-L;6812-L;;;;;;2;;;;;;;;;;;
80423;;Taille:select:0;M:3;6812-M;6812-M;;;;;;0;;;;;;;;;;;
80423;;Taille:select:0;S:2;6812-S;6812-S;;;;;;1;;;;;;;;;;;
80423;;Taille:select:0;XL:5;6812-XL;6812-XL;;;;;;1;;;;;;;;;;;
80423;;Taille:select:0;XS:1;6812-XS;6812-XS;;;;;;0;;;;;;;;;;;
80424;;Taille:select:0;L:4;6817-L;6817-L;;;;;;2;;;;;;;;;;;
80424;;Taille:select:0;M:3;6817-M;6817-M;;;;;;1;;;;;;;;;;;
80424;;Taille:select:0;S:2;6817-S;6817-S;;;;;;2;;;;;;;;;;;
80424;;Taille:select:0;XL:5;6817-XL;6817-XL;;;;;;1;;;;;;;;;;;
80424;;Taille:select:0;XS:1;6817-XS;6817-XS;;;;;;0;;;;;;;;;;;
80425;;Taille:select:0;L:4;6999-L;6999-L;;;;;;2;;;;;;;;;;;
80425;;Taille:select:0;M:3;6999-M;6999-M;;;;;;2;;;;;;;;;;;
80425;;Taille:select:0;S:2;6999-S;6999-S;;;;;;2;;;;;;;;;;;
80425;;Taille:select:0;XL:5;6999-XL;6999-XL;;;;;;2;;;;;;;;;;;
80425;;Taille:select:0;XS:1;6999-XS;6999-XS;;;;;;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
