id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80001;1;Rocc Casque Classic Rouge;198;91.67;1;45.84;;;;;;9212;9212;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Casque classique </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";"<p>short <strong>Ce casque est doté d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : ABS </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1100 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/9212_0.jpg;0;Type de casque:Jet:1,Couleur:rouge: 2,Genre:Unisexe:3,Matériel :ABS:4,Poids:env.1100g :5,Intérieur tout confort : antibactérien, amovible, lavable:6,Fermeture:Quick Release:7;;new;0;0;0;0;0;0;0;0
80002;1;Rocc Casque Classic Blanc;198;91.67;1;45.84;;;;;;9216;9216;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Casque classique </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";"<p>short <strong>Ce casque est doté d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : ABS </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1100 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/9216_0.jpg;0;Type de casque:Jet:1,Couleur:blanc: 2,Genre:Unisexe:3,Matériel :ABS:4,Poids:env.1100g :5,Intérieur tout confort : antibactérien, amovible, lavable:6,Fermeture:Quick Release:7;;new;0;0;0;0;0;0;0;0
80004;1;Mr 202 Casque Jet / Ecran Solaire;198;156.48;1;78.24;;;;;;MR202 WS;MR202 WS;Freidig;MR 202;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Intérieur tout confort : antibactérien, amovible, lavable </li>
     <li> Homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/MR202 WS 069 S_0.jpg;0;Type de casque:Jet:1,Couleur:noir blanc:2,Genre:Unisexe:3;;new;0;0;0;0;0;0;0;0
80010;1;Premier Casque Retro Noir Blanc;198;184.26;1;147.408;;;;;;40152;40152;Freidig;Premier;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Intérieur tout confort : antibactérien, amovible, lavable </li>
     <li> Homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/40152 S_0.jpg;0;Type de casque:Jet:1,Couleur:noir blanc:2,Genre:Unisexe:3;;new;0;0;0;0;0;0;0;0
80011;1;Premier Casque Jt3 Retro;198;156.48;1;125.184;;;;;;43201;43201;Freidig;Premier;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : Fibre de carbone </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1150g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;http://www.motogoodeal.ch/img/import/43201_0.jpg;0;Type de casque:Jet:1,Couleur:noir,blanc:2,Genre:Unisexe:3,Coque:fibre de carbonne:4,Ecran anti-rayures:oui:5,Poids:1150g:6,Double écran solaire:non:7,Intérieur démontable et lavable:oui:8,Jugulaire:Boucle micrométrique:9;;new;0;0;0;0;0;0;0;0
80012;1;Premier Casque Jt2 Tt2Bm;198;165.74;1;132.592;;;;;;43241;43241;Freidig;Premier;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : Fibre de carbone </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1150g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;http://www.motogoodeal.ch/img/import/43241_0.jpg;0;Type de casque:Jet:1,Couleur:noir,rouge,blanc:2,Genre:Unisexe:3,Coque:fibre de carbonne:4,Ecran anti-rayures:oui:5,Poids:1150g:6,Double écran solaire:non:7,Intérieur démontable et lavable:oui:8,Jugulaire:Boucle micrométrique:9;;new;0;0;0;0;0;0;0;0
80013;1;Rocc 140 Casque Demi-Jet Titan Metallic;198;91.67;1;73.336;;;;;;9140;9140;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1390g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/9140 S 900 S_0.jpg;0;Type de casque:Jet:1,Couleur:titan métallique:2,Genre:Unisexe:3,Ecran anti-rayures:oui:4,Poids:1390g:5,Double écran solaire:non:6,Intérieur démontable et lavable:oui:7;;new;0;0;0;0;0;0;0;0
80014;1;Rocc 140 Casque Demi-Jet Blanc ;198;91.67;1;73.336;;;;;;9140 PW;9140 PW;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1390g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/9140 PW 006 S_0.jpg;0;Type de casque:Jet:1,Couleur:blanc:2,Genre:Unisexe:3,Ecran anti-rayures:oui:4,Poids:1390g:5,Double écran solaire:non:6,Intérieur démontable et lavable:oui:7;;new;0;0;0;0;0;0;0;0
80015;1;Rocc 180 Titan Metallic;198;175;1;140;;;;;;1807;1807;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière escamotable </li>
     <li> Intérieur tout confort: antibactérien, amovible, lavable </li>
     <li> Fermeture Quick Release </li>
</ul> ";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : Fibre de verre </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1250g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/1907_0.jpg;0;Type de casque:Jet:1,Couleur:titan métallique:2,Genre:Unisexe:3,Coque:fibre de verre:4,Ecran anti-rayures:oui:5,Poids:1250g:6,Double écran solaire:non:7,Intérieur démontable et lavable:oui:8 ;;new;0;0;0;0;0;0;0;0
80016;1;Rocc 180 Noir Mat;198;175;1;140;;;;;;1809;1809;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Casque avec écran solaire intégré </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";"<p>short <strong>Ce casque est doté d’une visière solaire escamotable, et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : Fibre de verre </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1250g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/1809 S_0.jpg,https://www.motogoodeal.ch/img/import/1809 S_1.jpg;0;Type de casque:Jet:1,Couleur:noir mat:2,Genre:Unisexe:3,Coque:fibre de verre:4,Ecran anti-rayures:oui:5,Poids:1250g:6,Double écran solaire:non:7,Intérieur démontable et lavable:oui:8 ;;new;0;0;0;0;0;0;0;0
