Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80017;;Taille:select:0;S:1;43402 S;43402 S;;;;;;0;;;;;;;;;;;
80017;;Taille:select:0;M:2;43402 M;43402 M;;;;;;0;;;;;;;;;;;
80017;;Taille:select:0;L:3;43402 L;43402 L;;;;;;0;;;;;;;;;;;
80017;;Taille:select:0;XL:4;43402 XL;43402 XL;;;;;;0;;;;;;;;;;;
80018;;Taille:select:0;XS:1;43410 XS;43410 XS;;;;;;4;;;;;;;;;;;
80018;;Taille:select:0;S:2;43410 S;43410 S;;;;;;2;;;;;;;;;;;
80018;;Taille:select:0;M:3;43410 M;43410 M;;;;;;4;;;;;;;;;;;
80018;;Taille:select:0;L:4;43410 L;43410 L;;;;;;0;;;;;;;;;;;
80018;;Taille:select:0;XL:5;43410 XL;43410 XL;;;;;;4;;;;;;;;;;;
80019;;Taille:select:0;XS:1;43417 XS;43417 XS;;;;;;2;;;;;;;;;;;
80019;;Taille:select:0;S:2;43417 S;43417 S;;;;;;1;;;;;;;;;;;
80019;;Taille:select:0;2XL:3;43417 2XL;43417 2XL;;;;;;0;;;;;;;;;;;
80057;;Taille:select:0;S:2;43409-S;43409-S;;;;;;0;;;;;;;;;;;
80057;;Taille:select:0;M:3;43409-M;43409-M;;;;;;1;;;;;;;;;;;
80057;;Taille:select:0;L:4;43409-L;43409-L;;;;;;1;;;;;;;;;;;
80057;;Taille:select:0;XL:5;43409-XL;43409-XL;;;;;;0;;;;;;;;;;;
80058;;Taille:select:0;XS:1;434091-XS;434091-XS;;;;;;0;;;;;;;;;;;
80058;;Taille:select:0;S:2;434091-S;434091-S;;;;;;0;;;;;;;;;;;
80058;;Taille:select:0;M:3;434091-M;434091-M;;;;;;1;;;;;;;;;;;
80058;;Taille:select:0;L:4;434091-L;434091-L;;;;;;1;;;;;;;;;;;
80058;;Taille:select:0;XL:5;434091-XL;434091-XL;;;;;;1;;;;;;;;;;;
80058;;Taille:select:0;XS:1;43409-XS;43409-XS;;;;;;1;;;;;;;;;;;
80061;;Taille:select:0;XS:1;43419-XS;43419-XS;;;;;;4;;;;;;;;;;;
80061;;Taille:select:0;S:2;43419-S;43419-S;;;;;;4;;;;;;;;;;;
80061;;Taille:select:0;M:3;43419-M;43419-M;;;;;;0;;;;;;;;;;;
80061;;Taille:select:0;L:4;43419-L;43419-L;;;;;;0;;;;;;;;;;;
80061;;Taille:select:0;XL:5;43419-XL;43419-XL;;;;;;2;;;;;;;;;;;
80061;;Taille:select:0;2XL:6;43419 2XL;43419 2XL;;;;;;0;;;;;;;;;;;
80061;;Taille:select:0;3XL:7;43419 3XL;43419 3XL;;;;;;0;;;;;;;;;;;
80091;;Taille:select:0;XS:1;43623-XS;43623-XS;;;;;;4;;;;;;;;;;;
80091;;Taille:select:0;S:2;43623-S;43623-S;;;;;;1;;;;;;;;;;;
80092;;Taille:select:0;L:1;43631-L;43631-L;;;;;;1;;;;;;;;;;;
80092;;Taille:select:0;XL:2;43631-XL;43631-XL;;;;;;1;;;;;;;;;;;
80093;;Taille:select:0;S:1;43632-S;43632-S;;;;;;2;;;;;;;;;;;
80093;;Taille:select:0;M:2;43632-M;43632-M;;;;;;1;;;;;;;;;;;
80093;;Taille:select:0;L:3;43632-L;43632-L;;;;;;1;;;;;;;;;;;
80093;;Taille:select:0;XL:4;43632-XL;43632-XL;;;;;;2;;;;;;;;;;;
80094;;Taille:select:0;XS:1;43633-XS;43633-XS;;;;;;0;;;;;;;;;;;
80094;;Taille:select:0;S:2;43633-S;43633-S;;;;;;0;;;;;;;;;;;
80094;;Taille:select:0;M:3;43633-M;43633-M;;;;;;0;;;;;;;;;;;
80094;;Taille:select:0;L:4;43633-L;43633-L;;;;;;0;;;;;;;;;;;
80094;;Taille:select:0;XL:5;43633-XL;43633-XL;;;;;;0;;;;;;;;;;;
80095;;Taille:select:0;XS:1;43634-XS;43634-XS;;;;;;0;;;;;;;;;;;
80095;;Taille:select:0;S:2;43634-S;43634-S;;;;;;0;;;;;;;;;;;
80095;;Taille:select:0;M:3;43634-M;43634-M;;;;;;0;;;;;;;;;;;
80095;;Taille:select:0;L:4;43634-L;43634-L;;;;;;0;;;;;;;;;;;
80095;;Taille:select:0;XL:5;43634-XL;43634-XL;;;;;;0;;;;;;;;;;;
80096;;Taille:select:0;XS:1;43635-XS;43635-XS;;;;;;0;;;;;;;;;;;
80096;;Taille:select:0;S:2;43635-S;43635-S;;;;;;0;;;;;;;;;;;
80096;;Taille:select:0;M:3;43635-M;43635-M;;;;;;0;;;;;;;;;;;
80096;;Taille:select:0;L:4;43635-L;43635-L;;;;;;0;;;;;;;;;;;
80096;;Taille:select:0;XL:5;43635-XL;43635-XL;;;;;;0;;;;;;;;;;;
80097;;Taille:select:0;XS:1;43690-XS;43690-XS;;;;;;0;;;;;;;;;;;
80097;;Taille:select:0;S:2;43690-S;43690-S;;;;;;0;;;;;;;;;;;
80097;;Taille:select:0;M:3;43690-M;43690-M;;;;;;0;;;;;;;;;;;
80097;;Taille:select:0;L:4;43690-L;43690-L;;;;;;0;;;;;;;;;;;
80097;;Taille:select:0;XL:5;43690-XL;43690-XL;;;;;;0;;;;;;;;;;;
80098;;Taille:select:0;XS:1;43691-XS;43691-XS;;;;;;0;;;;;;;;;;;
80098;;Taille:select:0;S:2;43691-S;43691-S;;;;;;0;;;;;;;;;;;
80098;;Taille:select:0;M:3;43691-M;43691-M;;;;;;0;;;;;;;;;;;
80098;;Taille:select:0;L:4;43691-L;43691-L;;;;;;0;;;;;;;;;;;
80098;;Taille:select:0;XL:5;43691-XL;43691-XL;;;;;;0;;;;;;;;;;;
80099;;Taille:select:0;2XS:1;43730-2XS;43730-2XS;;;;;;0;;;;;;;;;;;
80099;;Taille:select:0;3XS:2;43730-3XS;43730-3XS;;;;;;1;;;;;;;;;;;
80100;;Taille:select:0;2XS:1;43731-2XS;43731-2XS;;;;;;1;;;;;;;;;;;
80100;;Taille:select:0;3XS:2;43731-3XS;43731-3XS;;;;;;1;;;;;;;;;;;
80101;;Taille:select:0;2XS:1;43732-2XS;43732-2XS;;;;;;0;;;;;;;;;;;
80101;;Taille:select:0;3XS:2;43732-3XS;43732-3XS;;;;;;1;;;;;;;;;;;
80102;;Taille:select:0;2XS:1;43733-2XS;43733-2XS;;;;;;1;;;;;;;;;;;
80102;;Taille:select:0;3XS:2;43733-3XS;43733-3XS;;;;;;1;;;;;;;;;;;
80103;;Taille:select:0;2XS:1;43734-2XS;43734-2XS;;;;;;1;;;;;;;;;;;
80103;;Taille:select:0;3XS:2;43734-3XS;43734-3XS;;;;;;1;;;;;;;;;;;
80104;;Taille:select:0;2XS:1;43735-2XS;43735-2XS;;;;;;2;;;;;;;;;;;
80104;;Taille:select:0;3XS:2;43735-3XS;43735-3XS;;;;;;1;;;;;;;;;;;
80105;;Taille:select:0;2XS:1;43736-2XS;43736-2XS;;;;;;0;;;;;;;;;;;
80105;;Taille:select:0;3XS:2;43736-3XS;43736-3XS;;;;;;0;;;;;;;;;;;
80106;;Taille:select:0;2XS:1;43737-2XS;43737-2XS;;;;;;0;;;;;;;;;;;
80106;;Taille:select:0;3XS:2;43737-3XS;43737-3XS;;;;;;0;;;;;;;;;;;
80107;;Taille:select:0;XS:1;55100-XS;55100-XS;;;;;;0;;;;;;;;;;;
80107;;Taille:select:0;S:2;55100-S;55100-S;;;;;;0;;;;;;;;;;;
80107;;Taille:select:0;M:3;55100-M;55100-M;;;;;;0;;;;;;;;;;;
80107;;Taille:select:0;L:4;55100-L;55100-L;;;;;;0;;;;;;;;;;;
80107;;Taille:select:0;XL:5;55100-XL;55100-XL;;;;;;1;;;;;;;;;;;
80108;;Taille:select:0;XS:1;55120-XS;55120-XS;;;;;;0;;;;;;;;;;;
80108;;Taille:select:0;S:2;55120-S;55120-S;;;;;;0;;;;;;;;;;;
80108;;Taille:select:0;M:3;55120-M;55120-M;;;;;;0;;;;;;;;;;;
80108;;Taille:select:0;L:4;55120-L;55120-L;;;;;;0;;;;;;;;;;;
80108;;Taille:select:0;XL:5;55120-XL;55120-XL;;;;;;0;;;;;;;;;;;
80109;;Taille:select:0;XS:1;55130-XS;55130-XS;;;;;;0;;;;;;;;;;;
80109;;Taille:select:0;S:2;55130-S;55130-S;;;;;;0;;;;;;;;;;;
80109;;Taille:select:0;M:3;55130-M;55130-M;;;;;;0;;;;;;;;;;;
80109;;Taille:select:0;L:4;55130-L;55130-L;;;;;;0;;;;;;;;;;;
80109;;Taille:select:0;XL:5;55130-XL;55130-XL;;;;;;0;;;;;;;;;;;
80110;;Taille:select:0;XS:1;43439 XS;43439 XS;;;;;;0;;;;;;;;;;;
80110;;Taille:select:0;S:2;43439 S;43439 S;;;;;;0;;;;;;;;;;;
80110;;Taille:select:0;M:3;43439 M;43439 M;;;;;;0;;;;;;;;;;;
80110;;Taille:select:0;L:4;43439 L;43439 L;;;;;;0;;;;;;;;;;;
80110;;Taille:select:0;XL:5;43439 XL;43439 XL;;;;;;0;;;;;;;;;;;
80111;;Taille:select:0;XS:1;43441-XS;43441-XS;;;;;;0;;;;;;;;;;;
80111;;Taille:select:0;S:2;43441-S;43441-S;;;;;;0;;;;;;;;;;;
80111;;Taille:select:0;M:3;43441-M;43441-M;;;;;;1;;;;;;;;;;;
80111;;Taille:select:0;L:4;43441-L;43441-L;;;;;;0;;;;;;;;;;;
80111;;Taille:select:0;XL:5;43441-XL;43441-XL;;;;;;0;;;;;;;;;;;
80112;;Taille:select:0;XS:1;43442-XS;43442-XS;;;;;;4;;;;;;;;;;;
80112;;Taille:select:0;S:2;43442-S;43442-S;;;;;;4;;;;;;;;;;;
80112;;Taille:select:0;M:3;43442-M;43442-M;;;;;;4;;;;;;;;;;;
80112;;Taille:select:0;L:4;43442-L;43442-L;;;;;;2;;;;;;;;;;;
80112;;Taille:select:0;XL:5;43442-XL;43442-XL;;;;;;2;;;;;;;;;;;
80113;;Taille:select:0;XS:1;43443-XS;43443-XS;;;;;;1;;;;;;;;;;;
80113;;Taille:select:0;S:2;43443-S;43443-S;;;;;;4;;;;;;;;;;;
80113;;Taille:select:0;M:3;43443-M;43443-M;;;;;;4;;;;;;;;;;;
80113;;Taille:select:0;L:4;43443-L;43443-L;;;;;;4;;;;;;;;;;;
80113;;Taille:select:0;XL:5;43443-XL;43443-XL;;;;;;2;;;;;;;;;;;
80114;;Taille:select:0;XS:1;43445-XS;43445-XS;;;;;;4;;;;;;;;;;;
80114;;Taille:select:0;S:2;43445-S;43445-S;;;;;;3;;;;;;;;;;;
80114;;Taille:select:0;M:3;43445-M;43445-M;;;;;;0;;;;;;;;;;;
80114;;Taille:select:0;L:4;43445-L;43445-L;;;;;;2;;;;;;;;;;;
80114;;Taille:select:0;XL:5;43445-XL;43445-XL;;;;;;1;;;;;;;;;;;
80115;;Taille:select:0;XS:1;43446-XS;43446-XS;;;;;;0;;;;;;;;;;;
