id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80162;1;Rocc 300 Neon Jaune;192;110.19;1;55.095;;;;;;3008;3008;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3008_0.jpg;;Couleur:Jaune:1,Type de casque:Intégral:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80163;1;Rocc 300 Noir Mat/Rouge;192;110.19;1;55.095;;;;;;3012;3012;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3012 L_0.jpg;;Couleur:Noir:1,Type de casque:Intégral:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80164;1;Rocc 300 Oliv Mat;192;110.19;1;55.095;;;;;;3017;3017;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3017 L_0.jpg;;Couleur:Olive:1,Type de casque:Intégral:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80165;1;Rocc 300 Noir/Blanc ;192;128.7;1;64.35;;;;;;3040;3040;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3040_0.jpg;;Couleur:Noir:1,Type de casque:Intégral:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80166;1;Rocc 300 Noir/Blanc/Rouge ;192;82.41;1;41.205;;;;;;3042;3042;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3042_0.jpg;;Couleur:Noir:1,Type de casque:Intégral:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80167;1;Rocc 300 Bleu;192;128.7;1;64.35;;;;;;3051;3051;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3051_0.jpg;;Couleur:Bleu:1,Type de casque:Intégral:2,Genre:Unisexe:3,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80168;1;Rocc 300 Rouge;192;128.7;1;64.35;;;;;;3052;3052;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3052_0.jpg,https://www.motogoodeal.ch/img/import/3052_1.jpg;;Couleur:Rouge:1,Type de casque:Intégral:2,Genre:Unisexe:3,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80169;1;Rocc 300 Orange;192;128.7;1;64.35;;;;;;3053;3053;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3053_0.jpg;;Couleur:Orange:1,Type de casque:Intégral:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80170;1;Rocc 300 Vert;192;128.7;1;64.35;;;;;;3054;3054;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3054_0.jpg;;Couleur:Gris:1,Type de casque:Intégral:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80171;1;Rocc 300 Rose;192;128.7;1;64.35;;;;;;3057;3057;Freidig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire et anti-rayures avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";<ul><li>Il dispose d'une visière claire, anti-rayures, aération dynamique, réglable</li><li>fermeture Quick Release</li><li>poids env. 1.350g,</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien, amovible, lavable</li></ul>;;;;;;;;1;2016-03-10;2016-03-10;1;https://www.motogoodeal.ch/img/import/3057_0.jpg;;Couleur:Rose:1,Type de casque:Intégral:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
