Product ID*;REF PROD;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80163;;Taille:select:0;L:6;3012 L;3012 L;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;S:4;3012 S;3012 S;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;XL:7;3012 XL;3012 XL;;;;;;0;;;;;;;;;;;
80163;;Taille:select:0;XS:3;3012 XS;3012 XS;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;L:6;3017 L;3017 L;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;S:4;3017 S;3017 S;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;XL:7;3017 XL;3017 XL;;;;;;0;;;;;;;;;;;
80164;;Taille:select:0;XS:3;3017 XS;3017 XS;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;L:6;3061-L;3061-L;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;M:5;3061-M;3061-M;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;S:4;3061-S;3061-S;;;;;;0;;;;;;;;;;;
80173;;Taille:select:0;XL:7;3061-XL;3061-XL;;;;;;2;;;;;;;;;;;
80173;;Taille:select:0;XS:3;3061-XS;3061-XS;;;;;;1;;;;;;;;;;;
80174;;Taille:select:0;L:6;3062-L;3062-L;;;;;;1;;;;;;;;;;;
80174;;Taille:select:0;M:5;3062-M;3062-M;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;S:4;3062-S;3062-S;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;XL:7;3062-XL;3062-XL;;;;;;0;;;;;;;;;;;
80174;;Taille:select:0;XS:3;3062-XS;3062-XS;;;;;;4;;;;;;;;;;;
80175;;Taille:select:0;L:6;3063-L;3063-L;;;;;;4;;;;;;;;;;;
80175;;Taille:select:0;M:5;3063-M;3063-M;;;;;;0;;;;;;;;;;;
80175;;Taille:select:0;S:4;3063-S;3063-S;;;;;;0;;;;;;;;;;;
80175;;Taille:select:0;XL:7;3063-XL;3063-XL;;;;;;1;;;;;;;;;;;
80175;;Taille:select:0;XS:3;3063-XS;3063-XS;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;L:6;3064-L;3064-L;;;;;;1;;;;;;;;;;;
80176;;Taille:select:0;M:5;3064-M;3064-M;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;S:4;3064-S;3064-S;;;;;;4;;;;;;;;;;;
80176;;Taille:select:0;XL:7;3064-XL;3064-XL;;;;;;0;;;;;;;;;;;
80176;;Taille:select:0;XS:3;3064-XS;3064-XS;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;L:6;3067-L;3067-L;;;;;;1;;;;;;;;;;;
80177;;Taille:select:0;M:5;3067-M;3067-M;;;;;;2;;;;;;;;;;;
80177;;Taille:select:0;S:4;3067-S;3067-S;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;XL:7;3067-XL;3067-XL;;;;;;0;;;;;;;;;;;
80177;;Taille:select:0;XS:3;3067-XS;3067-XS;;;;;;1;;;;;;;;;;;
80178;;Taille:select:0;XXL:8;3068-2XL;3068-2XL;;;;;;2;;;;;;;;;;;
80178;;Taille:select:0;L:6;3068-L;3068-L;;;;;;3;;;;;;;;;;;
80178;;Taille:select:0;M:5;3068-M;3068-M;;;;;;4;;;;;;;;;;;
80178;;Taille:select:0;S:4;3068-S;3068-S;;;;;;0;;;;;;;;;;;
80178;;Taille:select:0;XL:7;3068-XL;3068-XL;;;;;;0;;;;;;;;;;;
80178;;Taille:select:0;XS:3;3068-XS;3068-XS;;;;;;0;;;;;;;;;;;
80180;;Taille:select:0;2XS:2;3812-2XS;3812-2XS;;;;;;2;;;;;;;;;;;
80180;;Taille:select:0;3XS:1;3812-3XS;3812-3XS;;;;;;3;;;;;;;;;;;
80180;;Taille:select:0;XS:3;3812-XS;3812-XS;;;;;;2;;;;;;;;;;;
80181;;Taille:select:0;2XS:2;3817-2XS;3817-2XS;;;;;;1;;;;;;;;;;;
80181;;Taille:select:0;3XS:1;3817-3XS;3817-3XS;;;;;;1;;;;;;;;;;;
80181;;Taille:select:0;XS:3;3817-XS;3817-XS;;;;;;0;;;;;;;;;;;
80182;;Taille:select:0;2XS:2;3818-2XS;3818-2XS;;;;;;0;;;;;;;;;;;
80182;;Taille:select:0;3XS:1;3818-3XS;3818-3XS;;;;;;1;;;;;;;;;;;
80182;;Taille:select:0;XS:3;3818-XS;3818-XS;;;;;;1;;;;;;;;;;;
80263;;Taille:select:0;L:6;40102-L;40102-L;;;;;;1;;;;;;;;;;;
80263;;Taille:select:0;M:5;40102-M;40102-M;;;;;;0;;;;;;;;;;;
80263;;Taille:select:0;S:4;40102-S;40102-S;;;;;;2;;;;;;;;;;;
80263;;Taille:select:0;XL:7;40102-XL;40102-XL;;;;;;1;;;;;;;;;;;
80338;;Taille:select:0;L:6;40105 001 L;40105 001 L;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;M:5;40105 001 M;40105 001 M;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;S:4;40105 001 S;40105 001 S;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;XL:7;40105 001 XL;40105 001 XL;;;;;;0;;;;;;;;;;;
80338;;Taille:select:0;XS:3;40105 001 XS;40105 001 XS;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XXL:8;40107 2XL;40107 2XL;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;L:6;40107 L;40107 L;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;S:4;40107 S;40107 S;;;;;;0;;;;;;;;;;;
80265;;Taille:select:0;XS:3;40107 XS;40107 XS;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XXL:8;40125 600 2XL;40125 600 2XL;;;;;;1;;;;;;;;;;;
80339;;Taille:select:0;L:6;40125 600 L;40125 600 L;;;;;;4;;;;;;;;;;;
80339;;Taille:select:0;M:5;40125 600 M;40125 600 M;;;;;;3;;;;;;;;;;;
80339;;Taille:select:0;S:4;40125 600 S;40125 600 S;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XL:7;40125 600 XL;40125 600 XL;;;;;;0;;;;;;;;;;;
80339;;Taille:select:0;XS:3;40125 600 XS;40125 600 XS;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;XXL:8;40126 600 2XL;40126 600 2XL;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;L:6;40126 600 L;40126 600 L;;;;;;0;;;;;;;;;;;
80340;;Taille:select:0;M:5;40126 600 M;40126 600 M;;;;;;0;;;;;;;;;;;
