id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80429;1;Rocc 720 Noir Mat;282;156.48;1;78.24;;;;;;7209;7209;Fredig;Rocc;;;;;;;;2;;;;;;"<ul>
     <li> Bord pour Neckbrace </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture Quick Release </li>
</ul>";"<p><strong>Ce casque cross est doté d’une fermeture Quick Release.</strong></p>
<ul>
     <li> Matériel : ABS </li>
     <li> Intérieur tout confort : Coolmax®, antibactérien, amovible, lavable </li>
     <li> Poids : env. 1.350 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/7209 L_0.jpg;;Couleur:Noir:1,Type de casque:Cross:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80430;1;Rocc 990 (729) Full Carbon;282;267.59;1;171.2576;;;;;;7299;7299;Fredig;Rocc;;;;;;;;4;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";"<p><strong>Ce casque est doté d’une visière offraod réglable, d’une aération dynamique réglable et d’une fermeture double.</strong></p>
<ul>
     <li> Matériel : 100% Carbone </li>
     <li> Intérieur tout confort : Coolmax®, antibactérien, amovible, lavable </li>
     <li> Poids : env. 990 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/7299 L_0.jpg,https://www.motogoodeal.ch/img/import/7299 L_1.jpg,https://www.motogoodeal.ch/img/import/7299 L_2.jpg;;Couleur:Carbone:1,Type de casque:Cross:2,Genre:Homme:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80431;1;Rocc 790 Blanc;282;184.26;1;92.13;;;;;;7906;7906;Fredig;Rocc;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Casque cross.</strong></p>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/7906 L_0.jpg;;Couleur:Blanc:1,Type de casque:Cross:2,Genre:Homme:3,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80432;1;Acerbis Gambler Blanc;282;91.67;1;51.3352;;;;;;0013843.030.;0013843.030.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Acerbis Gambler Blanc</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0013843.030.069_0.jpg,https://www.motogoodeal.ch/img/import/0013843.030.069_1.jpg,https://www.motogoodeal.ch/img/import/0013843.030.069_2.jpg;;Couleur:Blanc:1,Type de casque:Cross:2,Genre:Unisexe:3,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80433;1;Acerbis Snake Rouge;282;69.44;1;59.024;;;;;;0013917.110.;0013917.110.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Acerbis Snake Rouge</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0013917.110.061_0.jpg;;Couleur:Rouge:1,Type de casque:Cross:2,Genre:Unisexe:3,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80434;1;Acerbis Junior White/Red/Black;282, 191;156.48;1;87.6288;;;;;;0013989.110.;0013989.110.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Acerbis Junior White/Red/Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0013989.110_0.jpg;;Couleur:Blanc:1,Type de casque:Cross:2,Genre:Enfant:3,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80435;1;Acerbis Full White;282;230.56;1;129.1136;;;;;;0015679.030.;0015679.030.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Acerbis Full White</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0015679.030.061_0.jpg,https://www.motogoodeal.ch/img/import/0015679.030.061_1.jpg,https://www.motogoodeal.ch/img/import/0015679.030.061_2.jpg;;Couleur:Blanc:1,Type de casque:Cross:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80436;1;Acerbis Ghegna White/Red/Black;282;137.96;1;77.2576;;;;;;0015680.239.;0015680.239.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière offroad réglable </li>
     <li> Intérieur antibactérien, amovible et lavable </li>
     <li> Fermeture double </li>
</ul>";<p><strong>Acerbis Ghegna White/Red/Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0015680.239.061_0.jpg,https://www.motogoodeal.ch/img/import/0015680.239.061_1.jpg,https://www.motogoodeal.ch/img/import/0015680.239.061_2.jpg;;Couleur:Blanc:1,Type de casque:Cross:2,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;;;;;;;;;
80437;1;Acerbis Atomik Orange;282;230.56;1;129.1136;;;;;;0016397.010.;0016397.010.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture double-D </li>
</ul>";"<p><strong>Ce casque est doté d’une visière réglable avec aération, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : mousse </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1150 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0016397.010_0.jpg;;Couleur:Orange:1,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,Jugulaire:Boucle double-D:11;;;;;;;;;;
80438;1;Acerbis Atomik Blue;282;230.56;1;129.1136;;;;;;0016397.040.;0016397.040.;Fredig;Acerbis;;;;;;;;0;;;;;;"<ul>
     <li> Visière réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture double-D </li>
</ul>";"<p><strong>Ce casque est doté d’une visière réglable avec aération, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : mousse </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1150 g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0016397.040_0.jpg;;Couleur:Bleu:1,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,Jugulaire:Boucle double-D:11;;;;;;;;;;
