id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80547;1;Visiere Profile 08 Casque;202;49.07;1;19.628;;;;;;7545.091;7545.091;Freidig;Acerbis;;;;;;;;2;;;;;;Visière de casque ;Visière De Casque Acerbis Profile 08<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0007545 960_0.jpg;0;Couleur:Noir:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile 08:12,;;;;;;;;;;
80548;1;Visiere Profile 08 Casque;202;49.07;1;19.628;;;;;;7545.111;7545.111;Freidig;Acerbis;;;;;;;;1;;;;;;Visière de casque ;Visière De Casque Acerbis Profile 08<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0007545 026_0.jpg;0;Couleur:Rouge:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile 08:12,;;;;;;;;;;
80549;1;Visiere Profile Evolution Casque;202;49.07;1;19.628;;;;;;0007545.204;0007545.204;Freidig;Acerbis;;;;;;;;1;;;;;;Visière de casque ;Visière De Casque Acerbis Profile Evolution<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0007545 310_0.jpg;0;Couleur:Orange:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile Evolution:12,;;;;;;;;;;
80550;1;Visiere De Casque Profile Evolution 06 Bleu;202;49.07;1;19.628;;;;;;0009095.040;0009095.040;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis Profile Evolution<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009095.040_0.jpg;0;Couleur:Bleu:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile Evolution 06:12,;;;;;;;;;;
80551;1;Visiere De Casque Profile Evolution 06 Noir;202;49.07;1;19.628;;;;;;0009095.090;0009095.090;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis Profile Evolution<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009095.090_0.jpg;0;Couleur:Noir:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile Evolution 06:12,;;;;;;;;;;
80552;1;Visiere De Casque Profile Evolution 06 Rouge;202;49.07;1;19.628;;;;;;0009095.110;0009095.110;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis Profile Evolution<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009095.110_0.jpg;0;Couleur:Rouge:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Profile Evolution 06:12,;;;;;;;;;;
80553;1;Visiere De Casque Impact Fiber 06 Noir;202;49.07;1;19.628;;;;;;0009096.322;0009096.322;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Fiber 06<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009096.322_0.jpg;0;Couleur:Noir:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Fiber 06:12,;;;;;;;;;;
80554;1;Visiere De Casque Impact Fiber 06 Patriot;202;49.07;1;19.628;;;;;;0009096.344;0009096.344;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Fiber 06<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009096.344_0.jpg;0;Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Fiber 06:12,;;;;;;;;;;
80555;1;Visiere De Casque Impact Evo 06 Pilot'S Dream;202;49.07;1;17.1745;;;;;;0009097.091;0009097.091;Freidig;Acerbis;;;;;;;;3;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Evo 06<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009097.091_0.jpg;0;Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Evo 06:12,;;;;;;;;;;
80556;1;Visiere De Casque Impact Evo 06 Rouge/Blanc;202;49.07;1;17.1745;;;;;;0009097.110;0009097.110;Freidig;Acerbis;;;;;;;;1;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Evo 06<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0009097.110_0.jpg;0;Couleur:Rouge:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Evo 06:12,;;;;;;;;;;
80557;1;Visiere De Casque X-Fiber Poker Jaune;202;41.67;1;26.6688;;;;;;0012967.060;0012967.060;Freidig;Acerbis;;;;;;;;4;;;;;;Visière de casque ;Visière De Casque Acerbis X-Fiber Poker<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012967.060_0.jpg;0;Couleur:Jaune:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:X-Fiber Poker:12,;;;;;;;;;;
80558;1;Visiere De Casque X-Fiber Paint Vert;202;41.67;1;26.6688;;;;;;0012967.130;0012967.130;Freidig;Acerbis;;;;;;;;0;;;;;;Visière de casque ;Visière De Casque Acerbis X-Fiber Paint<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012967.130_0.jpg;0;Couleur:Vert:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:X-Fiber Paint:12,;;;;;;;;;;
80559;1;Visiere De Casque X-Fiber Ti Blanc/Or;202;41.67;1;26.6688;;;;;;0012967.238;0012967.238;Freidig;Acerbis;;;;;;;;0;;;;;;Visière de casque ;Visière De Casque Acerbis X-Fiber Ti<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012967.238_0.jpg;0;Couleur:Blanc:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:X-Fiber Ti:12,;;;;;;;;;;
80560;1;Visiere De Casque Jdp Noir/Or;202;41.67;1;26.6688;;;;;;0012967.322;0012967.322;Freidig;Acerbis;;;;;;;;1;;;;;;Visière de casque ;Visière De Casque Acerbis Jdp<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012967.322_0.jpg;0;Couleur:Noir:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Jdp:12,;;;;;;;;;;
80561;1;Interieur Helmet X-Fiber Inquisitor Size Xs;202;66.67;1;42.6688;;;;;;0012968.237.;0012968.237.;Freidig;Lining;;;;;;;;4;;;;;;;<p>Intérieur casque pour Lining X-Fiber Inquisitor</p>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012968.237.061_0.jpg;0;Type de casque:Accessoires:2,Genre:Unisexe:3,Marque:Lining:11,Modèle:X-Fiber:12,;;;;;;;;;;
80562;1;Interieur Helmet X-Fiber Blanc/Or Size Xs;202;66.67;1;42.6688;;;;;;0012968.238.;0012968.238.;Freidig;Lining;;;;;;;;0;;;;;;;<p>Intérieur casque pour Lining X-Fiber</p>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012968.238.061_0.jpg;0;Couleur:Blanc:1,Type de casque:Accessoires:2,Genre:Unisexe:3,Marque:Lining:11,Modèle:X-Fiber:12,;;;;;;;;;;
80563;1;Interieur Helmet X-Fiber Noir/Or Size Xs;202;66.67;1;42.6688;;;;;;0012968.322.;0012968.322.;Freidig;Lining;;;;;;;;0;;;;;;;<p>Intérieur casque pour Lining X-Fiber</p>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0012968.322.061_0.jpg;0;Couleur:Noir:1,Type de casque:Accessoires:2,Genre:Unisexe:3,Marque:Lining:11,Modèle:X-Fiber:12,;;;;;;;;;;
80564;1;Visiere De Casque Impact Gp Orange;202;54.63;1;24.5835;;;;;;0013008.010;0013008.010;Freidig;Acerbis;;;;;;;;2;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Gp Orange<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0013008.010_0.jpg;0;Couleur:Orange:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Gp:12,;;;;;;;;;;
80565;1;Visiere De Casque Impact Gp Bleu;202;54.63;1;24.5835;;;;;;0013008.040;0013008.040;Freidig;Acerbis;;;;;;;;3;;;;;;Visière de casque ;Visière De Casque Acerbis Impact Gp Bleu<p>Permet de limiter :</p><ul><li>l'aveuglement des rayons du soleil</li><li>la poussière</li><li>les insectes</li><li>l'humidité</li></ul><br><p>Il existe deux types de visières de casque :</p><ul><li>l'écran : devant les yeux, sur le casque intégral et modulable</li><li>la casquette : au niveau du front, sur le casque de moto-cross et jet</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/0013008.040_0.jpg;0;Couleur:Bleu:1,Type de casque:Visière:2,Genre:Unisexe:3,Marque:Acerbis:11,Modèle:Impact Gp:12,;;;;;;;;;;
