id	Active (0/1)	Name *	Categories	Price tax excluded or Price tax included	Tax rules ID	Wholesale price	On sale (0/1)	Discount amount	Discount percent	Discount from (yyyy-mm-dd)	Discount to (yyyy-mm-dd)	SKU	Supplier reference #	Supplier	Manufacturer	EAN13	UPC	Ecotax	Width	Height	Depth	Weight	Quantity	Minimal quantity	Visibility	Additional shipping cost	Unity	Unit price	Short description	Description	Tags (x,y,z...)	Meta title	Meta keywords	Meta description	URL rewritten	Text when in stock	Text when backorder allowed	Available for order (0 = No, 1 = Yes)	Product available date	Product creation date	Show price (0 = No, 1 = Yes)	image url	Delete existing images (0 = No, 1 = Yes)	Feature(Name:Value:Position)	Available online only (0 = No, 1 = Yes)	Condition	Customizable (0 = No, 1 = Yes)	Uploadable files (0 = No, 1 = Yes)	Text fields (0 = No, 1 = Yes)	Out of stock	ID / Name of shop	Advanced stock management	Depends On Stock	Warehouse
80547		Helmschild Profile 08																											<p>Helmschild für Acerbis	Helmschild Profile 08<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80548		Helmschild Profile 08																											<p>Helmschild für Acerbis	Helmschild Profile 08<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80549		Helmschild Profile Evolution																											<p>Helmschild für Acerbis	Helmschild Profile Evolution<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80550		Helmschild Profile Evolution 06 Blau																											<p>Helmschild für Acerbis	Helmschild Profile Evolution 06 Blau<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80551		Helmschild Profile Evolution 06 Schwarz																											<p>Helmschild für Acerbis	Helmschild Profile Evolution 06 Schwarz<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80552		Helmschild Profile Evolution 06 Rot																											<p>Helmschild für Acerbis	Helmschild Profile Evolution 06 Rot<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80553		Helmschild Impact Fiber 06 Schwarz																											<p>Helmschild für Acerbis	Helmschild Impact Fiber 06 Schwarz<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80554		Helmschild Impact Fiber 06 Patriot																											<p>Helmschild für Acerbis	Helmschild Impact Fiber 06 Patriot<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80555		Helmschild Impact Evo 06 Pilot'S Dream																											<p>Helmschild für Acerbis	Helmschild Impact Evo 06 Pilot'S Dream<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
80556		Helmschild Impact Evo 06 Rot/Weiss																											<p>Helmschild für Acerbis	Helmschild Impact Evo 06 Rot/Weiss<p>Schützt vor:</p><ul><li>Blendung durch Sonnenstrahlen</li><li>Staub</li><li>Insekten</li><li>Feuchtigkeit</li></ul><br><p>Es gibt zwei Typen an Helmschildern:</p><ul><li>Blende : vor den Augen, auf einem Integral- und Klapphelm</li><li>Kappe : auf Höhe der Stirn, auf Cross und Jethelmen</li></ul>																								
