Product ID*;REF PROD;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80624;;Couleur:select:0;Noir:1;45900;45900;;;;;;0;;;;;;;;;;;
80624;;Couleur:select:0;Bleu:2;45901;45901;;;;;;1;;;;;;;;;;;
80624;;Couleur:select:0;Rouge:3;45902;45902;;;;;;1;;;;;;;;;;;
80624;;Couleur:select:0;Orange:4;45903;45903;;;;;;1;;;;;;;;;;;
80624;;Couleur:select:0;Blanc:5;45906;45906;;;;;;0;;;;;;;;;;;
80624;;Couleur:select:0;Multi:6;45907;45907;;;;;;0;;;;;;;;;;;
80624;;Couleur:select:0;Blanc:7;45916;45916;;;;;;0;;;;;;;;;;;
80561;;Taille:select:0;XS:1;0012968.237.;0012968.237.;;;;;;4;;;;;;;;;;;
80561;;Taille:select:0;S:2;0012968.237.;0012968.237.;;;;;;4;;;;;;;;;;;
80561;;Taille:select:0;M:3;0012968.237.;0012968.237.;;;;;;0;;;;;;;;;;;
80561;;Taille:select:0;L:4;0012968.237.;0012968.237.;;;;;;0;;;;;;;;;;;
80561;;Taille:select:0;XL:5;0012968.237.;0012968.237.;;;;;;1;;;;;;;;;;;
80561;;Taille:select:0;2XL:6;0012968.237.;0012968.237.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;XS:1;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;S:2;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;M:3;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;L:4;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;XL:5;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80562;;Taille:select:0;2XL:6;0012968.238.;0012968.238.;;;;;;0;;;;;;;;;;;
80563;;Taille:select:0;XS:1;0012968.322.;0012968.322.;;;;;;0;;;;;;;;;;;
80563;;Taille:select:0;S:2;0012968.322.;0012968.322.;;;;;;0;;;;;;;;;;;
80563;;Taille:select:0;M:3;0012968.322.;0012968.322.;;;;;;0;;;;;;;;;;;
80563;;Taille:select:0;L:4;0012968.322.;0012968.322.;;;;;;1;;;;;;;;;;;
80563;;Taille:select:0;XL:5;0012968.322.;0012968.322.;;;;;;0;;;;;;;;;;;
80563;;Taille:select:0;2XL:6;0012968.322.;0012968.322.;;;;;;0;;;;;;;;;;;
80567;;Taille:select:0;3XS (50CM):1;0013052.213.;0013052.213.;;;;;;0;;;;;;;;;;;
80567;;Taille:select:0;2XS (52CM):2;0013052.213.;0013052.213.;;;;;;0;;;;;;;;;;;
80567;;Taille:select:0;XS (54CM):3;0013052.213.;0013052.213.;;;;;;0;;;;;;;;;;;
80568;;Taille:select:0;3XS (50CM):1;0013052.372.;0013052.372.;;;;;;0;;;;;;;;;;;
80568;;Taille:select:0;2XS (52CM):2;0013052.372.;0013052.372.;;;;;;0;;;;;;;;;;;
80568;;Taille:select:0;XS (54CM):3;0013052.372.;0013052.372.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;XS:1;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;S:2;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;M:3;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;L:4;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;XL:5;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80605;;Taille:select:0;2XL:6;0017112.319.;0017112.319.;;;;;;0;;;;;;;;;;;
80629;;Taille:select:0;S:2;AC67 77;AC67 77;;;;;;4;;;;;;;;;;;
80629;;Taille:select:0;XL:5;AC67 77;AC67 77;;;;;;4;;;;;;;;;;;
