ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80701;1;FF384 Blade - noir mat;192;199;1;79.6;1;;;;;3101010-11;3101010-11;Mototrend;LS2;;;;;;;;0;0;;;;;Casque intégral, multifonctionnel, avec pre-soleil intégré;"<p><strong>FF384</p></strong> Casque intégral, multifonctionnel, avec pre-soleil intégré<p><strong>Coques</p></strong><ul><li>coques en HTTP-resin (high pressure thermoplastic technology)</li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Visière</p></strong><ul><li>démontage rapide de la visière ultra-quick-release (SR2S); visière anti-fog</li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable</li></ul>";;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03101010-11.jpg;0;Couleur:noir mat:1,Type de casque:Intégral:2,Genre:Adultes:3,Coque:HTTP-resin (high pressure thermoplastic technology):4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80702;1;OF559 Rocket - noir mat;198;159;1;63.6;1;;;;;3105010-11;3105010-11;Mototrend;LS2;;;;;;;;0;0;;;;;Elégance subtile – casque jet qui passe sous presque toutes les selles;<p><strong>OF559</p></strong> Elégance subtile – casque jet qui passe sous presque toutes les selles<p><strong>Coques</p></strong><ul><li>coques en HTTP-resin (high pressure thermoplastic technology) </li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable </li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03105010.jpg;0;Couleur:noir mat:1,Type de casque:Jet:2,Genre:Adultes:3,Coque:HTTP-resin (high pressure thermoplastic technology):4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80703;1;OF559 Rocket Seven Sixty - blanc;198;159;1;63.6;1;;;;;3105120-10;3105120-10;Mototrend;LS2;;;;;;;;0;0;;;;;Elégance subtile – casque jet qui passe sous presque toutes les selles;<p><strong>OF559</p></strong> Elégance subtile – casque jet qui passe sous presque toutes les selles<p><strong>Coques</p></strong><ul><li>coques en HTTP-resin (high pressure thermoplastic technology) </li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable </li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03105120-10.jpg;0;Couleur:blanc:1,Type de casque:Jet:2,Genre:Adultes:3,Coque:HTTP-resin (high pressure thermoplastic technology):4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80704;1;OF552 Freeway - noir mat;192;229;1;91.6;1;;;;;3105210-11;3105210-11;Mototrend;LS2;;;;;;;;0;0;;;;;"Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)";"<p><strong>OF552</p></strong> Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)<p><strong>Coques</p></strong><ul><li>coques en fibre de verre</li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable </li></ul>";;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03105210-11.jpg;0;Couleur:noir mat:1,Type de casque:Intégral:2,Genre:Enfants:3,Coque:fibre de verre:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80705;1;OF552 Freeway Monte Carlo - noir;192;249;1;99.6;1;;;;;3105320-1;3105320-1;Mototrend;LS2;;;;;;;;0;0;;;;;"Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)";"<p><strong>OF552</p></strong> Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)<p><strong>Coques</p></strong><ul><li>coques en fibre de verre</li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable </li></ul>";;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03105320-01.jpg;0;Couleur:noir:1,Type de casque:Intégral:2,Genre:Enfants:3,Coque:fibre de verre:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80706;1;OF552 Freeway Monte Carlo - blanc;192;249;1;99.6;1;;;;;3105320-10;3105320-10;Mototrend;LS2;;;;;;;;0;0;;;;;"Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)";"<p><strong>OF552</p></strong> Casque intégral pour enfants – très léger; testée ECE22-05; système d’aération dynamique; démontage rapide de la visière ultra-quick-release (SR2S)<p><strong>Coques</p></strong><ul><li>coques en fibre de verre</li></ul><p><strong>Homologation</p></strong><ul><li>ECE22-05 </li></ul><p><strong>Ventilation</p></strong><ul><li>système d’aération dynamique</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable </li></ul>";;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03105320-10.jpg;0;Couleur:blanc:1,Type de casque:Intégral:2,Genre:Enfants:3,Coque:fibre de verre:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80707;1;FF385 CT2 Carbon solid - noir;192;349;1;139.6;1;;;;;3110300-1;3110300-1;Mototrend;LS2;;;;;;;;0;0;;;;;Qualité carbon à un prix abordable. Profitez du poids légers et réjouissez-vous du confort du pare-soleil intégré et du concept AirGo qui permet de personnaliser l'ajustement du casque;<p><strong>FF385 CT2 Carbon solid - noir</p></strong><p><strong>Coques</p></strong><ul><li>2 coques en carbon</li></ul><p><strong>Visière</p></strong><ul><li>démontage rapide de la visière ultra-quick-release (SR2S)</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable</li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03110300-01.jpg;0;Couleur:noir:1,Type de casque:Intégral:2,Genre:Adultes:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80708;1;FF385 FT2 solid - noir;192;339;1;135.6;1;;;;;3110500-1;3110500-1;Mototrend;LS2;;;;;;;;0;0;;;;;Qualité carbon à un prix abordable. Profitez du poids légers et réjouissez-vous du confort du pare-soleil intégré et du concept AirGo qui permet de personnaliser l'ajustement du casque;<p><strong>FF385 FT2 solid - schwarz</p></strong><p><strong>Coques</p></strong><ul><li>2 coques en carbon</li></ul><p><strong>Visière</p></strong><ul><li>démontage rapide de la visière ultra-quick-release (SR2S)</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable</li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03110500-01.jpg;0;Couleur:noir:1,Type de casque:Intégral:2,Genre:Adultes:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80709;1;FF385 FT2 solid - noir mat;192;339;1;135.6;1;;;;;3110500-11;3110500-11;Mototrend;LS2;;;;;;;;0;0;;;;;Qualité carbon à un prix abordable. Profitez du poids légers et réjouissez-vous du confort du pare-soleil intégré et du concept AirGo qui permet de personnaliser l'ajustement du casque;<p><strong>FF385 FT2 solid - matt schwarz</p></strong><p><strong>Coques</p></strong><ul><li>2 coques en carbon</li></ul><p><strong>Visière</p></strong><ul><li>démontage rapide de la visière ultra-quick-release (SR2S)</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable</li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03110500-11.jpg;0;Couleur:noir mat:1,Type de casque:Intégral:2,Genre:Adultes:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
80710;1;FF385 FT2 solid - titan/gun;192;339;1;135.6;1;;;;;3110500-26;3110500-26;Mototrend;LS2;;;;;;;;0;0;;;;;Qualité carbon à un prix abordable. Profitez du poids légers et réjouissez-vous du confort du pare-soleil intégré et du concept AirGo qui permet de personnaliser l'ajustement du casque;<p><strong>FF385 FT2 solid - titan/gun</p></strong><p><strong>Coques</p></strong><ul><li>2 coques en carbon</li></ul><p><strong>Visière</p></strong><ul><li>démontage rapide de la visière ultra-quick-release (SR2S)</li></ul><p><strong>Doublure</p></strong><ul><li>doublure entièrement démontable et lavable</li></ul>;;;;;;;;1;2016-03-22;2016-03-22;1;https://www.motogoodeal.ch/img/import/03110500-26.jpg;0;Couleur:titan/gun:1,Type de casque:Intégral:2,Genre:Adultes:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:Oui:6,Double écran solaire:Non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:Oui:9,Ecran anti-rayures:Non:10,Jugulaire:Boucle micrométrique:11;0;new;0;0;0;0;0;0;0;0
