Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
80701;;Taille:select:0;XS:2;3101010-11-XS;3101010-11-XS;;;;;;0;;;;;;;;;;;
80701;;Taille:select:0;S:3;3101010-11-S;3101010-11-S;;;;;;0;;;;;;;;;;;
80701;;Taille:select:0;M:4;3101010-11-M;3101010-11-M;;;;;;0;;;;;;;;;;;
80701;;Taille:select:0;L:5;3101010-11-L;3101010-11-L;;;;;;0;;;;;;;;;;;
80701;;Taille:select:0;XL:6;3101010-11-XL;3101010-11-XL;;;;;;0;;;;;;;;;;;
80701;;Taille:select:0;XXL:7;3101010-11-XXL;3101010-11-XXL;;;;;;0;;;;;;;;;;;
80702;;Taille:select:0;XS:2;3105010-11-XS;3105010-11-XS;;;;;;0;;;;;;;;;;;
80702;;Taille:select:0;S:3;3105010-11-S;3105010-11-S;;;;;;0;;;;;;;;;;;
80702;;Taille:select:0;M:4;3105010-11-M;3105010-11-M;;;;;;0;;;;;;;;;;;
80702;;Taille:select:0;L:5;3105010-11-L;3105010-11-L;;;;;;0;;;;;;;;;;;
80702;;Taille:select:0;XL:6;3105010-11-XL;3105010-11-XL;;;;;;0;;;;;;;;;;;
80703;;Taille:select:0;XS:2;3105120-10-XS;3105120-10-XS;;;;;;0;;;;;;;;;;;
80703;;Taille:select:0;S:3;3105120-10-S;3105120-10-S;;;;;;0;;;;;;;;;;;
80703;;Taille:select:0;M:4;3105120-10-M;3105120-10-M;;;;;;0;;;;;;;;;;;
80703;;Taille:select:0;L:5;3105120-10-L;3105120-10-L;;;;;;0;;;;;;;;;;;
80703;;Taille:select:0;XL:6;3105120-10-XL;3105120-10-XL;;;;;;0;;;;;;;;;;;
80704;;Taille:select:0;XS:2;3105210-11-XS;3105210-11-XS;;;;;;0;;;;;;;;;;;
80704;;Taille:select:0;S:3;3105210-11-S;3105210-11-S;;;;;;0;;;;;;;;;;;
80704;;Taille:select:0;M:4;3105210-11-M;3105210-11-M;;;;;;0;;;;;;;;;;;
80704;;Taille:select:0;L:5;3105210-11-L;3105210-11-L;;;;;;0;;;;;;;;;;;
80704;;Taille:select:0;XXL:7;3105210-11-XXL;3105210-11-XXL;;;;;;0;;;;;;;;;;;
80705;;Taille:select:0;XS:2;3105320-1-XS;3105320-1-XS;;;;;;0;;;;;;;;;;;
80705;;Taille:select:0;S:3;3105320-1-S;3105320-1-S;;;;;;0;;;;;;;;;;;
80705;;Taille:select:0;M:4;3105320-1-M;3105320-1-M;;;;;;0;;;;;;;;;;;
80705;;Taille:select:0;L:5;3105320-1-L;3105320-1-L;;;;;;0;;;;;;;;;;;
80705;;Taille:select:0;XL:6;3105320-1-XL;3105320-1-XL;;;;;;0;;;;;;;;;;;
80706;;Taille:select:0;XS:2;3105320-10-XS;3105320-10-XS;;;;;;0;;;;;;;;;;;
80706;;Taille:select:0;S:3;3105320-10-S;3105320-10-S;;;;;;0;;;;;;;;;;;
80706;;Taille:select:0;M:4;3105320-10-M;3105320-10-M;;;;;;0;;;;;;;;;;;
80706;;Taille:select:0;L:5;3105320-10-L;3105320-10-L;;;;;;0;;;;;;;;;;;
80706;;Taille:select:0;XL:6;3105320-10-XL;3105320-10-XL;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;XS:2;3110300-1-XS;3110300-1-XS;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;S:3;3110300-1-S;3110300-1-S;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;M:4;3110300-1-M;3110300-1-M;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;L:5;3110300-1-L;3110300-1-L;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;XL:6;3110300-1-XL;3110300-1-XL;;;;;;0;;;;;;;;;;;
80707;;Taille:select:0;XXL:7;3110300-1-XXL;3110300-1-XXL;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;XS:2;3110500-1-XS;3110500-1-XS;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;S:3;3110500-1-S;3110500-1-S;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;M:4;3110500-1-M;3110500-1-M;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;L:5;3110500-1-L;3110500-1-L;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;XL:6;3110500-1-XL;3110500-1-XL;;;;;;0;;;;;;;;;;;
80708;;Taille:select:0;XXL:7;3110500-1-XXL;3110500-1-XXL;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;XS:2;3110500-11-XS;3110500-11-XS;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;S:3;3110500-11-S;3110500-11-S;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;M:4;3110500-11-M;3110500-11-M;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;L:5;3110500-11-L;3110500-11-L;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;XL:6;3110500-11-XL;3110500-11-XL;;;;;;0;;;;;;;;;;;
80709;;Taille:select:0;XXL:7;3110500-11-XXL;3110500-11-XXL;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;XS:2;3110500-26-XS;3110500-26-XS;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;S:3;3110500-26-S;3110500-26-S;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;M:4;3110500-26-M;3110500-26-M;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;L:5;3110500-26-L;3110500-26-L;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;XL:6;3110500-26-XL;3110500-26-XL;;;;;;0;;;;;;;;;;;
80710;;Taille:select:0;XXL:7;3110500-26-XXL;3110500-26-XXL;;;;;;0;;;;;;;;;;;
80711;;Taille:select:0;XS:2;3110601-11-XS;3110601-11-XS;;;;;;0;;;;;;;;;;;
80711;;Taille:select:0;M:4;3110601-11-M;3110601-11-M;;;;;;0;;;;;;;;;;;
80711;;Taille:select:0;L:5;3110601-11-L;3110601-11-L;;;;;;0;;;;;;;;;;;
80711;;Taille:select:0;XL:6;3110601-11-XL;3110601-11-XL;;;;;;0;;;;;;;;;;;
80712;;Taille:select:0;XS:2;3112000-1-XS;3112000-1-XS;;;;;;0;;;;;;;;;;;
80712;;Taille:select:0;S:3;3112000-1-S;3112000-1-S;;;;;;0;;;;;;;;;;;
80712;;Taille:select:0;M:4;3112000-1-M;3112000-1-M;;;;;;0;;;;;;;;;;;
80712;;Taille:select:0;L:5;3112000-1-L;3112000-1-L;;;;;;0;;;;;;;;;;;
80712;;Taille:select:0;XL:6;3112000-1-XL;3112000-1-XL;;;;;;0;;;;;;;;;;;
