ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80701;;FF384 Blade - matt schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Top-funktioneller Integralhelm mit integrierter Sonnenblende ;"<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Visier</p></strong><ul><li>quick-release Visiermechanismus ohne Kittplatten (SR2S); anti-fog Visier</li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>";;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80702;;OF559 Rocket - matt schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Klein aber Fein – dieser Jethelm passt unter praktisch jede Sitzbank;<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80703;;OF559 Rocket Seven Sixty - weiss;;;;;;;;;;;;;;;;;;;;;;;;;;;Klein aber Fein – dieser Jethelm passt unter praktisch jede Sitzbank;<br><p><strong>Aussenschale</p></strong><ul><li>Aussenschale aus HTTP-resin (high pressure thermoplastic technology)</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80704;;OF552 Freeway - matt schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Jethelm für hohe Ansprüche aus Fiberglas mit integrierter Sonnenblende;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschalen aus Fiberglas</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80705;;OF552 Freeway Monte Carlo - schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Jethelm für hohe Ansprüche aus Fiberglas mit integrierter Sonnenblende;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschalen aus Fiberglas</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80706;;OF552 Freeway Monte Carlo - weiss;;;;;;;;;;;;;;;;;;;;;;;;;;;Jethelm für hohe Ansprüche aus Fiberglas mit integrierter Sonnenblende;<br><p><strong>Aussenschale</p></strong><ul><li>2 Aussenschalen aus Fiberglas</li></ul><br><p><strong>Prüfnorm</p></strong><ul><li>ECE22-05 </li></ul><br><p><strong>Belüftung</p></strong><ul><li>einfach bedienbares  Belüftungs- und Entlüftungssystem</li></ul><br><p><strong>Innenfutter</p></strong><ul><li>komplett herausnehmbares, waschbares Innenfutter </li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80707;;FF385 CT2 Carbon solid - schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Qualität zu einem erschwinglichen Preis. Profitiere vom tiefem Gewicht eines Carbonhelms und geniesse den Komfort der integrierten Sonnenblende und des AirGo Pumpsystems für eine bestmögliche Passform.;<br><p><strong>FF385 CT2 Carbon solid - schwarz</p></strong><br><p><strong>Aussenschale:</p></strong><ul><li>2 Aussenschalen aus Carbon<br><p><strong>Visier: </p></strong><ul><li>Neuartiges quick-release Visiermechanismus ohne Kittplatten (SR2S)</li><li>anti-fog Visier<br><p><strong>Belüftung: </p></strong><ul><li>Einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten.</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80708;;FF385 FT2 solid - schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Qualität zu einem erschwinglichen Preis. Profitiere vom tiefem Gewicht eines Carbonhelms und geniesse den Komfort der integrierten Sonnenblende und des AirGo Pumpsystems für eine bestmögliche Passform;<br><p><strong>FF385 CT2 Carbon solid - schwarz</p></strong><br><p><strong>Aussenschale:</p></strong><ul><li>2 Aussenschalen aus Carbon<br><p><strong>Visier: </p></strong><ul><li>Neuartiges quick-release Visiermechanismus ohne Kittplatten (SR2S)</li><li>anti-fog Visier<br><p><strong>Belüftung: </p></strong><ul><li>Einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten.</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80709;;FF385 FT2 solid - matt schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Qualität zu einem erschwinglichen Preis. Profitiere vom tiefem Gewicht eines Carbonhelms und geniesse den Komfort der integrierten Sonnenblende und des AirGo Pumpsystems für eine bestmögliche Passform;<br><p><strong>FF385 CT2 Carbon solid - schwarz</p></strong><br><p><strong>Aussenschale:</p></strong><ul><li>2 Aussenschalen aus Carbon<br><p><strong>Visier: </p></strong><ul><li>Neuartiges quick-release Visiermechanismus ohne Kittplatten (SR2S)</li><li>anti-fog Visier<br><p><strong>Belüftung: </p></strong><ul><li>Einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten.</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80710;;FF385 FT2 solid - titan/gun;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Qualität zu einem erschwinglichen Preis. Profitiere vom tiefem Gewicht eines Carbonhelms und geniesse den Komfort der integrierten Sonnenblende und des AirGo Pumpsystems für eine bestmögliche Passform;<br><p><strong>FF385 CT2 Carbon solid - schwarz</p></strong><br><p><strong>Aussenschale:</p></strong><ul><li>2 Aussenschalen aus Carbon<br><p><strong>Visier: </p></strong><ul><li>Neuartiges quick-release Visiermechanismus ohne Kittplatten (SR2S)</li><li>anti-fog Visier<br><p><strong>Belüftung: </p></strong><ul><li>Einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten.</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
80711;;FF385 FT2 Burn - matt schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Carbon Qualität zu einem erschwinglichen Preis. Profitiere vom tiefem Gewicht eines Carbonhelms und geniesse den Komfort der integrierten Sonnenblende und des AirGo Pumpsystems für eine bestmögliche Passform;<br><p><strong>FF385 CT2 Carbon solid - schwarz</p></strong><br><p><strong>Aussenschale:</p></strong><ul><li>2 Aussenschalen aus Carbon<br><p><strong>Visier: </p></strong><ul><li>Neuartiges quick-release Visiermechanismus ohne Kittplatten (SR2S)</li><li>anti-fog Visier<br><p><strong>Belüftung: </p></strong><ul><li>Einfach bedienbares Belüftungs- und Entlüftungssystem mit Lufteinlässen vorne und Luftabzug hinten.</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferbar auf Anfrage;;;;;;;;;;;;;;;;;
