id;Name *;SKU;Name *;SKU;Short description;Description;Text when in stock;Text when backorder allowed
9000;TRAVELLER PRO Komfortkissen;AIR.00.495.10000/B;TRAVELLER PRO Komfortkissen;AIR.00.495.10000/B;Schwarz.;<p>Das Komfortkissen TRAVELLER PRO wurde in enger Zusammenarbeit von AIRHAWK® und SW-MOTECH entwickelt: Durch den Einsatz der AIRHAWK® Technologien Shape Fitting® und DRY FLOATATION® entlastet das Motorrad-Sitzkissen aus langlebigem, hoch elastischem Neopren Rücken und Sitzbein. Gleichzeitig sorgen die Luftpolster der bequemen, vibrationssenkenden Sitzbank-Auflage für konstante Durchblutung, weniger Druckstellen sowie reduzierte Wärme- und Schweißbildung während der Fahrt. TRAVELLER-Kissen bieten außerdem eine besonders robuste Kunstleder-Oberfläche sowie zusätzlichen Halt und Diebstahlschutz durch eine umlaufende Befestigung.</p><br><strong>Besonderheiten</strong><ul><li> Entlastung für Rücken und Sitzbein</li><li> Beugt Taubheitsgefühl und schmerzenden Druckstellen vor</li><li> Reduzierte Wärme- und Schweißbildung</li><li> Besonders hohe Vibrationsdämfung</li><li> Oberfläche aus robustem Kunstleder und flexiblem Stretch-Material</li><li> Stabiler Stretch-Befestigungsgurt</li><li> Rutschfeste Unterseite</li><li> Wasserfestes Innenkissen</li><li> Passend für nahezu alle Motorräder und Sitzpositionen</li><li> Material: Innenkissen aus langlebigem, hoch elastischem Neopren</li><li> Maße: 28 x 30 cm</li></ul><br><strong>Lieferumfang</strong><ul><li>Hochwertiges Neopren-Innenkissen</li><li>Kunstleder-Bezug mit Sitzbank-Halterung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9001;TRAVELLER ECO Komfortkissen;AIR.00.495.10100/B;TRAVELLER ECO Komfortkissen;AIR.00.495.10100/B;Schwarz.;<p>Das Komfortkissen TRAVELLER ECO wurde in enger Zusammenarbeit zwischen AIRHAWK® und SW-MOTECH entwickelt: Durch den Einsatz der AIRHAWK® Technologien Shape Fitting® und DRY FLOATATION® entlastet das Motorrad-Sitzkissen aus Polyurethan Rücken und Sitzbein. Gleichzeitig sorgen die Luftpolster der bequemen, vibrationssenkenden Sitzbank-Auflage für konstante Durchblutung, weniger Druckstellen sowie reduzierte Wärme- und Schweißbildung während der Fahrt. TRAVELLER-Kissen bieten außerdem eine robuste Kunstleder-Oberfläche sowie zusätzlichen Halt und Diebstahlschutz durch eine umlaufende Befestigung.</p><br><strong>Besonderheiten:</strong><ul><li> Entlastung für Rücken und Sitzbein</li><li> Beugt Taubheitsgefühl und schmerzenden Druckstellen vor</li><li> Reduzierte Wärme- und Schweißbildung</li><li> Oberfläche aus robustem Kunstleder und flexiblem Stretch-Material</li><li> Stabiler Stretch-Befestigungsgurt</li><li> Rutschfeste Unterseite</li><li> Wasserfestes Innenkissen</li><li> Passend für nahezu alle Motorräder und Sitzpositionen</li><li> Material: Innenkissen aus Polyurethan</li><li> Maße: 28 x 23 cm</li></ul><br><strong>Lieferumfang:</strong><ul><li>Wasserfestes Polyurethan-Innenkissen</li><li>Kunstleder-Bezug mit Sitzbank-Halterung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9002;TraX® EVO ALU-BOX L;ALK.00.165.10000L/B;TraX® EVO ALU-BOX L;ALK.00.165.10000L/B;45 l. Links. Schwarz. 49x28x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 45 l </li><li>Maße: 49 x 28 x 37 cm </li><li>Gewicht: 5,0 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9003;TraX® EVO ALU-BOX L;ALK.00.165.10000L/S;TraX® EVO ALU-BOX L;ALK.00.165.10000L/S;45 l. Links. Silber. 49x28x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 45 l </li><li>Maße: 49 x 28 x 37 cm </li><li>Gewicht: 5,0 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9004;TraX® EVO ALU-BOX L;ALK.00.165.10000R/B;TraX® EVO ALU-BOX L;ALK.00.165.10000R/B;45 l. Rechts. Schwarz. 49x28x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 45 l </li><li>Maße: 49 x 28 x 37 cm </li><li>Gewicht: 5,0 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9005;TraX® EVO ALU-BOX L;ALK.00.165.10000R/S;TraX® EVO ALU-BOX L;ALK.00.165.10000R/S;45 l. Rechts. Silber. 49x28x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 45 l </li><li>Maße: 49 x 28 x 37 cm </li><li>Gewicht: 5,0 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9006;TraX® EVO ALU-BOX M;ALK.00.165.11000L/B;TraX® EVO ALU-BOX M;ALK.00.165.11000L/B;37 l. Links. Schwarz. 49x23x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 37 l </li><li>Maße: 49 x 23 x 37 cm </li><li>Gewicht: 4,7 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9007;TraX® EVO ALU-BOX M;ALK.00.165.11000L/S;TraX® EVO ALU-BOX M;ALK.00.165.11000L/S;37 l. Links. Silber. 49x23x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 37 l </li><li>Maße: 49 x 23 x 37 cm </li><li>Gewicht: 4,7 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9008;TraX® EVO ALU-BOX M;ALK.00.165.11000R/B;TraX® EVO ALU-BOX M;ALK.00.165.11000R/B;37 l. Rechts. Schwarz. 49x23x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 37 l </li><li>Maße: 49 x 23 x 37 cm </li><li>Gewicht: 4,7 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9009;TraX® EVO ALU-BOX M;ALK.00.165.11000R/S;TraX® EVO ALU-BOX M;ALK.00.165.11000R/S;37 l. Rechts. Silber. 49x23x37 cm.;<strong>TraX® EVO ALU-BOX</strong> von SW-MOTECH ist die ultimative, beständige und zuverlässige Gepäcklösung. - <br>MADE IN GERMANY.<br><br>Verfügbar in Aluminium oder schwarz pulverbeschichtet.<br>Verwendbar mit allen SW-MOTECH QUICK-LOCK Kofferträgern und QUICK-LOCK EVO Kofferträgern.<br>Befestigen Sie die TraX® EVO ALU-Boxen an Ihren SW-MOTECH,<br>Givi oder Hepco & Becker Kofferträger mit Hilfe unserer Adapterkits (separat erhältlich). <br>TraX® EVO Boxen werden nicht mit Schließzylindern ausgeliefert.<br>Optional bieten wir Schließzylinder-Sets für wahlweise 1 Topcase, 2 Seitenkoffer oder 3 Koffer.<br><strong>Besonderheiten:</strong><ul><li>Sichere und stabile Konstruktion</li><li>1,5 mm dickes Aluminiumblech</li><li>Stabile Adapterkits aus Edelstahl oder Kunststoff</li><li>Gefertigt im äußerst festen und dichten Stanznietverfahren</li><li>Tiefgezogener Deckel mit Kunststoffrahmen und Gummidichtung</li><li>Scharniere aus Edelstahl</li><li>Ecken aus glasfaserverstärktem Kunststoff</li><li>Seitenkoffer mit Spanngurt-Ösen</li><li>Schwarze Koffer sind innen schwarz pulverbeschichtet - kein Aluminiumabrieb am Gepäck!</li><li>Deckel dichtet durch Kompression des Scharniers ab</li><li>Volumen: 37 l </li><li>Maße: 49 x 23 x 37 cm </li><li>Gewicht: 4,7 kg </li></ul><br><strong>Lieferumfang:</strong><ul><li>TraX® EVO ALU-BOX in praktischer Aufbewahrungstasche</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
