ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81000;;;;8;1;4.05;1;;;;;RPGASAB13101;RPGASAB13101;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81001;;;;20;1;10.12;1;;;;;RPGASAB15101;RPGASAB15101;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81002;;;;49.95;1;25.27;1;;;;;RPGASAC15101;RPGASAC15101;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81003;;;;49.95;1;25.27;1;;;;;RPGASAC15102;RPGASAC15102;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81004;;;;49;1;24.79;1;;;;;RPGASAC15103;RPGASAC15103;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81005;;;;69;1;34.91;1;;;;;RPGASAC15104;RPGASAC15104;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81006;;;;49.95;1;25.27;1;;;;;RPGASAC15181;RPGASAC15181;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81007;;;;69;1;34.91;1;;;;;RPGASAC15201;RPGASAC15201;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81008;;;;49.95;1;25.27;1;;;;;RPGASAC15301;RPGASAC15301;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81009;;;;19;1;9.61;1;;;;;RPGASAC15302;RPGASAC15302;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81010;;;;15;1;7.59;1;;;;;RPGASAC15303;RPGASAC15303;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81011;;;;29;1;14.67;1;;;;;RPGASAC154721;RPGASAC154721;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
81012;;;;229;1;115.87;1;;;;;RPGASBA14122;RPGASBA14122;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;0;;0;new;0;0;0;0;0;0;0;0
