id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
43501;;Belstaff Oliversmount Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Schwarz ;<ul><li>Handgewachstes Rindsnarbenleder 1-1.1 mm/li><li>D3O Arm- und Schulterprotektoren austrennbar/li><li>Rückenprotektor nachrüstbar</li><li>herausnehmbares</li><li>Steppfutter</li><li>verstärkte Schulter- und Ellbogenpartie/li><li>metallverstärkte Belüftungsschlitze verstellbarer Halsriemen</li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Leder</li><li>Futter: 100% Baumwolle</li><li>Farbe: Schwarz</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43502;;Belstaff Brookland Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Schwarz ;<ul><li>Charakteristische</li><li>handgewachste 8-Unzen-</li><li>Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte</li><li>Nähte</li><li>herausnehmbares Steppfutter</li><li>D3O</li><li>Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüsbar</li><li>verstärkte Schulter- und Ellbogenpartie</li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen/li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Farbe: Schwarz</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43503;;Belstaff Lavant Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Schwarz ;;;;;;;;;;;;;;;;;;;;;;;;;
43504;;Belstaff Lavant Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Burnt Sienna;;;;;;;;;;;;;;;;;;;;;;;;;
43505;;Belstaff Sulby Straight Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Schwarz ;<ul><li>Charakteristische</li><li>handgewachste 8-Unzen-Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>herausnehmbares Steppfutter</li><li>150 g Micro-Valtherm-Wattierung</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>verstärkte Schulter- und Ellbogenpartie</li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>Rückenprotektor nachrüstbar</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Wattierung: 100% Polyester</li><li>Italienische Grössen: Mindestens 1 Nummer grösser bestellen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43506;;Belstaff X Man Racing Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Denim Blue;;;;;;;;;;;;;;;;;;;;;;;;;
43507;;Belstaff X Man Racing Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black;;;;;;;;;;;;;;;;;;;;;;;;;
43508;;Belstaff Glen Vine Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Burnished Green;;;;;;;;;;;;;;;;;;;;;;;;;
43509;;Belstaff Glen Vine Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Burnished Brown;<ul><li>Aufgummierte Jersey Baumwolle</li><li>D3O Arm- und</li><li>Schulterprotektoren austrennbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>4 Aussentaschen</li><li>Obermaterial: 100% Baumwolle</li><li>PU</li><li>Futter: 100% Baumwolle</li><li>Farbe: Burnished Brown</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43510;;Belstaff Brookland Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Military Green ;<ul><li>8 OZ. WAXED COTTON</li><li>Aus charakteristischer</li><li>gewachster 8-Unzen-Baumwolle</li><li>mit Miropex-Membrane und versiegelten Nähten</li><li>herausnehmbarem Steppfutter mit Micro-Valtherm-Wattierung</li><li>Arm- und Schulterverstärkungen</li><li>Arm- und Schulterprotektoren gemäss europäischen CE-Sicherheitsstandards</li><li>mit Tasche für Rückenprotektor</li><li>die markante Rautensteppung an Schultern und Ellbogen erinnert an die Belstaff Tradition aus dem Industriezeitalter</li><li>metallverstärkte Belüftungsschlitze unter den Armen</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der Taille mit Druckknopfverschluss</li><li>Abdeckung Gürtelschnalle mit Stickerei</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43511;;Belstaff Brookland Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Woodland;<ul><li>8 OZ. WAXED COTTON</li><li>Aus charakteristischer</li><li>gewachster 8-Unzen-Baumwolle</li><li>mit Miropex-Membrane und versiegelten Nähten</li><li>herausnehmbarem Steppfutter mit Micro-Valtherm-Wattierung</li><li>Arm- und Schulterverstärkungen</li><li>Arm- und Schulterprotektoren gemäss europäischen CE-Sicherheitsstandards</li><li>mit Tasche für Rückenprotektor</li><li>die markante Rautensteppung an Schultern und Ellbogen erinnert an die Belstaff Tradition aus dem Industriezeitalter</li><li>metallverstärkte Belüftungsschlitze unter den Armen</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der Taille mit Druckknopfverschluss</li><li>Abdeckung Gürtelschnalle mit Stickerei</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43512;;Belstaff Brookland Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Mahogany ;<ul><li>8 OZ. WAXED COTTON</li><li>Aus charakteristischer</li><li>gewachster 8-Unzen-Baumwolle</li><li>mit Miropex-Membrane und versiegelten Nähten</li><li>herausnehmbarem Steppfutter mit Micro-Valtherm-Wattierung</li><li>Arm- und Schulterverstärkungen</li><li>Arm- und Schulterprotektoren gemäss europäischen CE-Sicherheitsstandards</li><li>mit Tasche für Rückenprotektor</li><li>die markante Rautensteppung an Schultern und Ellbogen erinnert an die Belstaff Tradition aus dem Industriezeitalter</li><li>metallverstärkte Belüftungsschlitze unter den Armen</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der Taille mit Druckknopfverschluss</li><li>Abdeckung Gürtelschnalle mit Stickerei</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43513;;Belstaff Brooklands Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Combat Green;<ul><li>Handgewachstes Rindsnarbenleder 1-1.1 mm</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>verstärkte Schulter- und Ellbogenpartie</li><li>metallverstärkte Belüftungsschlitze verstellbarer Halsriemen/li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Leder</li><li>Futter: 100% Baumwolle</li><li>Farbe: Combat Green</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43514;;Belstaff Brooklands Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Burnt Cuero;<ul><li>Handgewachstes Rindsnarbenleder 1-1.1 mm</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>verstärkte Schulter- und Ellbogenpartie</li><li>metallverstärkte Belüftungsschlitze verstellbarer Halsriemen/li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Leder</li><li>Futter: 100% Baumwolle</li><li>Farbe: Burnt Cuero</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43515;;Belstaff Brooklands Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Antique Black;;;;;;;;;;;;;;;;;;;;;;;;;
43516;;Belstaff Jubilee Brocklands Soy Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil British Racing Green;<ul><li>Soy waxed (used look)</li><li>charakteristische</li><li>handgewachste 6-Unzen-Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>herausnehmbares Steppfutter</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor</li><li>nachrüstbar</li><li>verstärkte Schulter- und Ellbogenpartie/li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Farbe: British Racing Green</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43517;;Belstaff Jubilee Brocklands Soy Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Russet;;;;;;;;;;;;;;;;;;;;;;;;;
43518;;Belstaff Jubilee Brocklands Soy Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black;<ul><li>Soy waxed (used look)</li><li>charakteristische</li><li>handgewachste 6-Unzen-Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>herausnehmbares Steppfutter</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor</li><li>nachrüstbar</li><li>verstärkte Schulter- und Ellbogenpartie/li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Farbe: Schwarz</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43519;;Belstaff Brookland Waxcotton Veste B400;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Schwarz Bonneville 400 Mph Limited Edition;<ul><li>Nummerierte Limited Edition</li><li>Nr. 1-400</li><li>zu Ehren des Weltrekord-Versuchs 400mph im Salz von Bonneville im August 2015.</li><li>Charakteristische</li><li>handgewachste 8-Unzen-Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>herausnehmbares Steppfutter</li><li>150 g Micro-Valtherm-Wattierung</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>verstärkte</li><li>Schulter- und Ellbogenpartie</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen/li><li>Rückenprotektor nachrüstbar</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Wattierung: 100% Polyester</li><li>Farbe: Schwarz</li><li>Italienische Grössen: Mindestens 1 Nummer grösser bestellen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43520;;Belstaff Ago'S Leap Waxed Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Military;;;;;;;;;;;;;;;;;;;;;;;;;
43521;;Belstaff Ago'S Leap Waxed Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Dark Navy;<ul><li>Handgewachstes Cordura 500</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der Taille</li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Optional: Innenfutter Lambfell Gilet 41080503-900-</li><li>Obermaterial: 100% Cordura 500</li><li>Futter: 100% Baumwolle</li><li>Farbe: Dark Navy</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43522;;Belstaff Ago'S Leap Waxed Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black;;;;;;;;;;;;;;;;;;;;;;;;;
43523;;Belstaff Ago'S Leap Resin Cotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil British Racing Green;;;;;;;;;;;;;;;;;;;;;;;;;
43524;;Belstaff Ago'S Leap Resin Cotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Denim Blue;;;;;;;;;;;;;;;;;;;;;;;;;
