Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43501;;Taille:select:0;S:2;41020001-S;41020001-S;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43501;;Taille:select:0;M:3;41020001-M;41020001-M;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43501;;Taille:select:0;L:4;41020001-L;41020001-L;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43501;;Taille:select:0;XL:5;41020001-XL;41020001-XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43501;;Taille:select:0;2XL:6;41020001-2XL;41020001-2XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43501;;Taille:select:0;3XL:7;41020001-3XL;41020001-3XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020001_0.jpg,https://www.motogoodeal.ch/img/import/41020001_1.jpg;1;;;;
43502;;Taille:select:0;S:2;41020003-S;41020003-S;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;M:3;41020003-M;41020003-M;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;L:4;41020003-L;41020003-L;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;XL:5;41020003-XL;41020003-XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;2XL:6;41020003-2XL;41020003-2XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;3XL:7;41020003-3XL;41020003-3XL;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;4XL:8;41020003-4XL;41020003-4XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;5XL:9;41020003-5XL;41020003-5XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43502;;Taille:select:0;6XL:10;41020003-6XL;41020003-6XL;;;;;;3;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020003_0.jpg,https://www.motogoodeal.ch/img/import/41020003_1.jpg;1;;;;
43503;;Taille:select:0;3XL:7;41020010-3XL;41020010-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43503;;Taille:select:0;4XL:8;41020010-4XL;41020010-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43504;;Taille:select:0;S:2;41020010-654-S;41020010-654-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;M:3;41020010-654-M;41020010-654-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;L:4;41020010-654-L;41020010-654-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;XL:5;41020010-654-XL;41020010-654-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;2XL:6;41020010-654-2XL;41020010-654-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;3XL:7;41020010-654-3XL;41020010-654-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43504;;Taille:select:0;4XL:8;41020010-654-4XL;41020010-654-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010-654-_0.jpg;1;;;;
43503;;Taille:select:0;S:2;41020010-S;41020010-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43503;;Taille:select:0;M:3;41020010-M;41020010-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43503;;Taille:select:0;L:4;41020010-L;41020010-L;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43503;;Taille:select:0;XL:5;41020010-XL;41020010-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020010_0.jpg,https://www.motogoodeal.ch/img/import/41020010_1.jpg;1;;;;
43505;;Taille:select:0;S:2;41020016-S;41020016-S;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020016_0.jpg,https://www.motogoodeal.ch/img/import/41020016_1.jpg,https://www.motogoodeal.ch/img/import/41020016_2.jpg;1;;;;
43505;;Taille:select:0;L:4;41020016-L;41020016-L;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020016_0.jpg,https://www.motogoodeal.ch/img/import/41020016_1.jpg,https://www.motogoodeal.ch/img/import/41020016_2.jpg;1;;;;
43505;;Taille:select:0;2XL:6;41020016-2XL;41020016-2XL;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020016_0.jpg,https://www.motogoodeal.ch/img/import/41020016_1.jpg,https://www.motogoodeal.ch/img/import/41020016_2.jpg;1;;;;
43506;;Taille:select:0;S:2;41020070-867-S;41020070-867-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;M:3;41020070-867-M;41020070-867-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;L:4;41020070-867-L;41020070-867-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;XL:5;41020070-867-XL;41020070-867-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;2XL:6;41020070-867-2XL;41020070-867-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;3XL:7;41020070-867-3XL;41020070-867-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43506;;Taille:select:0;4XL:8;41020070-867-4XL;41020070-867-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-867-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-867-_1.jpg;1;;;;
43507;;Taille:select:0;2XL:6;41020070-900-2XL;41020070-900-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;3XL:7;41020070-900-3XL;41020070-900-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;4XL:8;41020070-900-4XL;41020070-900-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;L:4;41020070-900-L;41020070-900-L;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;M:3;41020070-900-M;41020070-900-M;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;S:2;41020070-900-S;41020070-900-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43507;;Taille:select:0;XL:5;41020070-900-XL;41020070-900-XL;;;;;;1;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020070-900-_0.jpg,https://www.motogoodeal.ch/img/import/41020070-900-_1.jpg;1;;;;
43508;;Taille:select:0;2XL:6;41020158-269-2XL;41020158-269-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;3XL:7;41020158-269-3XL;41020158-269-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;4XL:8;41020158-269-4XL;41020158-269-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;L:4;41020158-269-L;41020158-269-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;M:3;41020158-269-M;41020158-269-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;S:2;41020158-269-S;41020158-269-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43508;;Taille:select:0;XL:5;41020158-269-XL;41020158-269-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-269-_05.jpg;1;;;;
43509;;Taille:select:0;2XL:6;41020158-689-2XL;41020158-689-2XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020158-689-_0.jpg;1;;;;
