ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81500;1;Arai 2D Visier Klar;;;;;;;;;;ARA5001111;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;<p>Visier für Arai Helme</p><p>Das Produktbild ist ein allgemeine Produktbild und kann vom tatsächlichen Produkt abweichen</p><br><p>Sollten Sie sich mit der Kompatibilität des Produktes nicht sicher sein, zögern Sie bitte nicht uns per E-Mail oder Telefon zu kontaktieren</p>;;;;;;;;;;;;;;;;;;;;;;;;
81501;1;Arai 2D Visier Stark Getönt Rx7-Gp;;;;;;;;;;ARA5001112;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;<p>Visier für Arai Helme</p><p>Das Produktbild ist ein allgemeine Produktbild und kann vom tatsächlichen Produkt abweichen</p><br><p>Sollten Sie sich mit der Kompatibilität des Produktes nicht sicher sein, zögern Sie bitte nicht uns per E-Mail oder Telefon zu kontaktieren</p>;;;;;;;;;;;;;;;;;;;;;;;;
81502;1;Arai 2D Visier Leicht Getönt Rx-7 Gp;;;;;;;;;;ARA5001113;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;<p>Visier für Arai Helme</p><p>Das Produktbild ist ein allgemeine Produktbild und kann vom tatsächlichen Produkt abweichen</p><br><p>Sollten Sie sich mit der Kompatibilität des Produktes nicht sicher sein, zögern Sie bitte nicht uns per E-Mail oder Telefon zu kontaktieren</p>;;;;;;;;;;;;;;;;;;;;;;;;
81503;1;Arai Pinlock Klar Chaser Viper Astro;;;;;;;;;;ARA5001151;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;Arai Pinlock, ein muss für den Helm mit Visier. Kein anlaufen des Visiers mehr, 100% UV Schutz, wechselbar und einfach zu putzen.;;;;;;;;;;;;;;;;;;;;;;;;
81504;1;Arai Pinlock Sun Reactive Chaser-Viper-Corsair;;;;;;;;;;ARA5001152;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;Arai Pinlock, ein muss für den Helm mit Visier. Kein anlaufen des Visiers mehr, 100% UV Schutz, wechselbar und einfach zu putzen.;;;;;;;;;;;;;;;;;;;;;;;;
81505;1;Arai Pro Shade System;;;;;;;;;;ARA5001153;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;"<ul><li>Komplettpaket aus Sonnenschirm, Max Vision-Visier inklusive Pinlock-Antibeschlaglinse</li><li>Allwetter-Ausstattung gegen blendendes Sonnenlicht und Beschlagen</li><li>Zusatzvisier auf der Außenseite</li><li>Passt für folgende Arai Modelle: RX-7 GP, Quantum, Quantum-ST, Chaser-V, Axces II; Rebel</li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
81506;1;Arai Pinlock Sun Reactive Rx-7 Gp Quantum;;;;;;;;;;ARA5001154;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;Arai Pinlock, ein muss für den Helm mit Visier. Kein anlaufen des Visiers mehr, 100% UV Schutz, wechselbar und einfach zu putzen.;;;;;;;;;;;;;;;;;;;;;;;;
81507;1;Arai Pinlock Klar Tour-X3;;;;;;;;;;ARA5001155;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;Arai Pinlock, ein muss für den Helm mit Visier. Kein anlaufen des Visiers mehr, 100% UV Schutz, wechselbar und einfach zu putzen.;;;;;;;;;;;;;;;;;;;;;;;;
81508;0;Arai Insert Max Vision Gelb;;;;;;;;;;ARA5001156;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;0;;;;;;;;;;;;;;;;;;;;;;;;
81509;0;Arai Max Vision Sai / Bv W/Insert Klar;;;;;;;;;;ARA5001157;;;;;;;;;;;;;;;;;Arai Helmzubehör als Ersatzteil oder Zusatz;0;;;;;;;;;;;;;;;;;;;;;;;;
