ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81800;;Ixon Jacke HACKER GAME - Schwarz/Weiss;;;;;;;;;;RPGIXBA081011;;;;;;;;;;;;;;;;;"In der Reihe Textilejacken für Herren, bietet Ihnen Ixon die ""Hacker Game"" eine vielseitige Sommerjacke";<ul><li>Atmungsaktives Textilmaterial</li><li>Standardkragen mit Verstärkung aus weichem Textilmaterial</li><li>Verstellbare Bündchen mit Seitenfalten</li><li>Weitenregulierung an Unterarmen, Ellbogen und Taille durch Druckknöpfe</li><li>2 seitliche Außentaschen mit Reissverschluss</li><li>2 Innentaschen</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81801;;Ixon Jacke HACKER GAME - Cafe;;;;;;;;;;RPGIXBA096031;;;;;;;;;;;;;;;;;"In der Reihe Textilejacken für Herren, bietet Ihnen Ixon die ""Hacker Game"" eine vielseitige Sommerjacke";<ul><li>Atmungsaktives Textilmaterial</li><li>Standardkragen mit Verstärkung aus weichem Textilmaterial</li><li>Verstellbare Bündchen mit Seitenfalten</li><li>Weitenregulierung an Unterarmen, Ellbogen und Taille durch Druckknöpfe</li><li>2 seitliche Außentaschen mit Reissverschluss</li><li>2 Innentaschen</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81802;;Ixon Jacke FLORA - Schwarz/Silber;;;;;;;;;;RPGIXBA101121;;;;;;;;;;;;;;;;;Gut belüftete Sommer Damen Jacke mit praktischem wasserdichten Einsatz der unter oder über der Jacke getragen werden kann.;<ul><li>Material</li><li>Atmungsaktives Textilmaterial an Brust, Rücken und Ärmel</li><li>Wird zusammen mit der Regenjacke ausgeliefert</li></ul><p><strong>Komfort</strong></p><ul><li>Standardkragen</li><li>Weitenregulierung mit Klett an Kragen</li><li>Weitenregulierung mit Klett an den Handgelenken</li><li>Weitenregulierung an den Hüften durch Klett</li><li>Klappe unter Reissverscluss an der Vorseite</li></ul><p><strong>Eigenschaften</strong></p><ul><li>2 Ausentaschen</li><li>1 Mobiltelefon Tasche</li><li>1 Innentasche</li><li>Verbindung mit Schlaufe und Druckknopf</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81803;;Ixon Jacke OXYGEN HP - Schwarz/Weiss;;;;;;;;;;RPGIXBA131153;;;;;;;;;;;;;;;;;"Allwetter-Motorradjacke, die ""Oxygen HP"" ist ausgestattet mit einem wasserabweissenden und abnehmbaren Winterfutter. Für alle die die Jacke nicht aufgrund von Wetter wechseln möchsten.";<ul><li>Belüftung über Mesh-Einsätze im Rückenbereich</li><li>komplettes herausnehmbares Winterfutter</li><li>atmungsaktiv und wasserdicht</li><li>Ellbogen- und Schulterprotektoren + Rückenprotektor</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81804;;Ixon Jacke OXYGEN HP - Schwarz/Weiss/Grün;;;;;;;;;;RPGIXBA131281;;;;;;;;;;;;;;;;;"Allwetter-Motorradjacke, die ""Oxygen HP"" ist ausgestattet mit einem wasserabweissenden und abnehmbaren Winterfutter. Für alle die die Jacke nicht aufgrund von Wetter wechseln möchsten.";<ul><li>Belüftung über Mesh-Einsätze im Rückenbereich</li><li>komplettes herausnehmbares Winterfutter</li><li>atmungsaktiv und wasserdicht</li><li>Ellbogen- und Schulterprotektoren + Rückenprotektor</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81805;;Ixon Jacke PITRACE - Schwarz/Weiss/Gelb;;;;;;;;;;RPGIXBA141082;;;;;;;;;;;;;;;;;2 in 1 Sportjacke für Herren, gut belüftet durch Mesheinsätze, wasserdicht und windschutz danke abnehmbarem Innenfutter. Verfügt über CE-zertifizierte Ellbogen- und Schulterprotektoren.;<ul><li>Atmungsaktives Textilmaterial an Brust, Rücken und Ärmel</li><li>Wasserdicht, atmungsaktiv und winddicht mit herausnehmbaren Einsätzen</li><li>Tasche am Rücken für den Einsatz</li><li>Reflektierende Verzierungen an Ärmel, Schulter und Rücken</li><li>Racing Kragen</li><li>Weitenregulierung durch Druckknöpfe an den Handgelenken</li><li>Verstellbar an den Ärmeln mit Druckknöpfen</li><li>Weitenregulierung durch Druckknöpfe an den Hüften</li><li>2 Außentaschen</li><li>1 wasserdichte Tasche</li><li>2 Innentaschen</li><li>Reissverschlussverbindung am Rücken</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81806;;Ixon Jacke PITRACE - Schwarz/Weiss;;;;;;;;;;RPGIXBA141151;;;;;;;;;;;;;;;;;2 in 1 Sportjacke für Herren, gut belüftet durch Mesheinsätze, wasserdicht und windschutz danke abnehmbarem Innenfutter. Verfügt über CE-zertifizierte Ellbogen- und Schulterprotektoren.;<ul><li>Atmungsaktives Textilmaterial an Brust, Rücken und Ärmel</li><li>Wasserdicht, atmungsaktiv und winddicht mit herausnehmbaren Einsätzen</li><li>Tasche am Rücken für den Einsatz</li><li>Reflektierende Verzierungen an Ärmel, Schulter und Rücken</li><li>Racing Kragen</li><li>Weitenregulierung durch Druckknöpfe an den Handgelenken</li><li>Verstellbar an den Ärmeln mit Druckknöpfen</li><li>Weitenregulierung durch Druckknöpfe an den Hüften</li><li>2 Außentaschen</li><li>1 wasserdichte Tasche</li><li>2 Innentaschen</li><li>Reissverschlussverbindung am Rücken</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81807;;Ixon Jacke PITRACE - Schwarz/Weiss/Rot;;;;;;;;;;RPGIXBA141251;;;;;;;;;;;;;;;;;2 in 1 Sportjacke für Herren, gut belüftet durch Mesheinsätze, wasserdicht und windschutz danke abnehmbarem Innenfutter. Verfügt über CE-zertifizierte Ellbogen- und Schulterprotektoren.;<ul><li>Atmungsaktives Textilmaterial an Brust, Rücken und Ärmel</li><li>Wasserdicht, atmungsaktiv und winddicht mit herausnehmbaren Einsätzen</li><li>Tasche am Rücken für den Einsatz</li><li>Reflektierende Verzierungen an Ärmel, Schulter und Rücken</li><li>Racing Kragen</li><li>Weitenregulierung durch Druckknöpfe an den Handgelenken</li><li>Verstellbar an den Ärmeln mit Druckknöpfen</li><li>Weitenregulierung durch Druckknöpfe an den Hüften</li><li>2 Außentaschen</li><li>1 wasserdichte Tasche</li><li>2 Innentaschen</li><li>Reissverschlussverbindung am Rücken</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81808;;Ixon Jacke COOLER - Schwarz;;;;;;;;;;RPGIXBA151011;;;;;;;;;;;;;;;;;Diese Jacke für Männer mit einem technischen Look ist sehr erschwinglich und in mehreren nüchtern Sommerfarben erhältlich. Perfekt für Sommerfahrten mit belüfteten Schichten, passend mit der Cooler Hose macht Sie kann Sie auch als eleganten Anzug getragen werden.;<ul><li>Mesh-Einsätze an Brust, Rücken und Ärmel</li><li>Reflektierende Elemente an den Ärmeln</li><li>Standardkragen</li><li>Nackenabdeckung mit Neopren</li><li>Weitenregulierung durch Druckknöpfe an den Handgelenken</li><li>Verstellbar an den Ärmeln mit Druckknöpfen</li><li>Weitenregulierung durch Druckknöpfe an den Hüften</li><li>2 Außentaschen</li><li>3 Innentaschen</li><li>Verbindung mit Schlaufe und Druckknopf</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
81809;;Ixon Jacke COOLER - Schwarz/Weiss/Gelb;;;;;;;;;;RPGIXBA151081;;;;;;;;;;;;;;;;;Diese Jacke für Männer mit einem technischen Look ist sehr erschwinglich und in mehreren nüchtern Sommerfarben erhältlich. Perfekt für Sommerfahrten mit belüfteten Schichten, passend mit der Cooler Hose macht Sie kann Sie auch als eleganten Anzug getragen werden.;<ul><li>Mesh-Einsätze an Brust, Rücken und Ärmel</li><li>Reflektierende Elemente an den Ärmeln</li><li>Standardkragen</li><li>Nackenabdeckung mit Neopren</li><li>Weitenregulierung durch Druckknöpfe an den Handgelenken</li><li>Verstellbar an den Ärmeln mit Druckknöpfen</li><li>Weitenregulierung durch Druckknöpfe an den Hüften</li><li>2 Außentaschen</li><li>3 Innentaschen</li><li>Verbindung mit Schlaufe und Druckknopf</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
