Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
81003;;Taille:select:0;S:4;RPGASAC1510202;RPGASAC1510202;;;;;;7;;;;;;;;;;;
81003;;Taille:select:0;M:6;RPGASAC1510203;RPGASAC1510203;;;;;;18;;;;;;;;;;;
81003;;Taille:select:0;L:9;RPGASAC1510204;RPGASAC1510204;;;;;;16;;;;;;;;;;;
81003;;Taille:select:0;XL:12;RPGASAC1510205;RPGASAC1510205;;;;;;23;;;;;;;;;;;
81005;;Taille:select:0;S:4;RPGASAC1510402;RPGASAC1510402;;;;;;47;;;;;;;;;;;
81005;;Taille:select:0;M:6;RPGASAC1510403;RPGASAC1510403;;;;;;50;;;;;;;;;;;
81005;;Taille:select:0;30:15;RPGASAC1510430;RPGASAC1510430;;;;;;8;;;;;;;;;;;
81005;;Taille:select:0;32:16;RPGASAC1510432;RPGASAC1510432;;;;;;10;;;;;;;;;;;
81005;;Taille:select:0;34:17;RPGASAC1510434;RPGASAC1510434;;;;;;9;;;;;;;;;;;
81005;;Taille:select:0;36:18;RPGASAC1510436;RPGASAC1510436;;;;;;3;;;;;;;;;;;
81005;;Taille:select:0;38:20;RPGASAC1510438;RPGASAC1510438;;;;;;4;;;;;;;;;;;
81005;;Taille:select:0;40:22;RPGASAC1510440;RPGASAC1510440;;;;;;0;;;;;;;;;;;
81007;;Taille:select:0;30:15;RPGASAC1520130;RPGASAC1520130;;;;;;0;;;;;;;;;;;
81007;;Taille:select:0;32:16;RPGASAC1520132;RPGASAC1520132;;;;;;11;;;;;;;;;;;
81007;;Taille:select:0;34:17;RPGASAC1520134;RPGASAC1520134;;;;;;7;;;;;;;;;;;
81007;;Taille:select:0;36:18;RPGASAC1520136;RPGASAC1520136;;;;;;4;;;;;;;;;;;
81007;;Taille:select:0;38:20;RPGASAC1520138;RPGASAC1520138;;;;;;0;;;;;;;;;;;
81007;;Taille:select:0;40:22;RPGASAC1520140;RPGASAC1520140;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;42:25;RPGASAC15472142;RPGASAC15472142;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;43:26;RPGASAC15472143;RPGASAC15472143;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;44:27;RPGASAC15472144;RPGASAC15472144;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;45:29;RPGASAC15472145;RPGASAC15472145;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;46:31;RPGASAC15472146;RPGASAC15472146;;;;;;0;;;;;;;;;;;
81011;;Taille:select:0;47:32;RPGASAC15472147;RPGASAC15472147;;;;;;0;;;;;;;;;;;
81012;;Taille:select:0;XS:2;RPGASBA1412201;RPGASBA1412201;;;;;;3;;;;;;;;;;;
81012;;Taille:select:0;S:4;RPGASBA1412202;RPGASBA1412202;;;;;;6;;;;;;;;;;;
81012;;Taille:select:0;M:6;RPGASBA1412203;RPGASBA1412203;;;;;;6;;;;;;;;;;;
81012;;Taille:select:0;L:9;RPGASBA1412204;RPGASBA1412204;;;;;;5;;;;;;;;;;;
81012;;Taille:select:0;XL:12;RPGASBA1412205;RPGASBA1412205;;;;;;6;;;;;;;;;;;
81012;;Taille:select:0;XXL:11;RPGASBA1412206;RPGASBA1412206;;;;;;3;;;;;;;;;;;
