ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
82900;;Oel Kart Grand Prix 2-Takt 1 Liter;;;;;;;;;;;;;;;;;;;;;;;;;;;Vollsynthetisches 2-Takt-Hochleistungsmotorenöl auf Ester-Basis. Speziell entwickelt für den Kart-Rennsport.;Vollsynthetisches 2-Takt-Hochleistungsmotorenöl auf Ester-Basis. Speziell entwickelt für den Kart-Rennsport. Bestens geeignet für Rennsportmotoren, die in hohen Drehzahlen laufen. Für z.B. Rotax, ATK, Aprilia, PCR, Yamaha, Ital System, TM. Standards: API TC;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82901;;Kardan-und Getriebeöl Gear 300 SAE 75W90 1L;;;;;;;;;;;;;;;;;;;;;;;;;;;Vollsynthetisches Leichtlaufgetriebeöl für extrem beanspruchte Schaltgetriebe und Hinterachsen. Die Leichtlaufviskosität ermöglicht komfortables Schalten auch bei niedrigen Temperaturen.;Vollsynthetisches Leichtlaufgetriebeöl für extrem beanspruchte Schaltgetriebe. Die Leichtlaufviskosität ermöglicht komfortables Schalten auch bei niedrigen Temperaturen. Spezifikationen: API GL 4 und 5, MIL-L-2105D;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82902;;DEXRON IID 1L;;;;;;;;;;;;;;;;;;;;;;;;;;;Hydraulikfüssigkeit auf Mineralölbasis, entwickelt für automatische Getriebe und Servolenkungen.;Hydraulikfüssigkeit auf Mineralölbasis, entwickelt für automatische Getriebe und Servolenkungen. Kann in allen Systemen eingesetzt werden, für die DEXRON, DEXRON B und DEXRON IID vorgeschrieben wird. Freigaben: Freigaben: MAN 339D / MB 236.7 / VOITH 55.6335.32 (G607) / ZF TE ML-03D / 04D / 11A / 14A / 17C Spezifikationen: GM DEXRON IID / ALLISON C-4 / CATERPILLAR TO-4;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82903;;Getriebeöl Transoil SAE 10W30 1L;;;;;;;;;;;;;;;;;;;;;;;;;;;Spezialmehrbereichsgetriebeöl auf Mineralölbasis für 2-Takt- Maschinen mit separater Getriebeschmierung und Nasskupplung. Es entspricht der Yamaha-Empfehlung für diese Getriebe.;Spezialmehrbereichsgetriebeöl auf Mineralölbasis für 2-Takt-Maschinen mit separater Getriebeschmierung und Nasskupplung. Es entspricht der Yamaha-Empfehlung für diese Getriebe. Spezifikationen: API GL4.;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82904;;Tech Grease 300 Fett 200gr.;;;;;;;;;;;;;;;;;;;;;;;;;;;Synthetisches Mehrzweckfett auf Lithiumbasis für sehr hohe Drücke. Anwendungsbereiche an allen Fahrzeugen, bei denen NLGI 2 empfohlen wird. Tropfpunkt 260°C.;Synthetisches Mehrzweckfett auf Lithiumbasis für sehr hohe Drücke. Anwendungsbereiche an allen Fahrzeugen, bei denen NLGI 2 empfohlen wird. Tropfpunkt 260°C.;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82905;;Top Grease 200 NLGI 2 400gr.;;;;;;;;;;;;;;;;;;;;;;;;;;;Mehrzeckfett auf Lithiumbasis für Anwendungsbereiche an allen Fahrzeugen, bei denen NLGI 2 empfohlen wird. Tropfpunkt: 190° C.;Mehrzweckfett auf Lithiumbasis für Anwendungsbereiche an allen Fahrzeugen, bei denen NLGI 2 empfohlen wird. Tropfpunkt: 190° C. Anwendungstemperaturen : -20° C / -4° F to +130° C / +266° F. In 400g Kartuschen und Dosen.;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82906;;Grease 100 400 Gramm;;;;;;;;;;;;;;;;;;;;;;;;;;;Synthetisches Mehrzweckfett für Anwendungsbereiche an allen Fahrzeugen mit Empfehlung. ;NLGI: 2. Tropfpunkt: 260°C Universales Fett für alle Bereiche am Fahrzeug. Aufgrund seiner Eigenschaften hervorragend geeignet für Lenkungslager.;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82907;;Bremsflüssigkeit RBF 600 Factory line  500ml;;;;;;;;;;;;;;;;;;;;;;;;;;;Vollsynthetische Bremsflüssigkeit auf Polyglykolbasis. Geeignet für alle Bremssysteme (Stahl-, Keramik- oder Carbon-Bremsscheiben), die es derzeit im Rennsport gibt.;"Vollsynthetische Bremsflüssigkeit auf Polyglykolbasis. Geeignet für alle Bremssysteme (Stahl-, Keramik- oder Carbon-Bremsscheiben), die es derzeit im Rennsport gibt. Übertrifft herkömmliche Bremsflüssigkeiten), auf Polyglykolbasis (DOT3, DOT4, DOT5.1) bzw. Silikonbasis (DOT5). Trockensiedepunkt 312°C; Nasssiedepunkt 205 °C Spezifikationen: FMVSS 116 DOT 4, SAE J1703 + J1704; ISO 4925";;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82908;;Bremsflüssigkeit DOT 5.1  500ml;;;;;;;;;;;;;;;;;;;;;;;;;;;Vollsynthetische Bremsflüssigkeit auf Polyglykolbasis  für Scheiben und Trommelbremssysteme.;Vollsynthetische Bremsflüssigkeit auf Polyglykolbasis für Scheiben und Trommelbremssysteme. Speziell für Fahrzeuge mit ABS. Standards: DOT 3, DOT 4, DOT 5.1, SAE J 1703, ISO 4925<br>;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
82909;;Getriebeöl Transoil Expert SAE 10W40 1L;;;;;;;;;;;;;;;;;;;;;;;;;;;Spezialmehrbereichsgetriebeöl auf Basis Technosynthese. Dieses Getriebeöl ist Ester-verstärkt und wurde speziell für 2-Takt Motoren mit separater Getriebeschmierung und Nasskupplung entwickelt.;Spezialmehrbereichsgetriebeöl auf Basis Technosynthese®. Dieses Getriebeöl ist Ester-verstärkt und wurde speziell für 2-Takt Motoren mit separater Getriebeschmierung und Nasskupplung entwickelt. Spezifikationen: API GL4;;;;;;Auf Lager;Verfügbarkeit: Lieferfrist auf Anfrage;;;;;;;;;;;;;;;;;
