Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
82902;;Taille:select:0;2 L:5;EM-650001838;EM-650001838;;;;;;1;;;;;;;;;;;
82902;;Taille:select:0;1 L:4;EM-650003405;EM-650003405;;;;;;1;;;;;;;;;;;
82906;;Taille:select:0;4.5 KG:3;EM-650010090;EM-650010090;;;;;;1;;;;;;;;;;;
82906;;Taille:select:0;400 g:1;EM-650004853;EM-650004853;;;;;;0;;;;;;;;;;;
82908;;Taille:select:0;500 ml:3;EM-650005041;EM-650005041;;;;;;1;;;;;;;;;;;
82908;;Taille:select:0;5 L:7;EM-650005058;EM-650005058;;;;;;1;;;;;;;;;;;
82911;;Taille:select:0;100 ml:1;EM-650005195;EM-650005195;;;;;;1;;;;;;;;;;;
82911;;Taille:select:0;400 ml:2;EM-650005218;EM-650005218;;;;;;1;;;;;;;;;;;
82912;;Taille:select:0;1 L:4;EM-650005447;EM-650005447;;;;;;1;;;;;;;;;;;
82912;;Taille:select:0;20 L:8;EM-650005454;EM-650005454;;;;;;1;;;;;;;;;;;
82914;;Taille:select:0;1 L:4;EM-650005577;EM-650005577;;;;;;1;;;;;;;;;;;
82914;;Taille:select:0;4 L:6;EM-650005584;EM-650005584;;;;;;1;;;;;;;;;;;
82931;;Taille:select:0;1 Kg:2;EM-650010038;EM-650010038;;;;;;1;;;;;;;;;;;
82931;;Taille:select:0;4.5 KG:3;EM-650010045;EM-650010045;;;;;;1;;;;;;;;;;;
82939;;Taille:select:0;1 L:4;EM-650013985;EM-650013985;;;;;;1;;;;;;;;;;;
82939;;Taille:select:0;4 L:6;EM-650013992;EM-650013992;;;;;;1;;;;;;;;;;;
82940;;Taille:select:0;1 L:4;EM-650014050;EM-650014050;;;;;;1;;;;;;;;;;;
82940;;Taille:select:0;4 L:6;EM-650014081;EM-650014081;;;;;;1;;;;;;;;;;;
82950;;Taille:select:0;1 L:4;EM-650017563;EM-650017563;;;;;;1;;;;;;;;;;;
82950;;Taille:select:0;4 L:6;EM-650017570;EM-650017570;;;;;;0;;;;;;;;;;;
82951;;Taille:select:0;4 L:6;EM-650017617;EM-650017617;;;;;;1;;;;;;;;;;;
82951;;Taille:select:0;25 L:9;EM-650017631;EM-650017631;;;;;;0;;;;;;;;;;;
82955;;Taille:select:0;1 L:4;EM-650018157;EM-650018157;;;;;;0;;;;;;;;;;;
82955;;Taille:select:0;4 L:6;EM-650018171;EM-650018171;;;;;;0;;;;;;;;;;;
82958;;Taille:select:0;1 L:4;EM-650018270;EM-650018270;;;;;;1;;;;;;;;;;;
82958;;Taille:select:0;4 L:6;EM-650018287;EM-650018287;;;;;;0;;;;;;;;;;;
82968;;Taille:select:0;500 ml:3;EM-650237312;EM-650237312;;;;;;1;;;;;;;;;;;
82968;;Taille:select:0;5 L:7;EM-650237329;EM-650237329;;;;;;1;;;;;;;;;;;
82999;;Taille:select:0;4 L:6;EM-650246789;EM-650246789;;;;;;1;;;;;;;;;;;
82999;;Taille:select:0;1 L:4;EM-650246772;EM-650246772;;;;;;1;;;;;;;;;;;
83010;;Taille:select:0;4 L:6;EM-650247311;EM-650247311;;;;;;1;;;;;;;;;;;
83010;;Taille:select:0;1 L:4;EM-650247304;EM-650247304;;;;;;1;;;;;;;;;;;
83017;;Taille:select:0;20 L:8;EM-650247694;EM-650247694;;;;;;1;;;;;;;;;;;
83017;;Taille:select:0;1 L:4;EM-650247632;EM-650247632;;;;;;1;;;;;;;;;;;
83018;;Taille:select:0;1 L:4;EM-650247724;EM-650247724;;;;;;1;;;;;;;;;;;
83018;;Taille:select:0;4 L:6;EM-650247731;EM-650247731;;;;;;1;;;;;;;;;;;
83019;;Taille:select:0;4 L:6;EM-650247762;EM-650247762;;;;;;1;;;;;;;;;;;
83019;;Taille:select:0;1 L:4;EM-650247755;EM-650247755;;;;;;1;;;;;;;;;;;
83022;;Taille:select:0;1 L:4;EM-650255484;EM-650255484;;;;;;1;;;;;;;;;;;
83022;;Taille:select:0;4 L:6;EM-650255491;EM-650255491;;;;;;1;;;;;;;;;;;
83023;;Taille:select:0;4 L:6;EM-650255514;EM-650255514;;;;;;1;;;;;;;;;;;
83023;;Taille:select:0;1 L:4;EM-650255507;EM-650255507;;;;;;1;;;;;;;;;;;
83039;;Taille:select:0;2XL:5;EM-650900210;EM-650900210;;;;;;1;;;;;;;;;;;
83039;;Taille:select:0;L:3;EM-650900208;EM-650900208;;;;;;1;;;;;;;;;;;
83039;;Taille:select:0;M:2;EM-650900207;EM-650900207;;;;;;1;;;;;;;;;;;
83039;;Taille:select:0;S:1;EM-650900206;EM-650900206;;;;;;1;;;;;;;;;;;
83039;;Taille:select:0;XL:4;EM-650900209;EM-650900209;;;;;;1;;;;;;;;;;;
83040;;Taille:select:0;2XL:5;EM-650900205;EM-650900205;;;;;;0;;;;;;;;;;;
83040;;Taille:select:0;L:3;EM-650900203;EM-650900203;;;;;;0;;;;;;;;;;;
83040;;Taille:select:0;M:2;EM-650900202;EM-650900202;;;;;;1;;;;;;;;;;;
83040;;Taille:select:0;S:1;EM-650900201;EM-650900201;;;;;;1;;;;;;;;;;;
83040;;Taille:select:0;XL:4;EM-650900204;EM-650900204;;;;;;0;;;;;;;;;;;
83041;;Taille:select:0;2XL:5;EM-650900215;EM-650900215;;;;;;1;;;;;;;;;;;
83041;;Taille:select:0;3XL:6;EM-650900216;EM-650900216;;;;;;1;;;;;;;;;;;
83041;;Taille:select:0;L:3;EM-650900213;EM-650900213;;;;;;1;;;;;;;;;;;
83041;;Taille:select:0;M:2;EM-650900212;EM-650900212;;;;;;1;;;;;;;;;;;
83041;;Taille:select:0;S:1;EM-650900211;EM-650900211;;;;;;1;;;;;;;;;;;
83041;;Taille:select:0;XL:4;EM-650900214;EM-650900214;;;;;;1;;;;;;;;;;;
83042;;Taille:select:0;2XL:5;EM-650900323;EM-650900323;;;;;;1;;;;;;;;;;;
83042;;Taille:select:0;3XL:6;EM-650900324;EM-650900324;;;;;;0;;;;;;;;;;;
83042;;Taille:select:0;L:3;EM-650900321;EM-650900321;;;;;;1;;;;;;;;;;;
83042;;Taille:select:0;M:2;EM-650900320;EM-650900320;;;;;;1;;;;;;;;;;;
83042;;Taille:select:0;S:1;EM-650900319;EM-650900319;;;;;;1;;;;;;;;;;;
83042;;Taille:select:0;XL:4;EM-650900322;EM-650900322;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;40:1;EM-650900345;EM-650900345;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;42:2;EM-650900346;EM-650900346;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;44:3;EM-650900347;EM-650900347;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;46:4;EM-650900348;EM-650900348;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;48:5;EM-650900349;EM-650900349;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;50:6;EM-650900350;EM-650900350;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;52:7;EM-650900351;EM-650900351;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;54:8;EM-650900352;EM-650900352;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;56:9;EM-650900353;EM-650900353;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;58:10;EM-650900354;EM-650900354;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;60:11;EM-650900355;EM-650900355;;;;;;1;;;;;;;;;;;
83049;;Taille:select:0;62:12;EM-650900356;EM-650900356;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;64:13;EM-650900357;EM-650900357;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;66:14;EM-650900358;EM-650900358;;;;;;0;;;;;;;;;;;
83049;;Taille:select:0;68:15;EM-650900359;EM-650900359;;;;;;0;;;;;;;;;;;
83050;;Taille:select:0;44:3;EM-650900360;EM-650900360;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;46:4;EM-650900361;EM-650900361;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;48:5;EM-650900362;EM-650900362;;;;;;0;;;;;;;;;;;
83050;;Taille:select:0;50:6;EM-650900363;EM-650900363;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;52:7;EM-650900364;EM-650900364;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;54:8;EM-650900365;EM-650900365;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;56:9;EM-650900366;EM-650900366;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;58:10;EM-650900367;EM-650900367;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;60:11;EM-650900368;EM-650900368;;;;;;1;;;;;;;;;;;
83050;;Taille:select:0;62:12;EM-650900369;EM-650900369;;;;;;0;;;;;;;;;;;
83051;;Taille:select:0;48:5;EM-650900370;EM-650900370;;;;;;1;;;;;;;;;;;
