ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83100;;Shoei Helm X-SPIRIT II Martyr TC-5 schwarz-weiss-rot;;;;;;;;;;Z10004-312;;;;;;;;;;;;;;;;;Rennsporthelm mit fantastischer Aerodynamik inkl. Pinlock;Rennsporthelm mit fantastischer Aerodynamik inkl. Pinlock<H4><BR><BR><B>SICHERHEIT</B><BR><BR></H4><H4>Helmschale aus AIM +</H4><UL><LI>«Organic Fiber», «Multifiber» und «High Performance Organic Fiber» in verschiedenen Schichten für eine stossabsorbierende Schale mit optimaler Steifigkeit</LI></UL><H4><B>Mehrteiliges, modulares Styroporkernsystem</B></H4><UL><LI>Schutzoptimierung durch Styroporkernelemente mit unterschiedlichen Dämpfungsgraden</LI></UL><H4><B>Beschlaghemmendes CW-1-Pinlock-Visier</B></H4><UL><LI>Dank der Q.R.S.A. (Quick Release Self Adjusting) Technologie liegt das Visier immer perfekt an der Dichtung an</LI><LI>Schnell und einfach wechselbar</LI></UL><H4><B>Doppel-D-Verschluss</B></H4><UL><LI>Einfache Handhabung, immer perfekt justiert</LI></UL><H4><B>Sicherheits System</B></H4><UL><LI>E.Q.R.S. (Emergency Quick Release System) vereinfacht die Helmabnahme im Falle eines Falles</LI></UL><H4><BR><BR><B>TRAGEKOMFORT</B><BR><BR></H4><H4><B>Grösse 2XS-2XL</B></H4><H4><B>4 verschieden grosse Helm-Aussenschalen</B></H4><UL><LI>Für optimale Passform und kompakteste Grösse, Schalengrössen: 1) XXS-S,f) M, 3) L, 4) XL-XXL</LI></UL><H4><B>3D-geformtes Centerpad, herausnehmbar, waschbar</B></H4><UL><LI>Für ein angenehmes Tragegefühl</LI></UL><H4><B>Wangenpolster herausnehmbar, waschbar</B></H4><UL><LI>Für leichtes Reinigen und individuelle Feinjustierung dank unterschiedlicher Polstergrössen</LI></UL><H4><B>Kinnriemenabdeckung herausnehmbar, waschbar</B></H4><UL><LI>Zur besseren Pflege</LI></UL><H4><BR><BR><B>BELÜFTUNG</B><BR><BR></H4><H4><B>Mehrfache Be- und entlüftung</B></H4><UL><LI>Für optimale Ventilation</LI></UL><H4><B>Einlässe an Stirn und Kinn</B></H4><UL><LI>Zur Frischluftzufuhr</LI></UL><H4><B>Acht Auslässe an der Seite, im Oberkopf, am Hinterkopf sowie im Nacken</B></H4><UL><LI>Zur Ableitung der warmen, verbrauchten Luft</LI><LI>Beugt Ermüdungszuständen vor</LI></UL><H4><BR><BR><B>AERODYNAMIK</B><BR><BR></H4><H4><B>Aero Edge Spoiler 2</B></H4><UL><LI>Kontrollierter Luftstrom um den kompletten Helm</LI></UL><H4><B>Von der Ventilation getrennter Spoiler</B></H4><UL><LI>Für optimale aerodynamische Performance</LI></UL>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83101;;Shoei Helm X-Spirit II Marquez Motmelo TC-2 blau-schwarz-weiss;;;;;;;;;;Z10009-431;;;;;;;;;;;;;;;;;Rennsporthelm mit fantastischer Aerodynamik inkl. Pinlock;"Rennsporthelm mit fantastischer Aerodynamik inkl. Pinlock<b><br><br>SICHERHEIT</b><br><br><h4>Helmschale aus AIM +</h4><ul><li>Organic
 Fiber, Multifiber und High Performance Organic Fiber in 
verschiedenen Schichten für eine stossabsorbierende Schale mit optimaler
 Steifigkeit</li></ul><h4><b>Mehrteiliges, modulares Styroporkernsystem</b></h4><ul><li>Schutzoptimierung durch Styroporkernelemente mit unterschiedlichen Dämpfungsgraden</li></ul><h4><b>Beschlaghemmendes CW-1-Pinlock-Visier</b></h4><ul><li>Dank der Q.R.S.A. (Quick Release Self Adjusting) Technologie liegt das Visier immer perfekt an der Dichtung an</li><li>Schnell und einfach wechselbar</li></ul><h4><b>Doppel-D-Verschluss</b></h4><ul><li>Einfache Handhabung, immer perfekt justiert</li></ul><h4><b>Sicherheits System</b></h4><ul><li>E.Q.R.S. (Emergency Quick Release System) vereinfacht die Helmabnahme im Falle eines Unfalles<br></li></ul><h4><br><b>TRAGEKOMFORT</b><br><br></h4><h4><b>4 verschieden grosse Helm-Aussenschalen</b></h4><ul><li>Für optimale Passform und kompakteste Grösse, Schalengrössen 1: XXS-S, 2: M, 3: L, 4: XL-XXL</li></ul><h4><b>3D-geformtes Centerpad, herausnehmbar, waschbar</b></h4><ul><li>Für ein angenehmes Tragegefühl</li></ul><h4><b>Wangenpolster herausnehmbar, waschbar</b></h4><ul><li>Für leichtes Reinigen und individuelle Feinjustierung dank unterschiedlicher Polstergrössen</li></ul><h4><b>Kinnriemenabdeckung herausnehmbar, waschbar</b></h4><ul><li>Zur besseren Pflege<br></li></ul><h4><br><b>BELÜFTUNG</b><br><br></h4><h4><b>Mehrfache Be- und Entlüftung</b></h4><ul><li>Für optimale Ventilation</li></ul><h4><b>Einlässe an Stirn und Kinn</b></h4><ul><li>Zur Frischluftzufuhr</li></ul><h4><b>Acht Auslässe an der Seite, im Oberkopf, am Hinterkopf sowie im Nacken</b></h4><ul><li>Zur Ableitung der warmen, verbrauchten Luft</li><li>Beugt Ermüdungszuständen vor<br></li></ul><h4><br><b>AERODYNAMIK</b><br><br></h4><h4><b>Aero Edge Spoiler 2</b></h4><ul><li>Kontrollierter Luftstrom um den kompletten Helm</li></ul><h4><b>Von der Ventilation getrennter Spoiler</b></h4><ul><li>Für optimale aerodynamische Performance</li></ul><br><b>Grössen 2XS - 2XL</b>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83102;;Shoei Helm X-Spirit III uni weiss;;;;;;;;;;Z10011-001;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83103;;Shoei Helm X-Spirit III uni schwarz;;;;;;;;;;Z10011-003;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83104;;Shoei Helm X-Spirit III uni schwarz matt;;;;;;;;;;Z10011-M33;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83105;;Shoei Helm X-Spirit III Assail TC-2 weiss-blau-rot;;;;;;;;;;Z10012-142;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83106;;Shoei Helm X-Spirit III Assail TC-1 schwarz-rot-weiss;;;;;;;;;;Z10012-321;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83107;;Shoei Helm X-Spirit III Marquez 4 schwarz-rot;;;;;;;;;;Z10013-231;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83108;;Shoei Helm X-Spirit III Marquez 4 schwarz-rot;;;;;;;;;;Z10013-313;;;;;;;;;;;;;;;;;Aerodynamischer Rennsporthelm aus Fiberglas;<ul><li>Styroporkern-Elemente mit unterschiedlichen Dämpfungsgraden</li><li>4 verschieden grosse Helm-Aussenschalen</li><li>E.Q.R.S. (Emergency Quick Release System)</li><li>Hochentwickeltes aerodynamisches System, reduziert unerwünschte Bewegungen des Helmes</li><li>3D-geformte Innenausstattung</li><li>Futter herausnehmbar & waschbar</li><li>Gewicht ca. 1260g, Prüfungen ECE22.05</li><li>Doppel-D Verschluss, immer perfekt justiert</li><li>Wangenpolster individuell anpassbar</li><li>Klares, kratzfestes Schnellwechselvisier</li><li>Inklusive Pinlock Antifog Scheibe</li></ul><b>Grössen XS - 2XL</b><br>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
83109;;Shoei Helm XR-1100 schwarz;;;;;;;;;;Z11004-003;;;;;;;;;;;;;;;;;Sportlicher Tourenhelm der neuesten Generation aus Fiberglas inkl. Pinlock;Sportlicher Tourenhelm der neuesten Generation aus Fiberglas inkl. Pinlock<h4><br><b>SICHERHEIT</b><br></h4><h4><b>Helmschale aus AIM +</b></h4><ul><li>Organic Fiber, Multifiber und High Performance Organic Fiber in verschiedenen Schichten für eine stossabsorbierende Schale mit optimaler Steifigkeit</li></ul><h4><b>Mehrteiliges, modulares Styroporkernsystem</b></h4><ul><li>Schutzoptimierung durch Styroporkernelemente mit unterschiedlichen Dämpfungsgraden</li></ul><h4><b>Beschlaghemmendes CW-1-Pinlock-Visier</b></h4><ul><li>Dank der Q.R.S.A. (Quick Release Self Adjusting) Technologie liegt das Visier immer perfekt an der Dichtung an</li><li>Schnell und einfach wechselbar</li></ul><h4><b>Doppel-D-Verschluss</b></h4><ul><li>Einfache Handhabung, immer perfekt justiert</li></ul><h4><br><b>TRAGEKOMFORT</b><br></h4><h4><b>5 verschieden grosse Helm-Aussenschale</b></h4><ul><li>Für optimale Passform und kompakteste Grösse, Schalengrössen: 1: XXS-S, 2: M, 3: L, 4: XL-XXL, 5: XXXL</li></ul><h4><b>3D-geformtes Centerpad, herausnehmbar, waschbar</b></h4><ul><li>Für ein angenehmes Tragegefühl</li></ul><h4><b>Wangenpolster herausnehmbar, waschbar</b></h4><ul><li>Für leichtes Reinigen und individuelle Feinjustierung dank unterschiedlicher Polstergrössen</li></ul><h4><b>Kinnriemenabdeckung herausnehmbar, waschbar</b></h4><ul><li>Zur besseren Pflege<br></li></ul><h4><br><b>BELÜFTUNG</b><br></h4><h4><b>Mehrfache Be- und Entlüftung</b></h4><ul><li>Für optimale Ventilation</li></ul><h4><b>Einlässe an Stirn und Kinn</b></h4><ul><li>Zur Frischluftzufuhr</li></ul><h4><b>Vier Auslässe am Hinterkopf sowie zwei im Nacken</b></h4><ul><li>Zur Ableitung der warmen, verbrauchten Luft<br></li></ul><h4><br><b>AERODYNAMIK</b><br></h4><h4><b>Tail Fin 3</b></h4><ul><li>Kontrolliert die Luftströmung</li><li>Entlastet den Nacken</li></ul><h4><b>Integrierter Spoiler</b></h4><ul><li>Für eine aerodanamisch optimierte Form</li></ul><h4><b>Grössen 2XS - 2XL</b></h4>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
