Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
83100;;Taille:select:0;2XL:8;Z10004-312-2XL;Z10004-312-2XL;;;;;;1;;;;;;;;;;;
83100;;Taille:select:0;XL:7;Z10004-312-XL;Z10004-312-XL;;;;;;1;;;;;;;;;;;
83100;;Taille:select:0;S:4;Z10004-312-S;Z10004-312-S;;;;;;1;;;;;;;;;;;
83100;;Taille:select:0;XS:3;Z10004-312-XS;Z10004-312-XS;;;;;;1;;;;;;;;;;;
83101;;Taille:select:0;S:4;Z10009-431-S;Z10009-431-S;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;L:6;Z10011-001-L;Z10011-001-L;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;XL:7;Z10011-001-XL;Z10011-001-XL;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;S:4;Z10011-001-S;Z10011-001-S;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;M:5;Z10011-001-M;Z10011-001-M;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;2XL:8;Z10011-001-2XL;Z10011-001-2XL;;;;;;1;;;;;;;;;;;
83102;;Taille:select:0;XS:3;Z10011-001-XS;Z10011-001-XS;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;M:5;Z10011-003-M;Z10011-003-M;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;2XL:8;Z10011-003-2XL;Z10011-003-2XL;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;S:4;Z10011-003-S;Z10011-003-S;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;XS:3;Z10011-003-XS;Z10011-003-XS;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;L:6;Z10011-003-L;Z10011-003-L;;;;;;1;;;;;;;;;;;
83103;;Taille:select:0;XL:7;Z10011-003-XL;Z10011-003-XL;;;;;;1;;;;;;;;;;;
83104;;Taille:select:0;XL:7;Z10011-M33-XL;Z10011-M33-XL;;;;;;0;;;;;;;;;;;
83104;;Taille:select:0;L:6;Z10011-M33-L;Z10011-M33-L;;;;;;0;;;;;;;;;;;
83104;;Taille:select:0;2XL:8;Z10011-M33-2XL;Z10011-M33-2XL;;;;;;0;;;;;;;;;;;
83104;;Taille:select:0;S:4;Z10011-M33-S;Z10011-M33-S;;;;;;1;;;;;;;;;;;
83104;;Taille:select:0;M:5;Z10011-M33-M;Z10011-M33-M;;;;;;1;;;;;;;;;;;
83104;;Taille:select:0;XS:3;Z10011-M33-XS;Z10011-M33-XS;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;M:5;Z10012-142-M;Z10012-142-M;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;2XL:8;Z10012-142-2XL;Z10012-142-2XL;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;S:4;Z10012-142-S;Z10012-142-S;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;L:6;Z10012-142-L;Z10012-142-L;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;XL:7;Z10012-142-XL;Z10012-142-XL;;;;;;1;;;;;;;;;;;
83105;;Taille:select:0;XS:3;Z10012-142-XS;Z10012-142-XS;;;;;;1;;;;;;;;;;;
83106;;Taille:select:0;L:6;Z10012-321-L;Z10012-321-L;;;;;;0;;;;;;;;;;;
83106;;Taille:select:0;M:5;Z10012-321-M;Z10012-321-M;;;;;;0;;;;;;;;;;;
83106;;Taille:select:0;XL:7;Z10012-321-XL;Z10012-321-XL;;;;;;1;;;;;;;;;;;
83106;;Taille:select:0;S:4;Z10012-321-S;Z10012-321-S;;;;;;0;;;;;;;;;;;
83106;;Taille:select:0;XS:3;Z10012-321-XS;Z10012-321-XS;;;;;;1;;;;;;;;;;;
83106;;Taille:select:0;2XL:8;Z10012-321-2XL;Z10012-321-2XL;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;2XL:8;Z10013-231-2XL;Z10013-231-2XL;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;XS:3;Z10013-231-XS;Z10013-231-XS;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;XL:7;Z10013-231-XL;Z10013-231-XL;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;M:5;Z10013-231-M;Z10013-231-M;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;S:4;Z10013-231-S;Z10013-231-S;;;;;;1;;;;;;;;;;;
83107;;Taille:select:0;L:6;Z10013-231-L;Z10013-231-L;;;;;;1;;;;;;;;;;;
83108;;Taille:select:0;L:6;Z10013-313-L;Z10013-313-L;;;;;;0;;;;;;;;;;;
83108;;Taille:select:0;M:5;Z10013-313-M;Z10013-313-M;;;;;;0;;;;;;;;;;;
83108;;Taille:select:0;2XL:8;Z10013-313-2XL;Z10013-313-2XL;;;;;;0;;;;;;;;;;;
83108;;Taille:select:0;S:4;Z10013-313-S;Z10013-313-S;;;;;;0;;;;;;;;;;;
83108;;Taille:select:0;XL:7;Z10013-313-XL;Z10013-313-XL;;;;;;0;;;;;;;;;;;
83108;;Taille:select:0;XS:3;Z10013-313-XS;Z10013-313-XS;;;;;;0;;;;;;;;;;;
83109;;Taille:select:0;3XL:9;Z11004-003-3XL;Z11004-003-3XL;;;;;;1;;;;;;;;;;;
83110;;Taille:select:0;M:5;Z11500-001-M;Z11500-001-M;;;;;;1;;;;;;;;;;;
83110;;Taille:select:0;2XS:1;Z11500-001-2XS;Z11500-001-2XS;;;;;;0;;;;;;;;;;;
83110;;Taille:select:0;S:4;Z11500-001-S;Z11500-001-S;;;;;;1;;;;;;;;;;;
83110;;Taille:select:0;XS:3;Z11500-001-XS;Z11500-001-XS;;;;;;1;;;;;;;;;;;
83110;;Taille:select:0;2XL:8;Z11500-001-2XL;Z11500-001-2XL;;;;;;0;;;;;;;;;;;
83110;;Taille:select:0;L:6;Z11500-001-L;Z11500-001-L;;;;;;1;;;;;;;;;;;
83110;;Taille:select:0;XL:7;Z11500-001-XL;Z11500-001-XL;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;2XS:1;Z11500-003-2XS;Z11500-003-2XS;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;L:6;Z11500-003-L;Z11500-003-L;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;S:4;Z11500-003-S;Z11500-003-S;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;XS:3;Z11500-003-XS;Z11500-003-XS;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;XL:7;Z11500-003-XL;Z11500-003-XL;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;M:5;Z11500-003-M;Z11500-003-M;;;;;;1;;;;;;;;;;;
83111;;Taille:select:0;2XL:8;Z11500-003-2XL;Z11500-003-2XL;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;M:5;Z11500-M33-M;Z11500-M33-M;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;XL:7;Z11500-M33-XL;Z11500-M33-XL;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;2XL:8;Z11500-M33-2XL;Z11500-M33-2XL;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;XS:3;Z11500-M33-XS;Z11500-M33-XS;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;2XS:1;Z11500-M33-2XS;Z11500-M33-2XS;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;L:6;Z11500-M33-L;Z11500-M33-L;;;;;;1;;;;;;;;;;;
83112;;Taille:select:0;S:4;Z11500-M33-S;Z11500-M33-S;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;L:6;Z11500-M99-L;Z11500-M99-L;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;2XS:1;Z11500-M99-2XS;Z11500-M99-2XS;;;;;;0;;;;;;;;;;;
83113;;Taille:select:0;M:5;Z11500-M99-M;Z11500-M99-M;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;2XL:8;Z11500-M99-2XL;Z11500-M99-2XL;;;;;;0;;;;;;;;;;;
83113;;Taille:select:0;XS:3;Z11500-M99-XS;Z11500-M99-XS;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;S:4;Z11500-M99-S;Z11500-M99-S;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;XL:7;Z11500-M99-XL;Z11500-M99-XL;;;;;;1;;;;;;;;;;;
83114;;Taille:select:0;XL:7;Z11501-239-XL;Z11501-239-XL;;;;;;1;;;;;;;;;;;
83114;;Taille:select:0;L:6;Z11501-239-L;Z11501-239-L;;;;;;1;;;;;;;;;;;
83114;;Taille:select:0;M:5;Z11501-239-M;Z11501-239-M;;;;;;1;;;;;;;;;;;
83114;;Taille:select:0;2XL:8;Z11501-239-2XL;Z11501-239-2XL;;;;;;1;;;;;;;;;;;
83114;;Taille:select:0;S:4;Z11501-239-S;Z11501-239-S;;;;;;1;;;;;;;;;;;
83115;;Taille:select:0;XL:7;Z11501-391-XL;Z11501-391-XL;;;;;;1;;;;;;;;;;;
83115;;Taille:select:0;M:5;Z11501-391-M;Z11501-391-M;;;;;;1;;;;;;;;;;;
83115;;Taille:select:0;S:4;Z11501-391-S;Z11501-391-S;;;;;;1;;;;;;;;;;;
83115;;Taille:select:0;L:6;Z11501-391-L;Z11501-391-L;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;S:4;Z11502-239-S;Z11502-239-S;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;XL:7;Z11502-239-XL;Z11502-239-XL;;;;;;0;;;;;;;;;;;
83116;;Taille:select:0;M:5;Z11502-239-M;Z11502-239-M;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;2XL:8;Z11502-239-2XL;Z11502-239-2XL;;;;;;0;;;;;;;;;;;
83116;;Taille:select:0;L:6;Z11502-239-L;Z11502-239-L;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;XS:3;Z11502-239-XS;Z11502-239-XS;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;2XS:1;Z11502-239-2XS;Z11502-239-2XS;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;L:6;Z11502-439-L;Z11502-439-L;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;S:4;Z11502-439-S;Z11502-439-S;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;2XL:8;Z11502-439-2XL;Z11502-439-2XL;;;;;;0;;;;;;;;;;;
83117;;Taille:select:0;XL:7;Z11502-439-XL;Z11502-439-XL;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;2XS:1;Z11502-439-2XS;Z11502-439-2XS;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;M:5;Z11502-439-M;Z11502-439-M;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;XS:3;Z11502-439-XS;Z11502-439-XS;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;L:6;Z11502-739-L;Z11502-739-L;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;M:5;Z11502-739-M;Z11502-739-M;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;S:4;Z11502-739-S;Z11502-739-S;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;2XS:1;Z11502-739-2XS;Z11502-739-2XS;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;XS:3;Z11502-739-XS;Z11502-739-XS;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;2XL:8;Z11502-739-2XL;Z11502-739-2XL;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;XL:7;Z11502-739-XL;Z11502-739-XL;;;;;;1;;;;;;;;;;;
83119;;Taille:select:0;S:4;Z11503-329-S;Z11503-329-S;;;;;;1;;;;;;;;;;;
83119;;Taille:select:0;XS:3;Z11503-329-XS;Z11503-329-XS;;;;;;1;;;;;;;;;;;
