ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83300;;Nolan N91 Classic Nr.5 weiss;;;;;;;;;;Z20002-001;;;;;;;;;;;;;;;;;Klapphelm aus Polycarbonat inkl. Sonnenvisier,N-Com-Vorbereitung und Dual Action Arretierung zur sicheren Kinnteilverriegelung.;Klapphelm aus Polycarbonat inkl. Sonnenvisier und N-Com-Vorbereitung.<br><ul><li>Dual Action-Arretierung zur sicheren Kinnteilverriegelung</li><li>ECE-Zulassung als Integral- und Jethelm</li><li>Innenliegendes VPS-Sonnenschutzvisier</li><li>Fog Resistant-Innenvisier</li><li>Microlock2-Verschluss, herausnehmbare Klima-Komfort-Innenausstattung, Dual-Action-Verriegelung</li><li>Option auf das N-Com Kommunikationssystem</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83301;;Nolan N91 Classic Nr.3 schwarz;;;;;;;;;;Z20002-003;;;;;;;;;;;;;;;;;Klapphelm aus Polycarbonat inkl. Sonnenvisier,N-Com-Vorbereitung und Dual Action Arretierung zur sicheren Kinnteilverriegelung.;Klapphelm aus Polycarbonat inkl. Sonnenvisier und N-Com-Vorbereitung.<br><ul><li>Dual Action-Arretierung zur sicheren Kinnteilverriegelung</li><li>ECE-Zulassung als Integral- und Jethelm</li><li>Innenliegendes VPS-Sonnenschutzvisier</li><li>Fog Resistant-Innenvisier</li><li>Microlock2-Verschluss, herausnehmbare Klima-Komfort-Innenausstattung, Dual-Action-Verriegelung</li><li>Option auf das N-Com Kommunikationssystem</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83302;;Nolan N91 Classic Nr.2 grau;;;;;;;;;;Z20002-009;;;;;;;;;;;;;;;;;Klapphelm aus Polycarbonat inkl. Sonnenvisier,N-Com-Vorbereitung und Dual Action Arretierung zur sicheren Kinnteilverriegelung.;Klapphelm aus Polycarbonat inkl. Sonnenvisier und N-Com-Vorbereitung.<br><ul><li>Dual Action-Arretierung zur sicheren Kinnteilverriegelung</li><li>ECE-Zulassung als Integral- und Jethelm</li><li>Innenliegendes VPS-Sonnenschutzvisier</li><li>Fog Resistant-Innenvisier</li><li>Microlock2-Verschluss, herausnehmbare Klima-Komfort-Innenausstattung, Dual-Action-Verriegelung</li><li>Option auf das N-Com Kommunikationssystem</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83303;;Nolan N91 Classic Nr.10 schwarz matt;;;;;;;;;;Z20002-M33;;;;;;;;;;;;;;;;;Klapphelm aus Polycarbonat inkl. Sonnenvisier,N-Com-Vorbereitung und Dual Action Arretierung zur sicheren Kinnteilverriegelung.;Klapphelm aus Polycarbonat inkl. Sonnenvisier und N-Com-Vorbereitung.<br><ul><li>Dual Action-Arretierung zur sicheren Kinnteilverriegelung</li><li>ECE-Zulassung als Integral- und Jethelm</li><li>Innenliegendes VPS-Sonnenschutzvisier</li><li>Fog Resistant-Innenvisier</li><li>Microlock2-Verschluss, herausnehmbare Klima-Komfort-Innenausstattung, Dual-Action-Verriegelung</li><li>Option auf das N-Com Kommunikationssystem</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83304;;Nolan N91 Evo Strip Nr.29 matt schwarz-weiss-grau;;;;;;;;;;Z20003-M31;;;;;;;;;;;;;;;;;Basis-Klapphelm aus hochwertigem Lexan EXL;<ul><li>1 Helm-Aussenschale</li><li>Stirn- und Kinnbelüftung, Atemabweiser</li><li>Integrierte Sonnenblende (innen)</li><li>Klares, kratzfestes Visier</li><li>Inklusive Pinlock® Antifog Scheibe</li><li>Klima-Komfort Innenfutter, herausnehmbar</li><li>Gewicht ca. 1780g</li><li>Prüfungen ECE 22.05 (Jet- und Integralhelm)</li><li>Ratschenverschluss</li><li>Vorbereitet für N-Com B3 & B1</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83305;;Nolan N91 Evo Strip Nr.28 matt schwarz-neon gelb;;;;;;;;;;Z20003-M35;;;;;;;;;;;;;;;;;Basis-Klapphelm aus hochwertigem Lexan EXL;<ul><li>1 Helm-Aussenschale</li><li>Stirn- und Kinnbelüftung, Atemabweiser</li><li>Integrierte Sonnenblende (innen)</li><li>Klares, kratzfestes Visier</li><li>Inklusive Pinlock® Antifog Scheibe</li><li>Klima-Komfort Innenfutter, herausnehmbar</li><li>Gewicht ca. 1780g</li><li>Prüfungen ECE 22.05 (Jet- und Integralhelm)</li><li>Ratschenverschluss</li><li>Vorbereitet für N-Com B3 & B1</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83306;;Nolan N91 EVO Special Nr.9 matt schwarz;;;;;;;;;;Z20004-M33;;;;;;;;;;;;;;;;;Basis-Klapphelm aus hochwertigem Lexan EXL;<ul><li>1 Helm-Aussenschale</li><li>Stirn- und Kinnbelüftung, Atemabweiser</li><li>Integrierte Sonnenblende (innen)</li><li>Klares, kratzfestes Visier</li><li>Inklusive Pinlock® Antifog Scheibe</li><li>Klima-Komfort Innenfutter, herausnehmbar</li><li>Gewicht ca. 1780g</li><li>Prüfungen ECE 22.05 (Jet- und Integralhelm)</li><li>Ratschenverschluss</li><li>Vorbereitet für N-Com B3 & B1</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83307;;Nolan N91 EVO Ammersee Nr.39 weiss-schwarz-rot;;;;;;;;;;Z20006-132;;;;;;;;;;;;;;;;;Basis-Klapphelm aus hochwertigem Lexan EXL;<ul><li>1 Helm-Aussenschale</li><li>Stirn- und Kinnbelüftung, Atemabweiser</li><li>Integrierte Sonnenblende (innen)</li><li>Klares, kratzfestes Visier</li><li>Inklusive Pinlock® Antifog Scheibe</li><li>Klima-Komfort Innenfutter, herausnehmbar</li><li>Gewicht ca. 1780g</li><li>Prüfungen ECE 22.05 (Jet- und Integralhelm)</li><li>Ratschenverschluss</li><li>Vorbereitet für N-Com B3 & B1</li></ul><b>Grössen -</b>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83308;;Nolan N104 Fluo Nr.22 Fluo gelb;;;;;;;;;;Z20010-005;;;;;;;;;;;;;;;;;Der neue <B>N104</B> ist die Synthese aller Innovationen im Bereich Klapphelme von Nolan;"Der neue <B>N104</B> ist die Synthese aller Innovationen im Bereich Klapphelme von Nolan, angefangen beim N100 (im Jahr 1998). Nolan ist dabei, 
ein neues Kapitel dieser Geschichte zu schreiben: Der <B>N104</B> wurde von den anspruchsvollsten Motorradfahrern entwickelt. Er wurde von einem Team von
Spezialisten - Ingenieure, Designer oder Techniker und alle passionierte Motorradfahrer - entworfen, entwickelt und getestet.<BR><BR>
Der <B>N104</B> ist das Synonym für modernes, elegantes Design und unvergleichlichen Fahrkomfort.<BR>
<B>100% ?Made in Italy?</B> ist der <B>N104</B> der Klapphelm, an dem alle anderen gemessen werden, dank der Zuverlässigkeit der Marke Nolan und grösster 
Aufmerksamkeit für einzelne Details.<BR><BR>
<H4>AUSSENSCHALE</H4>
Die Aussenschale des <B>N104</B> wird in zwei Grössen (XXS-L /-XXXL) hergestellt und bietet daher maximalen Komfort. Gewicht und Volumen des Helmes 
werden dadurch auf ein Minimum, proportional zur Grösse des Fahrers, reduziert.<BR><BR>
<H4>ROTATION DES KINNTEILS</H4>
Die patentierte elliptische Drehbewegung des Kinnteils ermöglicht es, den Frontbereich des Helmes bei aufgeklapptem Kinnteil klein zu halten. 
Der ?Segeleffekt? ist dadurch stark reduziert und der Fahrkomfort auch bei aufgeklapptem Kinnteil garantiert.<BR><BR>
<H4>DUAL ACTION KLAPPMECHANIK</H4>
Der <B>N104</B> ist mit der patentierten <B>DUAL ACTION</B> Klappmechanik ausgestattet. In der Mitte des Kinnteils positioniert, 
erlaubt sie die einfache Öffnung mit einer Hand.<BR><BR> Die <B>DUAL ACTION</B> Mechanik reduziert das Risiko einer versehentlichen Öffnung auf ein Minimum: 
Das Kinnteil kann nur durch Betätigen des Freigabehebels (bzw. Sicherheitsverschlusses) und gleichzeitigem Betätigen eines zweiten Hebels, geöffnet werden.<BR><BR>
<H4>ULTRABREITES VISIER</H4>
Das am neuen <B>N104</B> montierte Visier garantiert maximalen Fahrkomfort: Die grosse Dimension ermöglicht eine breitere Sicht, 
welche die aktive Sicherheit erhöht.<BR>
Es kann einfach und schnell ohne Werkzeug für Wartung und/oder Austausch demontiert werden.
Es ist mit einem beschlaghemmenden Innenvisier mit umlaufendem Silikonrand ausgestattet.<BR><BR>
<H4>SONNENVISIER (VPS)</H4>
Das innen liegende Sonnenvisier des neuen <B>N104</B> ist, dank der innovativen (patentierten) Mechanik, einfach zu bedienen. Diese 
erlaubt das schnelle Hochklappen (z.B. bei Einfahrt in einen Tunnel).<BR><BR>
Das innen liegende Sonnenvisier ist <B>S/R</B> (kratzfest) und <B>F/R</B> (beschlaghemmend) behandelt<BR><BR>
<H4>BELÜFTUNG</H4>
Die Belüftung des oberen Teils des Helmes erfolgt durch das AIR BOOSTER System.<BR>
Es sichert die optimale Belüftung am Kopf. Die Luft wird in die kritischen Bereiche geleitet und gewährleistet so den maximalen Komfort 
auch bei extremen Fahrbedingungen. Das innovative Belüftungssystem des neuen <B>N104</B> verfügt ausserdem über Belüftungen im Kinnteil und im 
Stirnbereich sowie über zwei Entlüftungen auf der Rückseite. Dies garantiert einen ständigen Luftaustausch.<BR><BR>
<H4>KOMFORTFUTTER</H4>
Es besteht aus herausnehmbaren Wangenpolstern, Futter, Nackenpolster und Windabweiser. Das Futter des neuen <B>N104</B> ist einfach zu entfernen 
und waschbar. Es besteht aus atmungsaktivem, weichen Stoff, der den Komfort auch auf langen Fahrten sicherstellt. Der Stoff ist antibakteriell 
behandelt. Die Form des Futters erleichtert das Tragen einer Brille.<BR><BR>
Der reflektierende Einsatz in der Mitte des Nackenpolsters erhöht die Sichtbarkeit bei Nacht und somit die Sicherheit des Fahrers. Für mehr 
Komfort bei warmem Wetter kann das Nackenpolster einfach entfernt werden.<BR><BR>";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83309;;Nolan N104 Action weiss-schwarz;;;;;;;;;;Z20012-131;;;;;;;;;;;;;;;;;Der neue <B>N104</B> ist die Synthese aller Innovationen im Bereich Klapphelme von Nolan;Der neue <B>N104</B> ist die Synthese aller Innovationen im Bereich Klapphelme von Nolan, angefangen beim N100 (im Jahr 1998). Nolan ist dabei, ein neues Kapitel dieser Geschichte zu schreiben: Der <B>N104</B> wurde von den anspruchsvollsten Motorradfahrern entwickelt. Er wurde von einem Team vonSpezialisten - Ingenieure, Designer oder Techniker und alle passionierte Motorradfahrer - entworfen, entwickelt und getestet.<BR>Der <B>N104</B> ist das Synonym für modernes, elegantes Design und unvergleichlichen Fahrkomfort.<BR><B>100% ?Made in Italy?</B> ist der <B>N104</B> der Klapphelm, an dem alle anderen gemessen werden, dank der Zuverlässigkeit der Marke Nolan und grösster Aufmerksamkeit für einzelne Details.<BR><BR><H4><B>AUSSENSCHALE</B></H4><BR><BR>Die Aussenschale des <B>N104</B> wird in zwei Grössen (XXS-L /-XXXL) hergestellt und bietet daher maximalen Komfort. Gewicht und Volumen des Helmes werden dadurch auf ein Minimum, proportional zur Grösse des Fahrers, reduziert.<BR><BR><H4><B>ROTATION DES KINNTEILS</B></H4><BR><BR>Die patentierte elliptische Drehbewegung des Kinnteils ermöglicht es, den Frontbereich des Helmes bei aufgeklapptem Kinnteil klein zu halten. Der ?Segeleffekt? ist dadurch stark reduziert und der Fahrkomfort auch bei aufgeklapptem Kinnteil garantiert.<BR><BR><H4><B>DUAL ACTION KLAPPMECHANIK</B></H4><BR><BR>Der <B>N104</B> ist mit der patentierten <B>DUAL ACTION</B> Klappmechanik ausgestattet. In der Mitte des Kinnteils positioniert, erlaubt sie die einfache Öffnung mit einer Hand.<BR>Die <B>DUAL ACTION</B> Mechanik reduziert das Risiko einer versehentlichen Öffnung auf ein Minimum: Das Kinnteil kann nur durch Betätigen des Freigabehebels (bzw. Sicherheitsverschlusses) und gleichzeitigem Betätigen eines zweiten Hebels, geöffnet werden.<BR><BR><H4><B>ULTRABREITES VISIER</B></H4><BR><BR>Das am neuen <B>N104</B> montierte Visier garantiert maximalen Fahrkomfort: Die grosse Dimension ermöglicht eine breitere Sicht, welche die aktive Sicherheit erhöht.<BR>Es kann einfach und schnell ohne Werkzeug für Wartung und/oder Austausch demontiert werden.Es ist mit einem beschlaghemmenden Pinlock mit umlaufendem Silikonrand ausgestattet.<BR><BR><H4><B>SONNENVISIER (VPS)</B></H4><BR><BR>Das innen liegende Sonnenvisier des neuen <B>N104</B> ist, dank der innovativen (patentierten) Mechanik, einfach zu bedienen. Diese erlaubt das schnelle Hochklappen (z.B. bei Einfahrt in einen Tunnel).<BR>Das innen liegende Sonnenvisier ist <B>S/R</B> (kratzfest) und <B>F/R</B> (beschlaghemmend) behandelt<BR><BR><H4><B>BELÜFTUNG</B></H4><BR><BR>Die Belüftung des oberen Teils des Helmes erfolgt durch das AIR BOOSTER System.<BR>Es sichert die optimale Belüftung am Kopf. Die Luft wird in die kritischen Bereiche geleitet und gewährleistet so den maximalen Komfort auch bei extremen Fahrbedingungen. Das innovative Belüftungssystem des neuen <B>N104</B> verfügt ausserdem über Belüftungen im Kinnteil und im Stirnbereich sowie über zwei Entlüftungen auf der Rückseite. Dies garantiert einen ständigen Luftaustausch.<BR><BR><H4><B>KOMFORTFUTTER</B></H4><BR><BR>Es besteht aus herausnehmbaren Wangenpolstern, Futter, Nackenpolster und Windabweiser. Das Futter des neuen <B>N104</B> ist einfach zu entfernen und waschbar. Es besteht aus atmungsaktivem, weichen Stoff, der den Komfort auch auf langen Fahrten sicherstellt. Der Stoff ist antibakteriell behandelt. Die Form des Futters erleichtert das Tragen einer Brille.<BR>Der reflektierende Einsatz in der Mitte des Nackenpolsters erhöht die Sichtbarkeit bei Nacht und somit die Sicherheit des Fahrers. Für mehr Komfort bei warmem Wetter kann das Nackenpolster einfach entfernt werden.<BR><B>Spezialgrössen:-3XL</B>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
