Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
83100;;Taille:select:0;2XL:8;Z10004-312-2XL;Z10004-312-2XL;;;;;;1;;;;;;;;;;;
83413;;Couleur:select:1;légèrement fumé:3;Z5704-N103-HG;Z5704-N103-HG;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_HG.jpg;;;;;
83413;;Couleur:select:1;clair:8;Z5704-N103-K;Z5704-N103-K;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_K.jpg;;;;;
83413;;Couleur:select:1;bleu miroir:10;Z5704-N103-VB;Z5704-N103-VB;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_VB.jpg;;;;;
83418;;Couleur:select:1;clair:8;Z5704-N62-K;Z5704-N62-K;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_K.jpg;;;;;
83413;;Couleur:select:1;chromé:9;Z5704-N103-C;Z5704-N103-C;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_C.jpg;;;;;
83416;;Couleur:select:1;clair:8;Z5704-N32-K;Z5704-N32-K;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_K.jpg;;;;;
83417;;Couleur:select:1;chromé:9;Z5704-N43-C;Z5704-N43-C;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_C.jpg;;;;;
83417;;Couleur:select:1;teintée foncée:2;Z5704-N43-D;Z5704-N43-D;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_D.jpg;;;;;
83417;;Couleur:select:1;fumé:4;Z5704-N43-HG;Z5704-N43-HG;;;;;;0;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_HG.jpg;;;;;
83413;;Couleur:select:1;teintée foncée:2;Z5704-N103-D;Z5704-N103-D;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_D.jpg;;;;;
83418;;Couleur:select:1;chromé:9;Z5704-N62-C;Z5704-N62-C;;;;;;0;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_C.jpg;;;;;
83416;;Couleur:select:1;teintée foncée:2;Z5704-N32-D;Z5704-N32-D;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_D.jpg;;;;;
83417;;Couleur:select:1;clair:8;Z5704-N43-K;Z5704-N43-K;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_K.jpg;;;;;
83417;;Couleur:select:1;bleu miroir:10;Z5704-N43-VB;Z5704-N43-VB;;;;;;0;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_VB.jpg;;;;;
83354;;Taille:select:0;2XS:1;Z25001-131-2XS;Z25001-131-2XS;;;;;;1;;;;;;;;;;;
83354;;Taille:select:0;XL:7;Z25001-131-XL;Z25001-131-XL;;;;;;1;;;;;;;;;;;
83419;;Couleur:select:1;bleu miroir:10;Z5704-N85-VB;Z5704-N85-VB;;;;;;0;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_VB.jpg;;;;;
83359;;Taille:select:0;XL:7;Z25005-800-XL;Z25005-800-XL;;;;;;1;;;;;;;;;;;
83354;;Taille:select:0;2XL:8;Z25001-131-2XL;Z25001-131-2XL;;;;;;1;;;;;;;;;;;
83419;;Couleur:select:1;teintée foncée:2;Z5704-N85-D;Z5704-N85-D;;;;;;1;;;;;;http://shop.motochic.ch/shopimages/super/Z5618_CW1_D.jpg;;;;;
83354;;Taille:select:0;XS:2;Z25001-131-XS;Z25001-131-XS;;;;;;1;;;;;;;;;;;
