ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83540;;MGD Alpinestars Jacke STELLA GP-PLUS R - Schwarz/Weiss;;;;;;;;;;MGD RPGASBC14121;MGD RPGASBC14121;Redpoint;Alpinestars;;;;;;;;;;;;;;Perfekt  gestylt  und  zur  Gewährleistung  einer  optimalen  Sport-Passform  entwickelt  ist  die  Stella  GP  Plus  R  Jacke  aus luxuriösem  hochwertigem  Leder  mit  strategischen  Stretcheinsätze  gefertigt.  Diese  Jacke,  die  an  den  Alpinestars  Stella Fahrhosen angeschlossen werden kann, ist voller Schutz-, Leistungs- und Komforteigenschaften;<ul><li>Höchst strapazierfähiges und hochwertiges 1.3 Leder, Multi-Paneel Anfertigung für hervorragende Abriebfestigkeit, mit verstärkten Nähte für eine optimale Reißfestigkeit beim Aufprallsfall. Zur Gewährleistung einer optimierten Damen-Leistungspassform entwickelt und hergestellt.</li></ul><br><p><strong>Schutzeigenschaften</strong></p><ul><li>Alpinestars rennerprobte CE-geprüfte Bio-Armor Schulter- und Ellbogenprotektoren.</li><li>Doppeldichtige hochentwickelte Polymer-Schulterschleifer sind im sportlichen modischen Design für zusätzliche Abriebfestigkeit ergonomisch eingearbeitet.</li><li>Brust- und Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic-Brustprotektoren und Back Armor als Upgrade-Zubehör erhältlich).</li><li>Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic Back Protektor als Upgrade-Zubehör erhältlich).</li></ul><br><p><strong>Ausgezeichnete Sportliche Passgenauigkeit</strong></p><ul><li>Fortschrittliche Akkordeon-Stretcheinsätze aus Polyestergewebe am Rückenteil für eine ausgezeichnete Passform und verringertes Gewicht.</li><li>Akkordeon-Stretcheinsätze aus Leder an Ellbogen ermöglichen einen erweiterten Bewegungsumfang.</li><li>Großflächige Stretcheinsätze aus Polyestergewebe unter den Ärmel halten die Jackenärmel fest am Fahrerkörper.</li><li>Perforierte gepolsterte Einsätze sind in Außenhaut und Ärmel für eine verbesserte Passform eingebaut.</li><li>Vorgekrümmter Ärmelaufbau verringert Fahrermüdung und Materialfalten.</li><li>Handgelenkverschluss mit kombiniertem Klett- und Reißverschluss für feste und individuell anpassbare Passform.</li><li>Taillenweiteverstellung mit Klettverschluss und D-Ring gewährleistet eine höchst individuelle Passform und hält die Jacke in Position.</li></ul><br><p><strong>Hervorragender Komfort</strong></p><ul><li>Alpinestars einzigartig-entwickelte Dynamic Flow Control (DFC) Lüftungseinlässe mit Reißverschluss an Schultern ermöglichen eine wirksame Regulierung der Innentemperatur.</li><li>Kragenaufbau sowie Manschettenbesatz aus sanftem 3D Mesh-Textil für verbesserten Komfort und Atmungsaktivität.</li><li>Mesh-Futteraufbau für verbesserte Atmungsaktivität, Komfort und Belüftung.</li><li>Die äußeren vorderen Eingrifftaschen mit breiter Öffnung sind mit Reißverschluss für eine stets sichere Verschließung versehen.</li><li>Zahlreiche Innentaschen mit Klettverschluss für zusätzliche Sicherheit.</li><li>Innere wasserfeste Portemonnaie-Tasche für sichere Aufbewahrung von Dokumenten.</li><li>Der innere Taillen-Verbindungsreißverschluß ermöglicht den Anschluss an den Alpinestars Fahrhosen.</li><li>Hochwertige YKK® Reißverschlüsse an der ganzen Bekleidung für Strapazierfähigkeit.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit für anderen Verkehrsteilnehmer.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83541;;MGD Alpinestars Jacke STELLA GUNNER WP - Schwarz/Weiss;;;;;;;;;;MGD RPGASBW15121;MGD RPGASBW15121;Redpoint;Alpinestars;;;;;;;;;;;;;;Die Gunner Waterproof Jacke weist eine strapazierfähige Außenschicht aus Polymer-verstärktem Textil auf und integriert ein 100% wasserdichtes Innenfutter zur Gewährleistung höchstmöglichen Fahrkomfort. Dank des herausnehmbaren Thermofutter ist diese Jacke für die harten Anforderungen des Sport-Touring optimal, unabhängig von den Wetterbedingungen.;"<ul><li>Frauen Textieljacke</li><li>Strapazierfähiges Polymer-gedrucktes 600 Den Textil für eine hervorragende wasserabweisende Leistung.</li><li>100% wasserfestes und atmungsaktives Futter für hohe Komfortniveaus und Witterungsschutz.</li><li>Mit Alpinestars Climate Control System: strategisch positionierte vordere Lufteinlassöffnungen mit Reißverschluss und hintere Luftauslassöffnung beitragen dazu, die innere Körpertemperatur zu regulieren.</li><li>Herausnehmbares langärmeliges Thermalfutter mit Kragen aus Polyestergewebe gewährleistet die vielseitige Einsetzbarkeit und Komfort der Jacke bei Kälte und Hitze.</li><li>Erstklassiger Aufprallschutz,Ellbogen- und Schulterprotektoren für zusätzlichen Aufprallschutz.</li><li>Brust- und Rücken-Protektorfächer mit fortschrittlicher Komfortpolsterung aus Polyesterschaum (Bio-Armor Rückprotektor als Zubehör erhältlich).</li><li>Sanfte Kragen-Komfortkanten aus Polyestergewebe.</li><li>Ärmel-Größeversteller mit Klettverschluss und verstärkte Manschette-Verstellung mit Klettverschluss für verbesserte Fahrpassform.</li><li>Hosenbund und Halskragen mit Klettverschluss ermöglicht eine höchst individuelle stets sichere Passform in unterschiedlichen Sitzpositionen.</li><li>Verlängerter und verstärkter unterer Rückenbereich für Fahrkomfort.</li><li>Vorgeformte Ärmel für höheren Komfort und Leistung in Fahrposition.</li><li>Äußere Eingrifftaschen, Innentaschen und wasserfeste Portemonnaie-Tasche; Taschen sind mit Reißverschluss für einen sicheren Verschluss versehen.</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kGOvJhTMPx8?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;;;;;;;;;;;;;;;;;;;
83542;;MGD Alpinestars Jacke STELLA GUNNER WP - Schwarz/Fushia;;;;;;;;;;MGD RPGASBW151391;MGD RPGASBW151391;Redpoint;Alpinestars;;;;;;;;;;;;;;Die Gunner Waterproof Jacke weist eine strapazierfähige Außenschicht aus Polymer-verstärktem Textil auf und integriert ein 100% wasserdichtes Innenfutter zur Gewährleistung höchstmöglichen Fahrkomfort. Dank des herausnehmbaren Thermofutter ist diese Jacke für die harten Anforderungen des Sport-Touring optimal, unabhängig von den Wetterbedingungen.;"<ul><li>Frauen Textieljacke</li><li>Strapazierfähiges Polymer-gedrucktes 600 Den Textil für eine hervorragende wasserabweisende Leistung.</li><li>100% wasserfestes und atmungsaktives Futter für hohe Komfortniveaus und Witterungsschutz.</li><li>Mit Alpinestars Climate Control System: strategisch positionierte vordere Lufteinlassöffnungen mit Reißverschluss und hintere Luftauslassöffnung beitragen dazu, die innere Körpertemperatur zu regulieren.</li><li>Herausnehmbares langärmeliges Thermalfutter mit Kragen aus Polyestergewebe gewährleistet die vielseitige Einsetzbarkeit und Komfort der Jacke bei Kälte und Hitze.</li><li>Erstklassiger Aufprallschutz,Ellbogen- und Schulterprotektoren für zusätzlichen Aufprallschutz.</li><li>Brust- und Rücken-Protektorfächer mit fortschrittlicher Komfortpolsterung aus Polyesterschaum (Bio-Armor Rückprotektor als Zubehör erhältlich).</li><li>Sanfte Kragen-Komfortkanten aus Polyestergewebe.</li><li>Ärmel-Größeversteller mit Klettverschluss und verstärkte Manschette-Verstellung mit Klettverschluss für verbesserte Fahrpassform.</li><li>Hosenbund und Halskragen mit Klettverschluss ermöglicht eine höchst individuelle stets sichere Passform in unterschiedlichen Sitzpositionen.</li><li>Verlängerter und verstärkter unterer Rückenbereich für Fahrkomfort.</li><li>Vorgeformte Ärmel für höheren Komfort und Leistung in Fahrposition.</li><li>Äußere Eingrifftaschen, Innentaschen und wasserfeste Portemonnaie-Tasche; Taschen sind mit Reißverschluss für einen sicheren Verschluss versehen.</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kGOvJhTMPx8?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;;;;;;;;;;;;;;;;;;;
83543;;MGD Alpinestars Jacke STELLA RENEE - Schwarz;;;;;;;;;;MGD RPGASBL13101;MGD RPGASBL13101;Redpoint;Alpinestars;;;;;;;;;;;;;;Als Teil des Alpinestars City Collection integriert die Renee Jacke starke Schutzeigenschaften und Abriebpolsterung mit einem modischen und figurschmeichelnden damenspezifischen Design auf raffinierte Weise. Die Außenhaut-Anfertigung aus weichem Leder und modernem Textil verleiht dieser zugeschnittenen Straßenjacke eine luxuriöse Note, die Sie sicherlich auffallen lässt.;<ul><li>Leichte höchst konturierte herausnehmbare CE-zertifizierte Ellbogen- und Schulterprotektoren bieten hervorragenden Aufprallschutz</li><li>Für eine damenspezifische sportliche Passform speziell entwickelt und optimiert.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83544;;MGD Alpinestars Jacke STELLA SPARK SOFTSHELL - Grün;;;;;;;;;;MGD RPGASBL146581;MGD RPGASBL146581;Redpoint;Alpinestars;;;;;;;;;;;;;;Als technische winddichte wasserfeste für eine optimierte Damenpassform konzipierte Softshell-Jacke integriert die Stella Spark Jacke zertifizierte Schützer und Belüftung-Reißverschlüsse zur Kontrolle der Innentemperatur. Die Stella Spark ist strapazierfähig und komfortabel und weist Personalisierungsmöglichkeiten auf, welche sie perfekt sowohl beim Motorrad-Fahren als auch beim Gehen machen.;<ul><li>Zur Gewährleistung einer optimierten Damenpassform entwickelt und hergestellt, ist diese Jacke speziell für die Betonung der weiblichen Körperform gestylt.</li><li>Die technische 3-lagige Struktur integriert eine Softshell Oberstruktur, welche mit einer winddichten Membran und Mesh-Futter für eine äußerst komfortable atmungsaktive und leichte Jacke verbunden ist.</li><li>geprüfte Schulter- und Ellbogenprotektoren für erstklassigen Schutz.</li><li>Rückentasche mit PE Polstereinsätze (Alpinestars Rückenprotektor als Upgrade-Zubehör erhältlich).</li><li>Alle Protektoren sind fest im Fächer mit Netztaschen zur Verbesserung der Belüftung gesichert.</li><li>Belüftungs-Reißverschlüsse an Achselhöhle zur Verbesserung der Luftführung und Atmungsaktivität.</li><li>Schnurversteller am Kragen und unteren Saum für personalisierte und stets sichere Passform.</li><li>Verstellung der Ärmelgröße durch Klettverschluss für verbesserte Fahrpassform.</li><li>Ärmel mit Silikon-gedrücktem Klettverschluss für einfaches Anziehen und festen Verschluss.</li><li>Sturmhaube zeichnet sich durch einen Anschluss zur Befestigung am Hauptkörper beim Fahren.</li><li>Wasserfeste Innentasche für Portemonnaie/Ausweis/MP3 mit Kopfhörer-Leitungsschlauch.</li><li>Strapazierfähige YKK Vorderreißverschluss und Taschen für sicheren Verschluss.</li><li>Praktische Innentaschen.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83545;;MGD Alpinestars Jacke STELLA T-GP PLUS R - Schwarz;;;;;;;;;;MGD RPGASBL14121;MGD RPGASBL14121;Redpoint;Alpinestars;;;;;;;;;;;;;;Perfekt  gestylt  und  zur  Gewährleistung  einer  optimalen  Sport-Passform  entwickelt  ist  die  Stella  GP  Plus  R  Jacke  aus luxuriösem  hochwertigem  Leder  mit  strategischen  Stretcheinsätze  gefertigt.  Diese  Jacke,  die  an  den  Alpinestars  Stella Fahrhosen angeschlossen werden kann, ist voller Schutz-, Leistungs- und Komforteigenschaften.;<ul><li>Höchst strapazierfähiges und hochwertiges 1.3 Leder, Multi-Paneel Anfertigung für hervorragende Abriebfestigkeit, mit verstärkten Nähte für eine optimale Reißfestigkeit beim Aufprallsfall. Zur Gewährleistung einer optimierten Damen-Leistungspassform entwickelt und hergestellt.</li></ul><br><p><strong>Schutzeigenschaften</strong></p><ul><li>Alpinestars rennerprobte CE-geprüfte Bio-Armor Schulter- und Ellbogenprotektoren.</li><li>Doppeldichtige hochentwickelte Polymer-Schulterschleifer sind im sportlichen modischen Design für zusätzliche Abriebfestigkeit ergonomisch eingearbeitet.</li><li>Brust- und Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic-Brustprotektoren und Back Armor als Upgrade-Zubehör erhältlich).</li><li>Rückentaschen mit PE Polstereinsätze (Alpinestars Bionic Back Protektor als Upgrade-Zubehör erhältlich).</li></ul><br><p><strong>Ausgezeichnete sportliche Passgenauigkeit</strong></p><ul><li>Fortschrittliche Akkordeon-Stretcheinsätze aus Polyestergewebe am Rückenteil für eine ausgezeichnete Passform und verringertes Gewicht.</li><li>Akkordeon-Stretcheinsätze aus Leder an Ellbogen ermöglichen einen erweiterten Bewegungsumfang.</li><li>Großflächige Stretcheinsätze aus Polyestergewebe unter den Ärmel halten die Jackenärmel fest am Fahrerkörper.</li><li>Perforierte gepolsterte Einsätze sind in Außenhaut und Ärmel für eine verbesserte Passform eingebaut.</li><li>Vorgekrümmter Ärmelaufbau verringert Fahrermüdung und Materialfalten.</li><li>Handgelenkverschluss mit kombiniertem Klett- und Reißverschluss für feste und individuell anpassbare Passform.</li><li>Taillenweiteverstellung mit Klettverschluss und D-Ring gewährleistet eine höchst individuelle Passform und hält die Jacke in Position.</li></ul><br><p><strong>Hervorragender Komfort</strong></p><ul><li>Alpinestars einzigartig-entwickelte Dynamic Flow Control (DFC) Lüftungseinlässe mit Reißverschluss an Schultern ermöglichen eine wirksame Regulierung der Innentemperatur.</li><li>Kragenaufbau sowie Manschettenbesatz aus sanftem 3D Mesh-Textil für verbesserten Komfort und Atmungsaktivität.</li><li>Mesh-Futteraufbau für verbesserte Atmungsaktivität, Komfort und Belüftung.</li><li>Die äußeren vorderen Eingrifftaschen mit breiter Öffnung sind mit Reißverschluss für eine stets sichere Verschließung versehen.</li><li>Zahlreiche Innentaschen mit Klettverschluss für zusätzliche Sicherheit.</li><li>Innere wasserfeste Portemonnaie-Tasche für sichere Aufbewahrung von Dokumenten.</li><li>Der innere Taillen-Verbindungsreißverschluß ermöglicht den Anschluss an den Alpinestars Fahrhosen.</li><li>Hochwertige YKK® Reißverschlüsse an der ganzen Bekleidung für Strapazierfähigkeit.</li><li>Reflexdetails für verbesserte Fahrersichtbarkeit für anderen Verkehrsteilnehmer.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83546;;MGD Alpinestars Jacke STELLA T-JAWS WP - Schwarz;;;;;;;;;;MGD RPGASBW15103;MGD RPGASBW15103;Redpoint;Alpinestars;;;;;;;;;;;;;;Die Stella T-Jaws Waterproof ist eine für eine optimierte damenspezifische Passform entwickelte Textil-Jacke, die eine 100% wasserfeste leistungsstarke Membran sowie ein herausnehmbares Thermalfutter integriert, um eine höchst vielseitige Einsetzbarkeit bei allen Wetterbedingungen anbieten zu können.;<ul><li>Konstruktion aus mehreren Materialien mit Außenhaut aus modernem Poly-Nylon für ausgezeichnete Abrieb- und Reißfestigkeit.</li><li>Außenmaterial mit PU für zusätzliche wasserabweisende Funktion verstärkt.</li><li>Wasserdicht und atmungsaktiv durch eingearbeitete Membran für zusätzlichen Komfort.</li><li>Fächer für die Rückenprotektoren mit herausnehmbarer PE-Polsterung (der Bio Armor Rückenschutzeinsatz ist als Zubehör erhältlich).</li><li>Flexible Mikrofaser Akkordeon Stretcheinsätze am Rücken für eine hervorragende Passform.</li><li>Brustfächer mit austauschbarer PE-Schutzpolsterung (Alpinestars Bionic Brustschutz als Zubehör verfügbar).</li><li>Aufprallschutz durch herausnehmbare und verstellbare Bio Armor Ellenbogen- und Schulterprotektoren.</li><li>Das Langarm-Thermofutter (80g) ist komplett abnehmbar für Klimaregelung, Mappentaschen mit Velcro® Klettverschluss.</li><li>Schulter-Lufteinlässe mit Reißverschluss für eine wirksame Regulierung des internen Luftstroms.</li><li>Integrierte, weiche Mikrofaser-Kanten an Kragen und Manschette für verbesserten Komfort.</li><li>Vorgeformte Ärmel mit Akkordeon Flex-Einsätzen an den Ellbogen für mehr Komfort und leistungsorientierte Passform.</li><li>Äußere und innere Taschen mit Reißverschluss für ideale Schließung.</li><li>Reflektierende Streifen an Rückseite und Armen verbessern die Sichtbarkeit des Fahrers.</li><li>Interner Verbindungs-Reißverschluss in der Taille für die Verbindung an die hierzu ausgelegten Alpinestars Motorradhosen.</li><li>Manschettenregulierung mit Velcro® und halbautomatischen Verriegelungs-Reißverschlüssen für ideale Passform und verbesserten Komfort.</li><li>Erweitertes Rückseitenprofil, sowie kombinierte D-Ring und Velcro® Taillen-Anpassungen.</li><li>Flachprofil-Kragen mit abgerundeten Kanten für Komfortfunktionen, gepolstert es 3D-Mesh für hervorragende Atmungsaktivität.</li><li>Integrierte, wasserdichte Tasche für Portemonnaie.</li><li>TPU-verstärkte Reißverschluss-Ziehlaschen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83547;;MGD Alpinestars Jacke STELLA T-JAWS WP - Schwarz/Rosa/Weiss;;;;;;;;;;MGD RPGASBW151322;MGD RPGASBW151322;Redpoint;Alpinestars;;;;;;;;;;;;;;Die Stella T-Jaws Waterproof ist eine für eine optimierte damenspezifische Passform entwickelte Textil-Jacke, die eine 100% wasserfeste leistungsstarke Membran sowie ein herausnehmbares Thermalfutter integriert, um eine höchst vielseitige Einsetzbarkeit bei allen Wetterbedingungen anbieten zu können.;<ul><li>Konstruktion aus mehreren Materialien mit Außenhaut aus modernem Poly-Nylon für ausgezeichnete Abrieb- und Reißfestigkeit.</li><li>Außenmaterial mit PU für zusätzliche wasserabweisende Funktion verstärkt.</li><li>Wasserdicht und atmungsaktiv durch eingearbeitete Membran für zusätzlichen Komfort.</li><li>Fächer für die Rückenprotektoren mit herausnehmbarer PE-Polsterung (der Bio Armor Rückenschutzeinsatz ist als Zubehör erhältlich).</li><li>Flexible Mikrofaser Akkordeon Stretcheinsätze am Rücken für eine hervorragende Passform.</li><li>Brustfächer mit austauschbarer PE-Schutzpolsterung (Alpinestars Bionic Brustschutz als Zubehör verfügbar).</li><li>Aufprallschutz durch herausnehmbare und verstellbare Bio Armor Ellenbogen- und Schulterprotektoren.</li><li>Das Langarm-Thermofutter (80g) ist komplett abnehmbar für Klimaregelung, Mappentaschen mit Velcro® Klettverschluss.</li><li>Schulter-Lufteinlässe mit Reißverschluss für eine wirksame Regulierung des internen Luftstroms.</li><li>Integrierte, weiche Mikrofaser-Kanten an Kragen und Manschette für verbesserten Komfort.</li><li>Vorgeformte Ärmel mit Akkordeon Flex-Einsätzen an den Ellbogen für mehr Komfort und leistungsorientierte Passform.</li><li>Äußere und innere Taschen mit Reißverschluss für ideale Schließung.</li><li>Reflektierende Streifen an Rückseite und Armen verbessern die Sichtbarkeit des Fahrers.</li><li>Interner Verbindungs-Reißverschluss in der Taille für die Verbindung an die hierzu ausgelegten Alpinestars Motorradhosen.</li><li>Manschettenregulierung mit Velcro® und halbautomatischen Verriegelungs-Reißverschlüssen für ideale Passform und verbesserten Komfort.</li><li>Erweitertes Rückseitenprofil, sowie kombinierte D-Ring und Velcro® Taillen-Anpassungen.</li><li>Flachprofil-Kragen mit abgerundeten Kanten für Komfortfunktionen, gepolstert es 3D-Mesh für hervorragende Atmungsaktivität.</li><li>Integrierte, wasserdichte Tasche für Portemonnaie.</li><li>TPU-verstärkte Reißverschluss-Ziehlaschen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
83548;;MGD Alpinestars Jacke STELLA VIKA - Schwarz;;;;;;;;;;MGD RPGASBC14106;MGD RPGASBC14106;Redpoint;Alpinestars;;;;;;;;;;;;;;VIKA ist die neue Damen Motorradjacke Kapsel-Kollektion von Alpinestars. Von den Laufstegtrends inspiriert, bezieht die VIKA-Kollektion Leistungsschutz mit ein und ergänzt gleichzeitig die weibliche Silhouette.;"<p>Die VIKA Jacke zeichnet sich durch eine weiche Lederaussenhaut, vorgekrümmte Ärmel für überragenden Komfort und Stretcheinsätze für eine schmeichelnde figurnahe Passform auf oder abseits des Motorrades aus.</p><ul><li>Höchst komfortable Passform dank ihrem geschmeidigen und strapazierfähigen Vollleder-Aufbau</li><li>Vorgekrümmte Ärmel und verlängerter Rückenschnitt für zusätzlichen Tragekomfort und Leistung beim Motorrad-Fahren</li><li>Die Designeigenschaften inkorporieren strategisch positionierte Stretch-Einsätze aus KEVLAR</li><li>Die VIKA ist eine perfekte Darstellung von ""Form folgt Funktion"".</li><li>Leichte höchst konturierte herausnehmbare CE-zertifizierte Ellbogen- und Schulterprotektoren bieten hervorragenden Aufprallschutz</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sD9wOU3Lkiw?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;;;;;;;;;;;;;;;;;;;
83549;;MGD Alpinestars Schuhe STELLA S-MX 6 - Schwarz/Weiss;;;;;;;;;;MGD RPGASBR14122;MGD RPGASBR14122;Redpoint;Alpinestars;;;;;;;;;;;;;;Speziell  für  eine  optimierte  Damenpassform  ausgelegt,  integriert  der  STELLA  S-MX  6  die  neuesten  Fortschritte  Alpinestars  in  Sachen Leitungsschuh-Design und -Entwicklung. Jeder einziger Teil im CE-zertifizierten STELLA S-MX 6 ist sorgfältig entwickelt worden: Schutzinnovationen, verbesserte  Ergonomie und Komforteigenschaften.;<ul><li>Obermaterial aus hochentwickelter Mikrofaser für Strapazierfähigkeit und wiederholte Abriebfestigkeit ist spezifisch für die weibliche Leistungspassform entwickelt worden.</li><li>Neuer ergonomischer Leisten Vorderfuß-Windschnittigkeit, welche eine deutlich höhere Schalthebel-Kontrolle ermöglicht, und für überragenden vielseitigen Fußprofil, Passform und Komfort sorgt.</li><li>Alpinestars bahnbrechender seitlicher TPU Knöchelschienenschutz leistet biomechanische Stütze zwischen seitliche Wade/Schienbein und Sprunggelenk und bietet verbesserte Strukturintegrität, Schlagschutz, Abriebfestigkeit und Flex-Stütze.</li><li>Sohle aus Alpinestars neuer einzigartiger Gummimischung fördert verbessertes Gefühl und Griff, Wasserableitung und Strapazierfähigkeit.</li><li>Entlüftungsöffnungen an Fersenkappe und Schienbeinschutz sowie atmungsaktive Mesh-Einsätze (belüftete Version ausschließlich) verbessern Komfort und verringern Ermüdungserscheinungen bei kurzen oder langen Fahrten.</li><li>Schienbein- und Waden- Schutz, Fersenkappe, Schaltkissen, Knöchelschiene und Zehenschleifer aus eingespritztem hochwertigem Modul-TPU für verbesserten Aufprallschutz und Dauerhaftigkeit.</li><li>Double-Density Knöchelprotektor auf der medialen Seite ist unter dem Obermaterial geschichtet und bietet Schutzleistung in den Schlüsselbereichen.</li><li>Eingebaute, austauschbare Schleifer aus bi-eingespritztem TPU zeichnen sich durch das einfache Schraubbefestigungskonzept für einen schnellen und leichten Ersatz aus.</li><li>Akkordeon-Flexzonen am Rist und an der Achillesferse für ausgezeichneten Komfort, Ausdehnung, Kontrolle und Stütze.</li><li>Inneres Fußbett mit integrierter Schienbeinverstärkung für zusätzliche Stütze im Fußgewölbe-Bereich und Fußschutz.</li><li>Mediale seitliche Öffnungs-/Verschluss-System zeichnet sich durch dem auf elastischem Teil angebrachten Reißverschluss mit breitem Klettverschluss für Flexibilität und stets sichere Passform aus. Breite Einstiegsöffnung für einfaches An- und Ausziehen.</li><li>Innerer Zehenkappenschutz ist unter dem Obermaterial für Strapazierfähigkeit, verbessertes Gefühl und Leistung geschichtet.</li><li>Atmungsaktives Textil-Innenfutter zeichnet sich durch Antirutsch-Verstärkung aus Wildleder im Fersebereich auf, um den Fuß in die richtige Position beim Fahren zu halten.</li><li>Neues herausnehmbares anatomisches Fußbett integriert EVA und Elastan für Leistung, Komfort und Stütze.</li><li>Der S-MX 6 Stiefel ist CE zertifiziert.</li><li>;;;;;;;;;;;;;;;;;;;;;;;;
