ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81000;;Alpinestars Slider S-MX PLUS;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars flexibler Zehen-slider</li><li>zum klipsen</li><li>Paarweise geliefert</li><li>Hersteller: Alpinestars </li><li>Farbe: Schwarz</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81001;;Alpinestars Slider SUPERTECH R;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Zehen-Wechselslider</li><li>Kompatible mit:</li><li>Alpinestars Supertech R (ab 2015 )</li><li>Alpinestars SMX PLUS (ab 2015 )</li><li>Alpinestars SMX PLUS GTX (ab 2015 )</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81002;;Alpinestars Accessoires SLICK 50 WEB BELT - Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Gürtel </li><li>Farbe: Schwarz</li><li>Klemmverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81003;;Alpinestars Accessoires MOTOPERF BELT - Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Gürtel </li><li>Farbe: Schwarz</li><li>Schnallenverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81004;;Alpinestars Accessoires PRECISION ZIP WALLET - Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Gelbeutel </li><li>Farbe: Schwarz</li><li>Schnallenverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81005;;Alpinestars Accessoires EXECUTIVE BELT - Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Gürtel </li><li>Farbe: Schwarz</li><li>Schnallenverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81006;;Alpinestars Accessoires BTR IPHONE 5 CASE - Grau;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars iPhone Case 5</li><li>Farbe: Grau</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81007;;Alpinestars Hose FACTORY BOARDSHORTS - Weiss/Rot;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Badeshorts Alpinestars </li><li>Farbe: weiss-rot</li><li>Schnürverschluss</li><li>1 Seitentasche</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81008;;Alpinestars Accessoires BTR IPHONE 5 CASE - Rot;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars iPhone Case 5</li><li>Farbe: Rot</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81009;;Alpinestars Accessoires MANUFACTURE KEYFOB - Rot;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Schlüsselanhänger</li><li>Farbe: Rot</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81010;;Alpinestars Accessoires MARINA KEYFOB - Rot;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Schlüsselanhänger</li><li>Farbe: Rot</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
81011;;Alpinestars Accessoires BRAWN SANDAL - Orange/Blau;;;;;;;;;;;;;;;;;;;;;;;;;;;Alpinestars hat sich zudem innerhalb der letzten 50 Jahre sehr ausgebreitet und ist überall präsent. Im Freestyle Motocross, World Superbike oder aber auch im Casual Wear Bereich mit tollen und immer wieder neuen Designs and Farben.;<ul><li>Alpinestars Schlappen</li><li>Farbe: Braun-Weiss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
