Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
81800;;Taille:select:0;XS:2;RPGIXBA08101101;RPGIXBA08101101;;;;;;0;;;;;;;;;;;
81800;;Taille:select:0;2XL:8;RPGIXBA08101106;RPGIXBA08101106;;;;;;0;;;;;;;;;;;
81801;;Taille:select:0;2XL:8;RPGIXBA09603106;RPGIXBA09603106;;;;;;0;;;;;;;;;;;
81802;;Taille:select:0;XS:2;RPGIXBA10112101;RPGIXBA10112101;;;;;;5;;;;;;;;;;;
81802;;Taille:select:0;S:3;RPGIXBA10112102;RPGIXBA10112102;;;;;;2;;;;;;;;;;;
81802;;Taille:select:0;M:4;RPGIXBA10112103;RPGIXBA10112103;;;;;;1;;;;;;;;;;;
81802;;Taille:select:0;L:5;RPGIXBA10112104;RPGIXBA10112104;;;;;;2;;;;;;;;;;;
81802;;Taille:select:0;XL:6;RPGIXBA10112105;RPGIXBA10112105;;;;;;2;;;;;;;;;;;
81802;;Taille:select:0;2XL:8;RPGIXBA10112106;RPGIXBA10112106;;;;;;2;;;;;;;;;;;
81802;;Taille:select:0;3XL:9;RPGIXBA10112107;RPGIXBA10112107;;;;;;1;;;;;;;;;;;
81803;;Taille:select:0;S:3;RPGIXBA13115302;RPGIXBA13115302;;;;;;0;;;;;;;;;;;
81803;;Taille:select:0;M:4;RPGIXBA13115303;RPGIXBA13115303;;;;;;4;;;;;;;;;;;
81803;;Taille:select:0;L:5;RPGIXBA13115304;RPGIXBA13115304;;;;;;0;;;;;;;;;;;
81803;;Taille:select:0;XL:6;RPGIXBA13115305;RPGIXBA13115305;;;;;;0;;;;;;;;;;;
81803;;Taille:select:0;2XL:8;RPGIXBA13115306;RPGIXBA13115306;;;;;;1;;;;;;;;;;;
81803;;Taille:select:0;3XL:9;RPGIXBA13115307;RPGIXBA13115307;;;;;;0;;;;;;;;;;;
81803;;Taille:select:0;4XL:10;RPGIXBA13115308;RPGIXBA13115308;;;;;;1;;;;;;;;;;;
81803;;Taille:select:0;5XL:11;RPGIXBA13115309;RPGIXBA13115309;;;;;;0;;;;;;;;;;;
81804;;Taille:select:0;S:3;RPGIXBA13128102;RPGIXBA13128102;;;;;;2;;;;;;;;;;;
81804;;Taille:select:0;M:4;RPGIXBA13128103;RPGIXBA13128103;;;;;;3;;;;;;;;;;;
81804;;Taille:select:0;L:5;RPGIXBA13128104;RPGIXBA13128104;;;;;;4;;;;;;;;;;;
81804;;Taille:select:0;XL:6;RPGIXBA13128105;RPGIXBA13128105;;;;;;4;;;;;;;;;;;
81804;;Taille:select:0;2XL:8;RPGIXBA13128106;RPGIXBA13128106;;;;;;4;;;;;;;;;;;
81804;;Taille:select:0;3XL:9;RPGIXBA13128107;RPGIXBA13128107;;;;;;2;;;;;;;;;;;
81804;;Taille:select:0;4XL:10;RPGIXBA13128108;RPGIXBA13128108;;;;;;1;;;;;;;;;;;
81804;;Taille:select:0;5XL:11;RPGIXBA13128109;RPGIXBA13128109;;;;;;1;;;;;;;;;;;
81805;;Taille:select:0;XS:2;RPGIXBA14108201;RPGIXBA14108201;;;;;;0;;;;;;;;;;;
81805;;Taille:select:0;S:3;RPGIXBA14108202;RPGIXBA14108202;;;;;;1;;;;;;;;;;;
81805;;Taille:select:0;M:4;RPGIXBA14108203;RPGIXBA14108203;;;;;;2;;;;;;;;;;;
81805;;Taille:select:0;L:5;RPGIXBA14108204;RPGIXBA14108204;;;;;;2;;;;;;;;;;;
81805;;Taille:select:0;XL:6;RPGIXBA14108205;RPGIXBA14108205;;;;;;2;;;;;;;;;;;
81805;;Taille:select:0;XXL:7;RPGIXBA14108206;RPGIXBA14108206;;;;;;2;;;;;;;;;;;
81805;;Taille:select:0;3XL:9;RPGIXBA14108207;RPGIXBA14108207;;;;;;1;;;;;;;;;;;
81805;;Taille:select:0;4XL:10;RPGIXBA14108208;RPGIXBA14108208;;;;;;0;;;;;;;;;;;
81806;;Taille:select:0;XS:2;RPGIXBA14115101;RPGIXBA14115101;;;;;;0;;;;;;;;;;;
81806;;Taille:select:0;S:3;RPGIXBA14115102;RPGIXBA14115102;;;;;;1;;;;;;;;;;;
81806;;Taille:select:0;M:4;RPGIXBA14115103;RPGIXBA14115103;;;;;;2;;;;;;;;;;;
81806;;Taille:select:0;L:5;RPGIXBA14115104;RPGIXBA14115104;;;;;;2;;;;;;;;;;;
81806;;Taille:select:0;XL:6;RPGIXBA14115105;RPGIXBA14115105;;;;;;2;;;;;;;;;;;
81806;;Taille:select:0;XXL:7;RPGIXBA14115106;RPGIXBA14115106;;;;;;2;;;;;;;;;;;
81806;;Taille:select:0;3XL:9;RPGIXBA14115107;RPGIXBA14115107;;;;;;2;;;;;;;;;;;
81806;;Taille:select:0;4XL:10;RPGIXBA14115108;RPGIXBA14115108;;;;;;8;;;;;;;;;;;
81807;;Taille:select:0;XS:2;RPGIXBA14125101;RPGIXBA14125101;;;;;;0;;;;;;;;;;;
81807;;Taille:select:0;S:3;RPGIXBA14125102;RPGIXBA14125102;;;;;;1;;;;;;;;;;;
81807;;Taille:select:0;M:4;RPGIXBA14125103;RPGIXBA14125103;;;;;;2;;;;;;;;;;;
81807;;Taille:select:0;L:5;RPGIXBA14125104;RPGIXBA14125104;;;;;;2;;;;;;;;;;;
81807;;Taille:select:0;XL:6;RPGIXBA14125105;RPGIXBA14125105;;;;;;2;;;;;;;;;;;
81807;;Taille:select:0;XXL:7;RPGIXBA14125106;RPGIXBA14125106;;;;;;2;;;;;;;;;;;
81807;;Taille:select:0;3XL:9;RPGIXBA14125107;RPGIXBA14125107;;;;;;1;;;;;;;;;;;
81807;;Taille:select:0;4XL:10;RPGIXBA14125108;RPGIXBA14125108;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;XS:2;RPGIXBA15101101;RPGIXBA15101101;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;S:3;RPGIXBA15101102;RPGIXBA15101102;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;M:4;RPGIXBA15101103;RPGIXBA15101103;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;L:5;RPGIXBA15101104;RPGIXBA15101104;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;XL:6;RPGIXBA15101105;RPGIXBA15101105;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;XXL:7;RPGIXBA15101106;RPGIXBA15101106;;;;;;0;;;;;;;;;;;
81808;;Taille:select:0;3XL:9;RPGIXBA15101107;RPGIXBA15101107;;;;;;0;;;;;;;;;;;
81809;;Taille:select:0;XS:2;RPGIXBA15108101;RPGIXBA15108101;;;;;;0;;;;;;;;;;;
81809;;Taille:select:0;S:3;RPGIXBA15108102;RPGIXBA15108102;;;;;;0;;;;;;;;;;;
