id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45502;1;Sac Réservoir Büse Vario 1;249;91.67;1;48.5851;0;;;;;3607;3607;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 1-pièce, avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 12 l, extensible de 10 l par zip";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;;1;new;0;0;0;2;0;0;0;0
45503;1;Sacoche De Réservoires Multi Noir;249;100.93;1;53.4929;0;;;;;3612;3612;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 2-pièces, chacune avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 26.5 l";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;;1;new;0;0;0;2;0;0;0;0
44861;1;Sacoche De Réservoires Multi Noir;249;100.93;1;53.4929;0;;;;;4014;4014;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 2-pièces, chacune avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 26.5 l";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Etanchéité:Oui:1,Genre:Homme:2;1;new;0;0;0;2;0;0;0;0
44863;1;Sacoche De Réservoires Multi Noir;249;100.93;1;53.4929;0;;;;;4016;4016;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 2-pièces, chacune avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 26.5 l";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Etanchéité:Oui:1,Genre:Homme:2;1;new;0;0;0;2;0;0;0;0
44865;1;Sacoche De Réservoires Multi Noir;249;100.93;1;53.4929;0;;;;;4019;4019;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 2-pièces, chacune avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 26.5 l";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Etanchéité:Oui:1,Genre:Homme:2;1;new;0;0;0;2;0;0;0;0
44865;1;Sacoche De Réservoires Multi Noir;249;100.93;1;53.4929;0;;;;;5895;5895;Freidig;Büse;;;;;;;;1;;both;;;;;"Sac réservoir à fixation magnétique, en 2-pièces, chacune avec fenêtre à carte

Taille: env. 28x23 cm
Volume: env. 26.5 l";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Homme:2;1;new;0;0;0;2;0;0;0;0
44839;1;Bande Büse Noir/Rouge/Blance 3 X 0.80 M;261;11.11;1;0;0;;;;;32900;32900;Freidig;Büse;;;;;;;;1;;both;;;;;;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Unisex:2;1;new;0;0;0;2;0;0;0;0
44840;1;Bande Büse Noir/Rouge/Blance 3 X 0.80 M;261;11.11;1;0;0;;;;;32910;32910;Freidig;Büse;;;;;;;;1;;both;;;;;;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Homme:2;1;new;0;0;0;2;0;0;0;0
43663;1;Büse Milestone Veste Cuir Hommes;195;387.96;1;217.2576;0;;;;;102450;102450;Freidig;Büse;;;;;;;;0;;both;;;;NOIR/ORANGE ;<ul><li>Cuir de haute qualité</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Homme:2,Matière:Cuir:3;1;new;0;0;0;2;0;0;0;0
43664;1;Büse La-Guna Combi Cuir 2-Pce;209;684.26;1;383.1856;0;;;;;102700;102700;Freidig;Büse;;;;;;;;0;;both;;;;NOIR/BLANC ;<ul><li>Matière: 100% Cuir</li><li>Incrustation stretch: 95% Polyester, 5% Elastan</li><li>Doublure: 100% Polyester</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Homme:2,Matière:Cuir:3;1;new;0;0;0;2;0;0;0;0
43665;1;Büse Laguna Combi Cuir 2-Pce;209;684.26;1;383.1856;0;;;;;102702;102702;Freidig;Büse;;;;;;;;0;;both;;;;NOIR/ROUGE ;<ul><li>Matière: (exterieur): 100% Cuir</li><li>Doublure: 100% Polyester. </li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-05-07;2016-05-07;1;;0;Genre:Homme:2,Matière:Cuir:3;1;new;0;0;0;2;0;0;0;0
