ID;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45502;1;Tankrucksack Büse Vario 1;249;91.67;1;48.5851;0;;;;;3607;;;;;;;;;;;;;;;;;;"Einteiliger Magnet-Tankrucksack, 6 haftstarke Magnete, Traggriffe, Schultergurt

Grösse: ca. 28x23 cm
Volumen: ca. 12 l, Erweiterung von ca. 10 l durch umlaufenden Reissverschluss";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
45503;1;Tankrucksack Büse  Multi ;249;100.93;1;53.4929;0;;;;;3612;;;;;;;;;;;;;;;;;Schwarz;"Zweiteiliger Magnet-Tankrucksack, 8 haftstarke Magnete, Traggriffe, Schultergurt, Kartenfächer in allen drei Ebenen

Grösse: ca. 28x23 cm
Volumen: ca. 26.5 l";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44861;1;Tankrucksack Büse  Multi ;249;100.93;1;53.4929;0;;;;;4014;;;;;;;;;;;;;;;;;Schwarz;"Zweiteiliger Magnet-Tankrucksack, 8 haftstarke Magnete, Traggriffe, Schultergurt, Kartenfächer in allen drei Ebenen

Grösse: ca. 28x23 cm
Volumen: ca. 26.5 l";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44863;1;Tankrucksack Büse  Multi ;249;100.93;1;53.4929;0;;;;;4016;;;;;;;;;;;;;;;;;Schwarz;"Zweiteiliger Magnet-Tankrucksack, 8 haftstarke Magnete, Traggriffe, Schultergurt, Kartenfächer in allen drei Ebenen

Grösse: ca. 28x23 cm
Volumen: ca. 26.5 l";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44865;1;Tankrucksack Büse  Multi ;249;100.93;1;53.4929;0;;;;;4019;;;;;;;;;;;;;;;;;Schwarz;"Zweiteiliger Magnet-Tankrucksack, 8 haftstarke Magnete, Traggriffe, Schultergurt, Kartenfächer in allen drei Ebenen

Grösse: ca. 28x23 cm
Volumen: ca. 26.5 l";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44865;1;Tankrucksack Büse  Multi ;249;100.93;1;53.4929;0;;;;;5895;;;;;;;;;;;;;;;;;Schwarz;"Zweiteiliger Magnet-Tankrucksack, 8 haftstarke Magnete, Traggriffe, Schultergurt, Kartenfächer in allen drei Ebenen

Grösse: ca. 28x23 cm
Volumen: ca. 26.5 l";;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44839;1;Büse Spannband 3 X 0.80 M;261;11.11;1;0;0;;;;;32900;;;;;;;;;;;;;;;;;Schwarz/Rot/Weiss;;;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
44840;1;Büse Spannband 3 X 0.80 M;261;11.11;1;0;0;;;;;32910;;;;;;;;;;;;;;;;;Schwarz/Rot/Weiss;;;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
43663;1;Büse Milestone Lederjacke;195;387.96;1;217.2576;0;;;;;102450;;;;;;;;;;;;;;;;;;<ul><li>Hochwertiges Leder</li><li>verstellbarer Riemen an der Taille</li><li>Strecheinsätze an den Schultern aus Leder</li><li>4 Aussentaschen</li><li>2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Rücken und Ellbogen nachrüstbar</li><li>Obermaterial: 100% Leder</li><li>Innenfutter: 100% Polyester</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
43664;1;Büse La-Guna Lederkombi 2 Tlg.;209;684.26;1;383.1856;0;;;;;102700;;;;;;;;;;;;;;;;;SCHWARZ/WEISS ;<ul><li>Leder 1.2 mm</li><li>atmungsaktives Netzinnenfutter</li><li>elastische Einsätze zur Optimierung der Bewegungsfreiheit</li><li>ergonomisch angepasste Schnittführung</li><li>Hartschalen mit Metalleinsätzen an Schultern</li><li>Verbindungsreissverschluss,2 Innentaschen</li><li>Sicherheit: Sas-Tec Protektoren an Schultern, Ellbogen und Knien, herausnehmbare Polsterungen am Rücken und an der Hüfte</li><li>Material: 100% Leder</li><li>Strecheinsätze: 95% Polyester, 5% Elastan</li><li>Futter: 100% Polyester</li></ul>;;;;;;Auf Lager;Verfügbar : Lieferdatum auf Anfrage;;;;;;;;;;;;;;;;;
