Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43663;;Taille:select:0;48:14;102450-48;102450-48;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;50:15;102450-50;102450-50;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;52:16;102450-52;102450-52;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;54:17;102450-54;102450-54;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;56:18;102450-56;102450-56;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;58:19;102450-58;102450-58;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;60:20;102450-60;102450-60;;;;;;0;;;;;;;;;;;
43663;;Taille:select:0;62:21;102450-62;102450-62;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;46:12;102700-46;102700-46;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;48:14;102700-48;102700-48;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;50:15;102700-50;102700-50;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;52:16;102700-52;102700-52;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;54:17;102700-54;102700-54;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;56:18;102700-56;102700-56;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;58:19;102700-58;102700-58;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;60:20;102700-60;102700-60;;;;;;0;;;;;;;;;;;
43664;;Taille:select:0;62:21;102700-62;102700-62;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;34:1;102700-D-34;102700-D-34;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;36:2;102700-D-36;102700-D-36;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;38:4;102700-D-38;102700-D-38;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;40:6;102700-D-40;102700-D-40;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;42:8;102700-D-42;102700-D-42;;;;;;0;;;;;;;;;;;
44182;;Taille:select:0;44:10;102700-D-44;102700-D-44;;;;;;0;;;;;;;;;;;
43665;;Taille:select:0;48:14;102702-48;102702-48;;;;;;0;;;;;;;;;;;
43665;;Taille:select:0;52:16;102702-52;102702-52;;;;;;0;;;;;;;;;;;
43666;;Taille:select:0;36:2;103500-36;103500-36;;;;;;2;;;;;;;;;;;
43666;;Taille:select:0;38:4;103500-38;103500-38;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;40:6;103500-40;103500-40;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;48:14;103500-48;103500-48;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;50:15;103500-50;103500-50;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;52:16;103500-52;103500-52;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;54:17;103500-54;103500-54;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;56:18;103500-56;103500-56;;;;;;1;;;;;;;;;;;
43666;;Taille:select:0;58:19;103500-58;103500-58;;;;;;0;;;;;;;;;;;
