ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
83795;;Bell Helm Moto-9 Carbon - Tagger Clash Blue;;;;;;;;;;;;;;;;;;;;;;;;;;;Keine Ausflüchte, kein Gramm zu viel, kein Unsinn. Ums kurz zu machen, der neue Moto-9 Flex-Carbon ist der fortschrittlichste und revolutionärste MX-Helm, der je gebaut wurde.;<ul><li><strong>Neues Flex-System mit progressive Schichten</strong><p>Einzigartig ist die Konstruktion mit drei unterschiedlichen Innenschichten. Entwickelt für drei mögliche Aufprall-Szenarien: mit niedrigen, mittleren und hohen Geschwindigkeiten. <br><strong>Adaptive Fit </strong><p>Die mehrteilige Konstruktion passt sich automatisch an den Kopf des Fahrers an: für eine bessere Passform und eine bessere Vorhersage des Energie-Managements.</p><br><strong>Rotationsenergie-Management </strong><p>Eine „Slip-Zone“ zwischen den Innenschichten ermöglicht den Schalen beim schrägen Aufprall eine feine Beweglichkeit und reduziert so die Rotationsenergie.</p><br><strong>MERS</strong><p>Exklusiven Magnefusion™ Emergency Removal System (MERS)-Wangenpads ausgestattet und wurde so entwickelt, dass er mit Eject-Helmabsetzsystem versehen werden kann. Diese beiden Funktionen erlauben Ersthelfern, den Helm vom Kopf des Fahrers vorsichtig abzunehmen, und verringern so das Risiko von Folgeverletzungen im Hals- und Wirbelbereich.</p><br><ul><li>Leichte Composite Carbon-Schale</li><li>3 verschieden grosse Aussen- und EPS Innenschalen.</li><li>Adaptives Flex-System Dämpfungsmaterial</li><li>Velocity Flow Ventilation™-System für maximale Kühlung</li><li>Voll verstellbares Flying Bridge Visor™ mit Belüftungslöchern</li><li>Herausnehmbare/waschbare X-Static® XT2 Innenpolsterung</li><li>Erweiterbarer Wear® Innenbereich</li><li>Exklusives Magnefusion™ Emergency Removal System (MERS) Wangenpolster</li><li>Quick-Flip™ Visierschrauben zum einfachen Verstellen selbst mit Handschuhen</li><li>Voll belüftete EPS-gefütterte Kinnpartie</li><li>Integrierter, belüfteter Kinnschutz</li><li>Neuer und verbesserter Magnefusion™ magnetischer Riemenhalter</li><li>Gepolsterter Kinnriemen mit D-Ringverschluss</li><li>Gepolsterte, gefütterte Helmtasche inklusive 5 Jahre Garantie</li><li>Homologation: ECE 22.05, Snell M2015, DOT, AS/NZ</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul></li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83796;;Bell Helm Moto-9 Carbon - Pinned White;;;;;;;;;;;;;;;;;;;;;;;;;;;Keine Ausflüchte, kein Gramm zu viel, kein Unsinn. Ums kurz zu machen, der neue Moto-9 Flex-Carbon ist der fortschrittlichste und revolutionärste MX-Helm, der je gebaut wurde.;<ul><li><strong>Neues Flex-System mit progressive Schichten</strong><p>Einzigartig ist die Konstruktion mit drei unterschiedlichen Innenschichten. Entwickelt für drei mögliche Aufprall-Szenarien: mit niedrigen, mittleren und hohen Geschwindigkeiten. <br><strong>Adaptive Fit </strong><p>Die mehrteilige Konstruktion passt sich automatisch an den Kopf des Fahrers an: für eine bessere Passform und eine bessere Vorhersage des Energie-Managements.</p><br><strong>Rotationsenergie-Management </strong><p>Eine „Slip-Zone“ zwischen den Innenschichten ermöglicht den Schalen beim schrägen Aufprall eine feine Beweglichkeit und reduziert so die Rotationsenergie.</p><br><strong>MERS</strong><p>Exklusiven Magnefusion™ Emergency Removal System (MERS)-Wangenpads ausgestattet und wurde so entwickelt, dass er mit Eject-Helmabsetzsystem versehen werden kann. Diese beiden Funktionen erlauben Ersthelfern, den Helm vom Kopf des Fahrers vorsichtig abzunehmen, und verringern so das Risiko von Folgeverletzungen im Hals- und Wirbelbereich.</p><br><ul><li>Leichte Composite Carbon-Schale</li><li>3 verschieden grosse Aussen- und EPS Innenschalen.</li><li>Adaptives Flex-System Dämpfungsmaterial</li><li>Velocity Flow Ventilation™-System für maximale Kühlung</li><li>Voll verstellbares Flying Bridge Visor™ mit Belüftungslöchern</li><li>Herausnehmbare/waschbare X-Static® XT2 Innenpolsterung</li><li>Erweiterbarer Wear® Innenbereich</li><li>Exklusives Magnefusion™ Emergency Removal System (MERS) Wangenpolster</li><li>Quick-Flip™ Visierschrauben zum einfachen Verstellen selbst mit Handschuhen</li><li>Voll belüftete EPS-gefütterte Kinnpartie</li><li>Integrierter, belüfteter Kinnschutz</li><li>Neuer und verbesserter Magnefusion™ magnetischer Riemenhalter</li><li>Gepolsterter Kinnriemen mit D-Ringverschluss</li><li>Gepolsterte, gefütterte Helmtasche inklusive 5 Jahre Garantie</li><li>Homologation: ECE 22.05, Snell M2015, DOT, AS/NZ</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul></li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83797;;Bell Helm Moto-9 Carbon - Pinned Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;Keine Ausflüchte, kein Gramm zu viel, kein Unsinn. Ums kurz zu machen, der neue Moto-9 Flex-Carbon ist der fortschrittlichste und revolutionärste MX-Helm, der je gebaut wurde.;<ul><li><strong>Neues Flex-System mit progressive Schichten</strong><p>Einzigartig ist die Konstruktion mit drei unterschiedlichen Innenschichten. Entwickelt für drei mögliche Aufprall-Szenarien: mit niedrigen, mittleren und hohen Geschwindigkeiten. <br><strong>Adaptive Fit </strong><p>Die mehrteilige Konstruktion passt sich automatisch an den Kopf des Fahrers an: für eine bessere Passform und eine bessere Vorhersage des Energie-Managements.</p><br><strong>Rotationsenergie-Management </strong><p>Eine „Slip-Zone“ zwischen den Innenschichten ermöglicht den Schalen beim schrägen Aufprall eine feine Beweglichkeit und reduziert so die Rotationsenergie.</p><br><strong>MERS</strong><p>Exklusiven Magnefusion™ Emergency Removal System (MERS)-Wangenpads ausgestattet und wurde so entwickelt, dass er mit Eject-Helmabsetzsystem versehen werden kann. Diese beiden Funktionen erlauben Ersthelfern, den Helm vom Kopf des Fahrers vorsichtig abzunehmen, und verringern so das Risiko von Folgeverletzungen im Hals- und Wirbelbereich.</p><br><ul><li>Leichte Composite Carbon-Schale</li><li>3 verschieden grosse Aussen- und EPS Innenschalen.</li><li>Adaptives Flex-System Dämpfungsmaterial</li><li>Velocity Flow Ventilation™-System für maximale Kühlung</li><li>Voll verstellbares Flying Bridge Visor™ mit Belüftungslöchern</li><li>Herausnehmbare/waschbare X-Static® XT2 Innenpolsterung</li><li>Erweiterbarer Wear® Innenbereich</li><li>Exklusives Magnefusion™ Emergency Removal System (MERS) Wangenpolster</li><li>Quick-Flip™ Visierschrauben zum einfachen Verstellen selbst mit Handschuhen</li><li>Voll belüftete EPS-gefütterte Kinnpartie</li><li>Integrierter, belüfteter Kinnschutz</li><li>Neuer und verbesserter Magnefusion™ magnetischer Riemenhalter</li><li>Gepolsterter Kinnriemen mit D-Ringverschluss</li><li>Gepolsterte, gefütterte Helmtasche inklusive 5 Jahre Garantie</li><li>Homologation: ECE 22.05, Snell M2015, DOT, AS/NZ</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul></li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83798;;Bell Helm Moto-9 Carbon - Solid Matte Black;;;;;;;;;;;;;;;;;;;;;;;;;;;Keine Ausflüchte, kein Gramm zu viel, kein Unsinn. Ums kurz zu machen, der neue Moto-9 Flex-Carbon ist der fortschrittlichste und revolutionärste MX-Helm, der je gebaut wurde.;<ul><li><strong>Neues Flex-System mit progressive Schichten</strong><p>Einzigartig ist die Konstruktion mit drei unterschiedlichen Innenschichten. Entwickelt für drei mögliche Aufprall-Szenarien: mit niedrigen, mittleren und hohen Geschwindigkeiten. <br><strong>Adaptive Fit </strong><p>Die mehrteilige Konstruktion passt sich automatisch an den Kopf des Fahrers an: für eine bessere Passform und eine bessere Vorhersage des Energie-Managements.</p><br><strong>Rotationsenergie-Management </strong><p>Eine „Slip-Zone“ zwischen den Innenschichten ermöglicht den Schalen beim schrägen Aufprall eine feine Beweglichkeit und reduziert so die Rotationsenergie.</p><br><strong>MERS</strong><p>Exklusiven Magnefusion™ Emergency Removal System (MERS)-Wangenpads ausgestattet und wurde so entwickelt, dass er mit Eject-Helmabsetzsystem versehen werden kann. Diese beiden Funktionen erlauben Ersthelfern, den Helm vom Kopf des Fahrers vorsichtig abzunehmen, und verringern so das Risiko von Folgeverletzungen im Hals- und Wirbelbereich.</p><br><ul><li>Leichte Composite Carbon-Schale</li><li>3 verschieden grosse Aussen- und EPS Innenschalen.</li><li>Adaptives Flex-System Dämpfungsmaterial</li><li>Velocity Flow Ventilation™-System für maximale Kühlung</li><li>Voll verstellbares Flying Bridge Visor™ mit Belüftungslöchern</li><li>Herausnehmbare/waschbare X-Static® XT2 Innenpolsterung</li><li>Erweiterbarer Wear® Innenbereich</li><li>Exklusives Magnefusion™ Emergency Removal System (MERS) Wangenpolster</li><li>Quick-Flip™ Visierschrauben zum einfachen Verstellen selbst mit Handschuhen</li><li>Voll belüftete EPS-gefütterte Kinnpartie</li><li>Integrierter, belüfteter Kinnschutz</li><li>Neuer und verbesserter Magnefusion™ magnetischer Riemenhalter</li><li>Gepolsterter Kinnriemen mit D-Ringverschluss</li><li>Gepolsterte, gefütterte Helmtasche inklusive 5 Jahre Garantie</li><li>Homologation: ECE 22.05, Snell M2015, DOT, AS/NZ</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul></li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83799;;Bell Helm Bullitt - TT;;;;;;;;;;;;;;;;;;;;;;;;;;;"<strong>BELL BULLITT = nicht Retro sondern Original.</strong>
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser. Der Bullitt wurde anfangs der 70zier Jahre zum ersten Mal produziert. Es war schlichtweg eine Sensation zu diesem Zeitpunkt. 
Rasterfreier Visierlauf ohne Druckknopfe, AF Visier (Bubble-Stil) und Fiberglas Konstruktion mit Lederinnenfutter.";<ul><li>Schale aus Glasfaser-Gemisch</li><li>3 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftungssystem</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Exklusiver magnetischer Magnefusion™-Riemenhalter (Patentverfahren läuft)</li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83800;;Bell Helm Bullitt - Solid Matte Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<strong>BELL BULLITT = nicht Retro sondern Original.</strong>
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser. Der Bullitt wurde anfangs der 70zier Jahre zum ersten Mal produziert. Es war schlichtweg eine Sensation zu diesem Zeitpunkt. 
Rasterfreier Visierlauf ohne Druckknopfe, AF Visier (Bubble-Stil) und Fiberglas Konstruktion mit Lederinnenfutter.";<ul><li>Schale aus Glasfaser-Gemisch</li><li>3 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftungssystem</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Exklusiver magnetischer Magnefusion™-Riemenhalter (Patentverfahren läuft)</li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83801;;Bell Helm Bullitt - Solid White;;;;;;;;;;;;;;;;;;;;;;;;;;;"<strong>BELL BULLITT = nicht Retro sondern Original.</strong>
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser. Der Bullitt wurde anfangs der 70zier Jahre zum ersten Mal produziert. Es war schlichtweg eine Sensation zu diesem Zeitpunkt. 
Rasterfreier Visierlauf ohne Druckknopfe, AF Visier (Bubble-Stil) und Fiberglas Konstruktion mit Lederinnenfutter.";<ul><li>Schale aus Glasfaser-Gemisch</li><li>3 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftungssystem</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Exklusiver magnetischer Magnefusion™-Riemenhalter (Patentverfahren läuft)</li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83802;;Bell Helm Bullitt - Blue Flake;;;;;;;;;;;;;;;;;;;;;;;;;;;"<strong>BELL BULLITT = nicht Retro sondern Original.</strong>
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser. Der Bullitt wurde anfangs der 70zier Jahre zum ersten Mal produziert. Es war schlichtweg eine Sensation zu diesem Zeitpunkt. 
Rasterfreier Visierlauf ohne Druckknopfe, AF Visier (Bubble-Stil) und Fiberglas Konstruktion mit Lederinnenfutter.";<ul><li>Schale aus Glasfaser-Gemisch</li><li>3 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftungssystem</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Exklusiver magnetischer Magnefusion™-Riemenhalter (Patentverfahren läuft)</li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83803;;Bell Helm Custom 500 - Matte Blue Flake;;;;;;;;;;;;;;;;;;;;;;;;;;;"Retro ist cool aber nichts ist schöner als das Original. 
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser, den Bell Custom 500. 
<strong>BELL CUSTOM 500 = Die Legende lebt!</strong>
";<ul><li>Schale aus Karbon oder Glasfaser-Gemisch</li><li>5 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftung direkt durch das Innenfutter</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
83804;;Bell Helm Custom 500 - Matte Brown Metallic;;;;;;;;;;;;;;;;;;;;;;;;;;;"Retro ist cool aber nichts ist schöner als das Original. 
1954  produzierte Bell Gründer Roy Richter den ersten Motorradhelm aus Glasfaser, den Bell Custom 500. 
<strong>BELL CUSTOM 500 = Die Legende lebt!</strong>
";<ul><li>Schale aus Karbon oder Glasfaser-Gemisch</li><li>5 verschieden grosse Aussenschalen und EPS-Innenfuttergrößen</li><li>Austrenn- & waschbares Wildleder-Innenfutter</li><li>Belüftung direkt durch das Innenfutter</li><li>Vielzahl von Visieroptionen für personalisierten Look </li><li>Gepolsterter Kinnriemen mit D-Ringverschluss </li><li>Homologation: ECE 22.05, DOT</li><li>Branchenführende fünfjährige Garantie</li><li>Grössen: XS, S, M, L, XL, XXL</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
