ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
82100;;IXS X-Motorradapotheke;;;;;;;;;;D9955-000;;;;;;;;;;;;;;;;x-motorradapotheke;Mit allen wichtigen Verbandsmitteln ausgerüstet. Inhalt nach DIN 13167;<br>;IXS,X-Motorradapotheke,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS X-Motorradapotheke Motogoodeal - Motorradspezialist;IXS,X-Motorradapotheke,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;x-motorradapotheke;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82101;;IXS X-Motorradverbandstasche;;;;;;;;;;D9955-001;;;;;;;;;;;;;;;;x-motorradverbandstasche;Mit allen wichtigen Verbandsmitteln ausgerüstet. Inhalt nach DIN 13167.;Mit allen wichtigen Verbandmitteln ausgerüstet, Inhalt nach DIN 13167. In Österreich Pflicht. Wenig Gewicht, handlich und klein.<br><br>Masse: 15 x 10 x 5 cm<br>Gewicht: 250 g<br><br>Auf Anfrage mit Ihrem Firmenlogo.<br>;IXS,X-Motorradverbandstasche,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS X-Motorradverbandstasche Motogoodeal - Motorradspezialist;IXS,X-Motorradverbandstasche,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;x-motorradverbandstasche;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82102;;IXS Helm HX 114 schwarz;;;;;;;;;;X10002-003;;;;;;;;;;;;;;;;hx-114-schwarz;Jethelm aus Polycarbonat mit klarem, kratzfestem Schnellwechselvisier. Hochwertiges Innenfutter.;Jethelm aus Polycarbonat<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Schnellwechselvisier<BR>· Ratschenverschluss<BR>· Hochwertiges Innenfutter<BR>· Klarlackversiegelt (weiss 001, schwarz 003, silber 848)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz 333)<P><B>Grössen:</B><BR>XS - XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,114,schwarz,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 114 schwarz Motogoodeal - Motorradspezialist;IXS,Helm,HX,114,schwarz,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-114-schwarz;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82103;;IXS Helm HX 114 schwarz matt;;;;;;;;;;X10002-333;;;;;;;;;;;;;;;;hx-114-schwarz-matt;Jethelm aus Polycarbonat mit klarem, kratzfestem Schnellwechselvisier. Hochwertiges Innenfutter.;Jethelm aus Polycarbonat<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Schnellwechselvisier<BR>· Ratschenverschluss<BR>· Hochwertiges Innenfutter<BR>· Klarlackversiegelt (weiss 001, schwarz 003, silber 848)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz 333)<P><B>Grössen:</B><BR>XS - XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,114,schwarz,matt,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 114 schwarz matt Motogoodeal - Motorradspezialist;IXS,Helm,HX,114,schwarz,matt,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-114-schwarz-matt;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82104;;IXS Helm HX 114 silber;;;;;;;;;;X10002-848;;;;;;;;;;;;;;;;hx-114-silber;Jethelm aus Polycarbonat mit klarem, kratzfestem Schnellwechselvisier. Hochwertiges Innenfutter.;Jethelm aus Polycarbonat<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Schnellwechselvisier<BR>· Ratschenverschluss<BR>· Hochwertiges Innenfutter<BR>· Klarlackversiegelt (weiss 001, schwarz 003, silber 848)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz 333)<P><B>Grössen:</B><BR>XS - XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,114,silber,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 114 silber Motogoodeal - Motorradspezialist;IXS,Helm,HX,114,silber,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-114-silber;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82105;;IXS Helm HX 109 weiss;;;;;;;;;;X10008-001;;;;;;;;;;;;;;;;hx-109-weiss;Kinder-Jethelm aus Polycarbonat mit Visier<BR>· Stirnbelüftung<BR>· Klares kratzfestes Visier;Kinder-Jethelm aus Polycarbonat mit Visier<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Visier<BR>· Ratschenverschluss<BR>· Austrennbares Innenfutter<BR>· Klarlackversiegelt<P><B>Grössen:</B><BR>48 - 52<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,109,weiss,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 109 weiss Motogoodeal - Motorradspezialist;IXS,Helm,HX,109,weiss,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-109-weiss;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82106;;IXS Helm HX 109 schwarz;;;;;;;;;;X10008-003;;;;;;;;;;;;;;;;hx-109-schwarz;Kinder-Jethelm aus Polycarbonat mit Visier<BR>· Stirnbelüftung<BR>· Klares kratzfestes Visier;Kinder-Jethelm aus Polycarbonat mit Visier<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Visier<BR>· Ratschenverschluss<BR>· Austrennbares Innenfutter<BR>· Klarlackversiegelt<P><B>Grössen:</B><BR>48 - 52<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,109,schwarz,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 109 schwarz Motogoodeal - Motorradspezialist;IXS,Helm,HX,109,schwarz,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-109-schwarz;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82107;;IXS Helm HX 95 schwarz;;;;;;;;;;X10009-003;;;;;;;;;;;;;;;;hx-95-schwarz;Jethelm aus Polycarbonat mit integriertem Helmdach und klarem, kratzfestem Visier. Integrierte Sonnenblende zum Herunterklappen. In schwarz matt oder schwarz glanz.;Jethelm aus Polycarbonat mit integriertem Helmdach<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Visier<BR>· Integrierte Sonnenblende (innen) zum Herunterklappen<BR>· Ratschenverschluss<BR>· Austrennbares Innenfutter<BR>· Seitliche Reflektoreneinsätze<BR>· Klarlackversiegelt (schwarz 003, silber 848)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz M33)<P><B>Grössen:</B><BR>XS - 2XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,95,schwarz,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 95 schwarz Motogoodeal - Motorradspezialist;IXS,Helm,HX,95,schwarz,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-95-schwarz;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82108;;IXS Helm HX 95 silber;;;;;;;;;;X10009-848;;;;;;;;;;;;;;;;hx-95-silber;Jethelm aus Polycarbonat mit integriertem Helmdach und klarem, kratzfestem Visier. Integrierte Sonnenblende zum Herunterklappen. In schwarz matt oder schwarz glanz.;Jethelm aus Polycarbonat mit integriertem Helmdach<BR>· Stirnbelüftung<BR>· Klares, kratzfestes Visier<BR>· Integrierte Sonnenblende (innen) zum Herunterklappen<BR>· Ratschenverschluss<BR>· Austrennbares Innenfutter<BR>· Seitliche Reflektoreneinsätze<BR>· Klarlackversiegelt (schwarz 003, silber 848)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz M33)<P><B>Grössen:</B><BR>XS - 2XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,95,silber,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 95 silber Motogoodeal - Motorradspezialist;IXS,Helm,HX,95,silber,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-95-silber;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
82109;;IXS Helm HX 133 schwarz;;;;;;;;;;X10010-003;;;;;;;;;;;;;;;;hx-133-schwarz;Jethelm aus Polycarbonat mit klarem, kratzfestem Visier. Austrennbares Innenfutter.;Jethelm aus Polycarbonat<BR>· Klares, kratzfestes Visier<BR>· Ratschenverschluss<BR>· Austrennbares Innenfutter<BR>· Klarlackversiegelt (schwarz 003)<BR>· Neue Mattlackierungstechnologie - NMT (matt schwarz M33)<P><B>Grössen:</B><BR>XS - 2XL<P><B>Material:</B><BR>Futter: 100% Polyester;IXS,Helm,HX,133,schwarz,Motogoodeal,Motorradspezialistcollection 2016, équipement motard, sécurité, protection routière, marque suisse,;IXS Helm HX 133 schwarz Motogoodeal - Motorradspezialist;IXS,Helm,HX,133,schwarz,Motogoodeal,Motorradspezialist;iXS, top schweizer Motorradausrüstter. Egal, ob Sport-, Touring oder Fernfahrer, hier finden Sie Ihr Glück!;hx-133-schwarz;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
