Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence du fournisseur par défaut;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;écotaxe;Largeur;Hauteur;Profondeur;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Caractéristiques;Condition;Produit à télécharger;En cas de rupture de stock;ID Boutique par défaut;Gestion des stocks avancée
334;1;MGD Casque Shark SK By Shark Easy Mat;168;;;;1;;;;;MGD HE7800EBLK;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-sk-by-shark-easy-mat;En Stock;Plus disponible ;;;;;;;;;;;
649;1;MGD Casque Shoei Glacier XR-1100;454;;;;1;;;;;MGD Z11021-335;;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-glacier-xr-1100;En Stock;Plus disponible ;;;;;;;;;;;
678;1;Casque Shoei X-Spirit II Motegi Marquez;454;;;;1;;;;;Z10008-234;;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-x-spirit-ii-motegi-marquez;En Stock;Plus disponible ;;;;;;;;;;;
1084;1;MGD Casque HX 215 CLOUD;447;;;;1;;;;;MGD X14057;;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-hx-215-cloud;En Stock;Plus disponible ;;;;;;;;;;;
11690;1;MGD Veste Alpinestars STELLA FRANCIE - Noir;170;;;;1;;;;;MGD RPGASVL14102;RPGASVL14102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;veste-alpinestars-stella-francie-noir;En Stock;Plus disponible ;;;;;;;;;;;
83420;1;MGD Veste Alpinestars EDWARD DS OVERCOAT - Noir;170;;;;1;;;;;MGD RPGASVL16101;RPGASVL1610102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-edward-ds-overcoat-schwarz;En Stock;Plus disponible ;;;;;;;;;;;
83421;1;MGD Long Range DS;170;;;;1;;;;;MGD ;;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;long-range-ds;En Stock;Plus disponible ;;;;;;;;;;;
83422;1;MGD Frontier GTX;170;;;;1;;;;;MGD 911 301;;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;frontier-gtx;En Stock;Plus disponible ;;;;;;;;;;;
83423;1;MGD Veste Alpinestars CALAMA DS - Blanc/Gris/JauneFluo;170;;;;1;;;;;MGD RPGASVM142151;RPGASVM14215102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-calama-ds-weiss-grau-neongelb;En Stock;Plus disponible ;;;;;;;;;;;
83424;1;MGD Veste Alpinestars NEW LAND GTX - Noir;170;;;;1;;;;;MGD RPGASVM15101;RPGASVM1510102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-new-land-gtx-schwarz;En Stock;Plus disponible ;;;;;;;;;;;
83425;1;MGD Blouson Alpinestars GUNNER WP - Noir;170;;;;1;;;;;MGD RPGASBW15102;RPGASBW1510202;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;blouson-alpinestars-gunner-wp-noir;En Stock;Plus disponible ;;;;;;;;;;;
83426;1;MGD Veste Alpinestars ANDES DS - Noir;170;;;;1;;;;;MGD RPGASVM13102;RPGASVM1310202;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-andes-ds-schwarz;En Stock;Plus disponible ;;;;;;;;;;;
83427;1;MGD Veste Alpinestars DUSK 3L - BleuFonce;170;;;;1;;;;;MGD RPGASVL143911;RPGASVL14391102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-dusk-3l-dunkelblau;En Stock;Plus disponible ;;;;;;;;;;;
83428;1;MGD Veste Alpinestars DUSK 3L - Brun;170;;;;1;;;;;MGD 911 421;RPGASVL14391102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-dusk-3l-dunkelblau;En Stock;Plus disponible ;;;;;;;;;;;
83429;1;MGD Veste Alpinestars DUSK 3L - Noir;170;;;;1;;;;;MGD RPGASVL14103;RPGASVL1410302;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-dusk-3l-schwarz;En Stock;Plus disponible ;;;;;;;;;;;
83430;1;MGD Veste Alpinestars LANCE 3L - Rouge;170;;;;1;;;;;MGD RPGASVL143411;RPGASVL14341102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-lance-3l-rot;En Stock;Plus disponible ;;;;;;;;;;;
83431;1;MGD Veste Alpinestars LANCE 3L - Noir;170;;;;1;;;;;MGD RPGASVL14101;RPGASVL1410102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-lance-3l-schwarz;En Stock;Plus disponible ;;;;;;;;;;;
83432;1;MGD Veste Alpinestars LANCE 3L - Bleu;170;;;;1;;;;;MGD RPGASVL147411;RPGASVL14741102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-lance-3l-blau;En Stock;Plus disponible ;;;;;;;;;;;
83433;1;MGD Veste Alpinestars TYLER DOWN - Noir/Anthracite;170;;;;1;;;;;MGD RPGASVL141041;RPGASVL14104102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-jacke-tyler-down-schwarz-anthrazit;En Stock;Plus disponible ;;;;;;;;;;;
