ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
81500;1;2D Visière Claire;202,456;137.962963;1;78.63888889;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001111;ARA5001111;Redpoint;Arai;;;;;;;;1;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;<p>Visière pour casques Arai</p><p>La photo du produit est générique et peut varier selon le modèle</p><br><p>Si vous avez un doute par rapport à la compatibilité de votre accessoires, veuillez nous contacter par mail ou voix téléphonique</p>;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4219.jpg;0;;0;new;0;0;0;2;0;0;0;0
81501;1;2D Visière Tintée Rx7-Gp;202,456;137.962963;1;78.63888889;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001112;ARA5001112;Redpoint;Arai;;;;;;;;3;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;<p>Visière pour casques Arai</p><p>La photo du produit est générique et peut varier selon le modèle</p><br><p>Si vous avez un doute par rapport à la compatibilité de votre accessoires, veuillez nous contacter par mail ou voix téléphonique</p>;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4220.jpg;0;;0;new;0;0;0;2;0;0;0;0
81502;1;2D Visière Semi-Tintée Rx-7 Gp;202,456;137.962963;1;78.63888889;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001113;ARA5001113;Redpoint;Arai;;;;;;;;6;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;<p>Visière pour casques Arai</p><p>La photo du produit est générique et peut varier selon le modèle</p><br><p>Si vous avez un doute par rapport à la compatibilité de votre accessoires, veuillez nous contacter par mail ou voix téléphonique</p>;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4220.jpg;0;;0;new;0;0;0;2;0;0;0;0
81503;1;Pinlock Claire Chaser Viper Astro;202,456;45.37037037;1;25.86111111;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001151;ARA5001151;Redpoint;Arai;;;;;;;;3;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;Arai Pinlock, un must pour tout les casque avec Visière. Plus de buée, protection UV 100 %, changable et facile à l'entretien.;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4237.jpg;0;;0;new;0;0;0;2;0;0;0;0
81504;1;Pinlock Sun Reactive Chaser-Viper-Corsair;202,456;63.88888889;1;36.41666667;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001152;ARA5001152;Redpoint;Arai;;;;;;;;5;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;Arai Pinlock, un must pour tout les casque avec Visière. Plus de buée, protection UV 100 %, changable et facile à l'entretien.;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4237.jpg;0;;0;new;0;0;0;2;0;0;0;0
81505;1;Pro Shade System;202,456;119.4444444;1;68.08333333;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001153;ARA5001153;Redpoint;Arai;;;;;;;;32;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;"<ul><li>Système complet, monté sur une visière MAX Vision transparente</li><li>Aérodynamique renforcée</li><li>Stabilité du casque accrue</li><li>Bruit du vent réduit</li><li>Visière amovible pour faciliter le nettoyage</li><li>Aucun contact avec la visière : aucune rayure</li><li>S'adaptent aux casques Arai suivants: RX-7 GP, Quantum, Quantum-ST, Chaser-V, Axces II; Rebel</li></ul>";;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/5001153.jpg,https://www.motogoodeal.ch/img/import/arai/5001153_02.jpg;0;;0;new;0;0;0;2;0;0;0;0
81506;1;Pinlock Sun Reactive Rx-7 Gp Quantum;202,456;63.88888889;1;36.41666667;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001154;ARA5001154;Redpoint;Arai;;;;;;;;14;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;Arai Pinlock, un must pour tout les casque avec Visière. Plus de buée, protection UV 100 %, changable et facile à l'entretien.;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4237.jpg;0;;0;new;0;0;0;2;0;0;0;0
81507;1;Pinlock Claire Tour-X3;202,456;45.37037037;1;25.86111111;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001155;ARA5001155;Redpoint;Arai;;;;;;;;42;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;Arai Pinlock, un must pour tout les casque avec Visière. Plus de buée, protection UV 100 %, changable et facile à l'entretien.;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/4237.jpg;0;;0;new;0;0;0;2;0;0;0;0
81508;0;Insert Max Vision Jaune;202,456;54.62962963;1;31.13888889;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001156;ARA5001156;Redpoint;Arai;;;;;;;;38;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/;0;;0;new;0;0;0;2;0;0;0;0
81509;0;Max Vision Sai / Bv W/Insert Claire;202,456;110.1851852;1;62.80555556;1;;15;2016-08-24 18:00:00;2016-09-30 24:00:00;ARA5001157;ARA5001157;Redpoint;Arai;;;;;;;;271;0;;;;;Accessoires pour les casques Arai comme ajout ou pièces de rechange;;;;;;;;;1;2016-04-27;2016-04-27;1;https://www.motogoodeal.ch/img/import/arai/;0;;0;new;0;0;0;2;0;0;0;0
