Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
81737;;Couleur:select:0;BARCIA GREEN FROST;RPGARSP5005387;RPGARSP5005387;;;;;;2;;;;;;;;;;;
81737;;Couleur:select:0;BARCIA BLACK;RPGARSP5005388;RPGARSP5005388;;;;;;2;;;;;;;;;;;
81737;;Couleur:select:0;BARCIA ORANGE;RPGARSP5005389;RPGARSP5005389;;;;;;2;;;;;;;;;;;
81737;;Couleur:select:0;CRATCH CRAZY YELLOW;RPGARSP5005390;RPGARSP5005390;;;;;;4;;;;;;;;;;;
81737;;Couleur:select:0;TIP RED;RPGARSP5005397;RPGARSP5005397;;;;;;5;;;;;;;;;;;
81737;;Couleur:select:0;TECHNO;RPGARSP5005401;RPGARSP5005401;;;;;;4;;;;;;;;;;;
81737;;Couleur:select:0;SLY YELLOW MATT;RPGARSP5005423;RPGARSP5005423;;;;;;2;;;;;;;;;;;
81737;;Couleur:select:0;White;RPGARSP5005381;RPGARSP5005381;;;;;;1;;;;;;;;;;;
81737;;Couleur:select:0;Black Frost;RPGARSP5005383;RPGARSP5005383;;;;;;2;;;;;;;;;;;
81733;;Couleur:select:0;DETOUR;RPGARSP5002145;RPGARSP5002145;;;;;;2;;;;;;;;;;;
81733;;Couleur:select:0;FLARE SAND;RPGARSP5003990;RPGARSP5003990;;;;;;2;;;;;;;;;;;
81619;;Taille:select:0;XS:2;RPGARAU21701101;RPGARAU21701101;;;;;;6;;;;;;;;;;;
81619;;Taille:select:0;S:3;RPGARAU21701102;RPGARAU21701102;;;;;;6;;;;;;;;;;;
81619;;Taille:select:0;M:4;RPGARAU21701103;RPGARAU21701103;;;;;;0;;;;;;;;;;;
81619;;Taille:select:0;L:5;RPGARAU21701104;RPGARAU21701104;;;;;;0;;;;;;;;;;;
81619;;Taille:select:0;XL:6;RPGARAU21701105;RPGARAU21701105;;;;;;3;;;;;;;;;;;
81619;;Taille:select:0;XXL:7;RPGARAU21701106;RPGARAU21701106;;;;;;7;;;;;;;;;;;
81620;;Taille:select:0;XS:2;RPGARAU23101101;RPGARAU23101101;;;;;;3;;;;;;;;;;;
81620;;Taille:select:0;S:3;RPGARAU23101102;RPGARAU23101102;;;;;;5;;;;;;;;;;;
81620;;Taille:select:0;L:5;RPGARAU23101104;RPGARAU23101104;;;;;;1;;;;;;;;;;;
81620;;Taille:select:0;XL:6;RPGARAU23101105;RPGARAU23101105;;;;;;10;;;;;;;;;;;
81620;;Taille:select:0;XXL:7;RPGARAU23101106;RPGARAU23101106;;;;;;0;;;;;;;;;;;
81621;;Taille:select:0;XS:2;RPGARAU23201101;RPGARAU23201101;;;;;;4;;;;;;;;;;;
81621;;Taille:select:0;S:3;RPGARAU23201102;RPGARAU23201102;;;;;;6;;;;;;;;;;;
81621;;Taille:select:0;M:4;RPGARAU23201103;RPGARAU23201103;;;;;;8;;;;;;;;;;;
81621;;Taille:select:0;L:5;RPGARAU23201104;RPGARAU23201104;;;;;;5;;;;;;;;;;;
81621;;Taille:select:0;XL:6;RPGARAU23201105;RPGARAU23201105;;;;;;10;;;;;;;;;;;
81621;;Taille:select:0;2XL:8;RPGARAU23201106;RPGARAU23201106;;;;;;0;;;;;;;;;;;
81622;;Taille:select:0;XS:2;RPGARAU23301101;RPGARAU23301101;;;;;;3;;;;;;;;;;;
81622;;Taille:select:0;S:3;RPGARAU23301102;RPGARAU23301102;;;;;;3;;;;;;;;;;;
81622;;Taille:select:0;M:4;RPGARAU23301103;RPGARAU23301103;;;;;;3;;;;;;;;;;;
81622;;Taille:select:0;L:5;RPGARAU23301104;RPGARAU23301104;;;;;;3;;;;;;;;;;;
81623;;Taille:select:0;S:3;RPGARAU23401102;RPGARAU23401102;;;;;;5;;;;;;;;;;;
81623;;Taille:select:0;M:4;RPGARAU23401103;RPGARAU23401103;;;;;;3;;;;;;;;;;;
81623;;Taille:select:0;L:5;RPGARAU23401104;RPGARAU23401104;;;;;;0;;;;;;;;;;;
81623;;Taille:select:0;XL:6;RPGARAU23401105;RPGARAU23401105;;;;;;0;;;;;;;;;;;
81624;;Taille:select:0;XS:2;RPGARAU24101101;RPGARAU24101101;;;;;;3;;;;;;;;;;;
81624;;Taille:select:0;S:3;RPGARAU24101102;RPGARAU24101102;;;;;;6;;;;;;;;;;;
81624;;Taille:select:0;M:4;RPGARAU24101103;RPGARAU24101103;;;;;;3;;;;;;;;;;;
81624;;Taille:select:0;L:5;RPGARAU24101104;RPGARAU24101104;;;;;;6;;;;;;;;;;;
81625;;Taille:select:0;S:3;RPGARAU24401102;RPGARAU24401102;;;;;;5;;;;;;;;;;;
81625;;Taille:select:0;M:4;RPGARAU24401103;RPGARAU24401103;;;;;;6;;;;;;;;;;;
81625;;Taille:select:0;L:5;RPGARAU24401104;RPGARAU24401104;;;;;;6;;;;;;;;;;;
