ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84000;0;REV'IT L.Cleaner/Conditioner 150ml (12 pcs);;;;;;;;;;FAR008;;;;;;;;;;;;;;;;;Regelmäßige Pflege Ihrer REV’IT! Motorradbekleidung verbessert deren Funktion und garantiert eine lange Lebensdauer. Mit REV’IT! LEATHER CLEANER können Sie alle A;Regelmäßige Pflege Ihrer REV’IT! Motorradbekleidung verbessert deren Funktion und garantiert eine lange Lebensdauer. Mit REV’IT! LEATHER CLEANER können Sie alle Arten von Leder gründlich reinigen.<br />  <br />  Benutzen Sie anschließend REV’IT! LEATHER CONDITIONER, um alle glatte Lederkleidung zu schützen und zu nähren. So bewahren Sie sowohl die Fähigkeit des Leders, Wasser und Schmutz abzuweisen, als auch den speziellen Lederduft. Am besten behandeln Sie Ihre Kleidung mit LEATHER CLEANER und LEATHER CONDITIONER mindestens zweimal jährlich.<br />  <br />;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84001;0;REV'IT Textile Wash 250ml (15 pcs);;;;;;;;;;FAR010;;;;;;;;;;;;;;;;;Die Pflege von Textilbekleidung erfordert besondere Aufmerksamkeit, vor allem, wenn sie wasserdichte und atmungsaktive Membranen enthält. REV’IT! TEXTILE WASH Waschmittel erhält die spezifischen Eigenschaften von atmungsaktiver, wasserdichter Kleidung bei Hand- wie auch Maschinenwäsche.<br />  <br />  Befolgen Sie stets die Wasch- und Pflegeanweisungen auf dem eingenähten Etikett.<br />;Die Pflege von Textilbekleidung erfordert besondere Aufmerksamkeit, vor allem, wenn sie wasserdichte und atmungsaktive Membranen enthält. REV’IT! TEXTILE WASH Waschmittel erhält die spezifischen Eigenschaften von atmungsaktiver, wasserdichter Kleidung bei Hand- wie auch Maschinenwäsche.<br />  <br />  Befolgen Sie stets die Wasch- und Pflegeanweisungen auf dem eingenähten Etikett.<br />;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84002;0;REV'IT Leather Spray 400ml (12 pcs);;;;;;;;;;FAR011;;;;;;;;;;;;;;;;;REV’IT! WATERPROOF LEDER SPRAY bewahrt die natürliche Wasserbeständigkeit des Leders, schützt alle Lederarten vor Wasser und Flecken und erhält dabei die Atmungsfähigkeit.<br />  <br />;REV’IT! WATERPROOF LEDER SPRAY bewahrt die natürliche Wasserbeständigkeit des Leders, schützt alle Lederarten vor Wasser und Flecken und erhält dabei die Atmungsfähigkeit.<br />  <br />;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84003;0;REV'IT Textile Spray 400ml (12 pcs);;;;;;;;;;FAR012;;;;;;;;;;;;;;;;;REV’IT! WATERPROOF TEXTILESPRAY wurde entwickelt, um wasserdichte Textilkleidung vor Wasser und Flecken zu schützen. Bei regelmäßiger Anwendung verbessert TEXSPRAY die wasserabweisenden Eigenschaften des Materials, ohne seine Atmungsfähigkeit zu beeinträchtigen.;REV’IT! WATERPROOF TEXTILESPRAY wurde entwickelt, um wasserdichte Textilkleidung vor Wasser und Flecken zu schützen. Bei regelmäßiger Anwendung verbessert TEXSPRAY die wasserabweisenden Eigenschaften des Materials, ohne seine Atmungsfähigkeit zu beeinträchtigen.;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84004;1;REV'IT Socken Tour Sommer Grau-Gelb;;;;;;;;;;FAR018-3540;;;;;;;;;;;;;;;;;Routinierte Fahrer wissen, dass es für eine gute Tour genauso auf die richtige Kleidung ankommt, wie auf das fahrerische Können. Trockene, angenehm te;Routinierte Fahrer wissen, dass es für eine gute Tour genauso auf die richtige Kleidung ankommt, wie auf das fahrerische Können. Trockene, angenehm temperierte Füße steigern die Leistungsfähigkeit. Der Air conditioning Channel® der REV’IT! SUMMER TOURING Socken ist die Klimaanlage für Ihre Füße, weil sie aktiv und dauerhaft überschüssige Wärme und Feuchtigkeit abführt. Das sorgt für effektiven Schutz vor extremen Temperaturen und Feuchtigkeit, sowohl bei Hitze als auch bei Kälte. <br />  <br />  Größen 1 (35-38), 2 (39-41), 3 (42-44), 4 (45-47)<br><strong>Composition:</strong><ul><li>62% Polyamide, 28% Cotton, 8% Polypropylene, 2% Elastane;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84005;1;REV'IT Socken Tour Winter Grau-Gelb;;;;;;;;;;FAR019-3540;;;;;;;;;;;;;;;;;Die Fasern, die wir für unsere Socken verwenden, saugen Feuchtigkeit von der Ha;Die Fasern, die wir für unsere Socken verwenden, saugen Feuchtigkeit von der Haut weg, während die Ventilationskanäle die Füße frisch, trocken und behaglich halten. Bei unseren WINTER TOURING Socken fügen wir zur besseren Isolierung noch reine Merinowolle hinzu, damit Ihre Füße auch bei der längsten Wintertour warm bleiben. Das anatomisch geformte Fußbett stützt und polstert Ihre Füße genau da, wo es nötig ist.<br />  <br />  Größen 1 (35-38), 2 (39-41), 3 (42-44), 4 (45-47)<br><strong>Composition:</strong><ul><li>34% Polyamide, 34% Acrylic, 19% Wool, 11% Polypropylene, 2% Elastane;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84006;1;REV'IT Halskrause Karma WSP Schwarz;;;;;;;;;;FAR031-0010;;;;;;;;;;;;;;;;;Der kleine und leichte Karma GORE® Windstopper® Softshell Kragen ist einer der komfortabelsten seiner Art. Er besteht aus bequemen Softshell Stretchmaterial, ist komplett winddicht, verfügt über ein weiches, warmes Fleece-Futter und ist wasserdicht.<br />  <br />  Größen S-XL;"Der kleine und leichte Karma GORE® Windstopper® Softshell Kragen ist einer der komfortabelsten seiner Art. Er besteht aus bequemen Softshell Stretchmaterial, ist komplett winddicht, verfügt über ein weiches, warmes Fleece-Futter und ist wasserdicht.<br />  <br />  Größen S-XL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>mesh;WINDSTOPPER® Soft Shell 3-lagig mit Ripstop-Stretch<br><strong>Composition:</strong><ul><li>58% Polyester, 33% Polyamide, 6% ePFTE, 3% Elastane</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>hoch atmungsaktiv;wasserabweisend;winddicht<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Passform:</strong><ul><li>ergonomische Passform</li></ul><br><strong>Merkmale:</strong><ul><li>bekettelte Nähte;dehnbar";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84007;1;REV'IT Halskrause Velox WSP Noir;;;;;;;;;;FAR032-0010;;;;;;;;;;;;;;;;;Der Velox GORE® Windstopper® Softshell Windkragen bedeckt einen größeren Teil der Brust als der Karma, bietet aber die gleichen guten feuchtigkeitsregulierenden, wärmeisolierenden, wind- und wasserabweisenden Eigenschaften. Der Velox WSP ist weich, extrem komfortabel und ultraleicht.<br />  <br />  Größen S-XL;"Der Velox GORE® Windstopper® Softshell Windkragen bedeckt einen größeren Teil der Brust als der Karma, bietet aber die gleichen guten feuchtigkeitsregulierenden, wärmeisolierenden, wind- und wasserabweisenden Eigenschaften. Der Velox WSP ist weich, extrem komfortabel und ultraleicht.<br />  <br />  Größen S-XL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>mesh;WINDSTOPPER® Soft Shell 3-lagig mit Ripstop-Stretch<br><strong>Composition:</strong><ul><li>58% Polyester, 33% Polyamide, 6% ePFTE, 3% Elastane</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>hoch atmungsaktiv;wasserabweisend;winddicht<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Passform:</strong><ul><li>ergonomische Passform</li></ul><br><strong>Merkmale:</strong><ul><li>bekettelte Nähte;dehnbar";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84008;1;REV'IT Sturmhaube Amazon GTX Schwarz;;;;;;;;;;FAR033-0010;;;;;;;;;;;;;;;;;De;"Der Kragen der Amazon GTX Sturmhaube wird über dem Jackenkragen getragen, damit kein Wasser in Deinen Nacken läuft. Die Haube beinhaltet eine GORE-TEX® Membran, die Dich garantiert 100% trocken hält. Se besteht aus einem feuchtigkeitsregulierenden Material, das Schweiß schnell von der Haut wegtransportiert. So bleibst Du kühl, wenn es warm und warm, wenn es kühl wird.<br />  <br />  Größen S &amp; L<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>2L GORE-TEX® Taslan-Gewebe;4-Wege-Stretch;mesh;PWRI ripstop-fleece<br><strong>Composition:</strong><ul><li>75% Polyamide, 15% ePTFE, 6% Polyester, 4% Elastane</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>GORE-TEX® Membran;hoch atmungsaktiv<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Passform:</strong><ul><li>ergonomische Passform</li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>einstellbarer Zug</li></ul><br><strong>Merkmale:</strong><ul><li>bekettelte Nähte;Nahtlose Augenöffnung;dehnbares Oberteil";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84009;1;REV'IT Kühlweste Liquid Schwarz;;;;;;;;;;FAR035-1010;;;;;;;;;;;;;;;;;Hitze macht müde, und Müdigkeit kann für Motorradfahrer besonders fatal sein. Ein wirksames Mittel gegen Hitze und damit Müdigkeit ist die Hyperkewl™ Technologie, die Wasser aufnimmt, speichert und dann über einen gewissen Zeitraum durch simples Verdunsten wieder freigibt und damit abkühlt. Der Fahrer bleibt kühl und hat alles unter Kontrolle. Am besten funktioniert die Weste mit einer extrem winddurchlässigen Jacke. Sie wirkt bis zu sechs Stunden und lässt sich dank eines seitlichen Reißverschlusses leicht an- und ablegen.<br /> <br /> Größen S-XYL<br /> <br /> <h4> Gebrauchsanweisung Kühlelemente mit Hyperkewl</h4>;"Hitze macht müde, und Müdigkeit kann für Motorradfahrer besonders fatal sein. Ein wirksames Mittel gegen Hitze und damit Müdigkeit ist die Hyperkewl™ Technologie, die Wasser aufnimmt, speichert und dann über einen gewissen Zeitraum durch simples Verdunsten wieder freigibt und damit abkühlt. Der Fahrer bleibt kühl und hat alles unter Kontrolle. Am besten funktioniert die Weste mit einer extrem winddurchlässigen Jacke. Sie wirkt bis zu sechs Stunden und lässt sich dank eines seitlichen Reißverschlusses leicht an- und ablegen.<br /> <br /> Größen S-XYL<br /> <br /> <h4> Gebrauchsanweisung Kühlelemente mit Hyperkewl</h4> Vor dem ersten Gebrauch tauchen Sie das Element bitte ins Wasser, drücken Sie anschließend überschüssiges Wasser aus und lassen Sie den Artikel vollständig trocknen. Dieser Vorgang ist nötig, um die Wirkung der Gewebefasern zu aktivieren.<br /> Das Element kann sich nach diesem Vorgang wegen der Umstellung der Fasern etwas glitschig anfühlen. Dieses Gefühl verschwindet mit der nächsten Anwendung.<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>PWR|Stretch-Gewebe;4-Wege-3D Stretch Mesh<br><strong>Isolierung:</strong><ul><li>HyperKewl™ Polymer-basiertes, hoch absorbierendes, kühlendes Gewebe<br><strong>Futter:</strong><ul><li>PU-beschichtetes Ripstop<br><strong>Composition:</strong><ul><li>45% Polyamide, 23% Polymer, 21% Cellulose, 11% Elastane</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Passform:</strong><ul><li>tour-Passform</li></ul><br><strong>Merkmale:</strong><ul><li>reißverschluss für einfachen Einstieg";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
