id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
60000;1;M02 Bib-Mousse;380;218;1;152.6;1;;;;;57331;57331;Freidig;;;;;;;;;1;;both;;;;140/90 - 18 Desert;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057331_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60001;1;Bib-Mousse M15 ;380;180;1;126;1;;;;;57333;57333;Freidig;;;;;;;;;3;;both;;;;80/100-21, 90/90-21;M15 pour pneus AC 10, Enduro IV, Enduro MS, Enduro V, MS 3, MH 3, S 12 XC, M 12 XC;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057333_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60002;1;Bib Mousse M22;380;193;1;135.1;1;;;;;57334;57334;Freidig;;;;;;;;;3;;both;;;;100/90 - 19 (120/80 - 19) ;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057334_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60003;1;Bib Mousse M199;380;193;1;135.1;1;;;;;57335;57335;Freidig;;;;;;;;;3;;both;;;;110/90 - 19 (130/70 - 19) ;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057335_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60004;1;Bib Mousse M14;380;196;1;137.2;1;;;;;57337;57337;Freidig;;;;;;;;;3;;both;;;;120/90 - 18 (140/80 - 18) (130/80-18) ;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057337_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60005;1;Bib Mousse M18;380;196;1;137.2;1;;;;;57338;57338;Freidig;;;;;;;;;1;;both;;;;100/100 -18 (120/90 - 18) ;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/057338_0.jpg;0;Type:BIB-Mousse Michelin:1;1;new;;;;2;;;;
60006;1;Ampoule Led 12V 23W Ba9S;310;4.54;1;2.9056;1;;;;;209100;209100;Freidig;;;;;;;;;3;;both;;;;Blanc 1Pc.;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/209 100_0.jpg,https://www.motogoodeal.ch/img/import/209 100_1.jpg;0;Type d'ampoules:Feux de position:1;1;new;;;;2;;;;
60007;1;Simmers De Fourche;346;16.67;1;8.8351;1;;;;;250001;250001;Freidig;;;;;;;;;3;;both;;;;36X48X10,5;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/250001_0.jpg;0;Caractéristique:36 mm - 40 mm:1;1;new;;;;2;;;;
60008;1;Simmers De Fourche;346;16.67;1;8.8351;1;;;;;250002;250002;Freidig;;;;;;;;;2;;both;;;;34X46X10,5;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/250002_0.jpg;0;Caractéristique:31 mm - 35 mm:1;1;new;;;;2;;;;
60009;1;Simmers De Fourche;346;25.93;1;13.7429;1;;;;;250004;250004;Freidig;;;;;;;;;2;;both;;;;33X46X10,5;;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/250004_0.jpg;0;Caractéristique:31 mm - 35 mm:1;1;new;;;;2;;;;
