id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
60000;;Bib Mousse M02 ;;;;;;;;;;;;;;;;;;;;;;;;;;;140/80-18 Desert;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60001;;Bib Mousse M15 ;;;;;;;;;;;;;;;;;;;;;;;;;;;80/100-21, 90/90-21;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60002;;Bib Mousse M22;;;;;;;;;;;;;;;;;;;;;;;;;;;100/90-19 (120/80-19) ;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60003;;Bib Mousse M199;;;;;;;;;;;;;;;;;;;;;;;;;;;110/90-19 (130/70-19) ;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60004;;Bib Mousse M14;;;;;;;;;;;;;;;;;;;;;;;;;;;120/90-18 (140/80-18) (130/80-18) ;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60005;;Bib Mousse M18;;;;;;;;;;;;;;;;;;;;;;;;;;;100/100-18 (120/90-18) ;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60006;;60/100-17 Tl/Tt 39S Rf. Pilot Sporty ;;;;;;;;;;;;;;;;;;;;;;;;;;;Front&Rear;Michelin;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60007;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;36X48X10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60008;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;34X46X10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
60009;;Gabelsimmerset ;;;;;;;;;;;;;;;;;;;;;;;;;;;33X46X10,5;;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
